vol.	page	sarga	from v.	to v.	ipage	remark(s)
II	5	---	---	---	0a	title
II	6	---	---	---	0b	
II	7	---	---	---	0c	resume
II	8	---	---	---	0d	
II	9	12	1	1	1	
II	10	12	2	2	2	
II	11	12	3	3	3	
II	12	12	4	4	4	
II	13	12	5	5	5	
II	14	12	6	6	6	
II	15	12	7	7	7	
II	16	12	8	9	8	
II	17	12	10	10	9	
II	18	12	11	11	10	
II	19	12	12	12	11	
II	20	12	13	14	12	
II	21	12	15	15	13	
II	22	12	16	16	14	
II	23	12	17	17	15	
II	24	12	18	18	16	
II	25	12	19	19	17	
II	26	12	20	20	18	
II	27	12	21	21	19	
II	28	12	22	23	20	
II	29	12	24	24	21	
II	30	12	25	25	22	
II	31	12	26	26	23	
II	32	12	27	27	24	
II	33	12	28	28	25	
II	34	12	29	29	26	
II	35	12	30	30	27	
II	36	12	31	31	28	
II	37	12	32	32	29	
II	38	12	33	33	30	
II	39	12	34	34	31	
II	40	12	35	35	32	
II	41	12	36	36	33	
II	42	12	37	38	34	
II	43	12	39	39	35	
II	44	12	40	40	36	
II	45	12	41	41	37	
II	46	12	42	42	38	
II	47	12	43	43	39	
II	48	12	44	44	40	
II	49	12	45	45	41	
II	50	12	46	47	42	
II	51	12	48	48	43	
II	52	12	49	49	44	
II	53	12	50	50	45	
II	54	12	51	52	46	
II	55	12	53	53	47	
II	56	12	54	54	48	
II	57	12	55	55	49	
II	58	12	56	56	50	
II	59	12	57	58	51	
II	60	12	59	59	52	
II	61	12	60	61	53	
II	62	12	62	62	54	
II	63	12	63	63	55	
II	64	12	64	64	56	
II	65	12	65	65	57	
II	66	12	66	66	58	
II	67	12	67	67	59	
II	68	12	68	69	60	
II	69	12	70	70	61	
II	70	12	71	71	62	
II	71	12	72	73	63	
II	72	12	74	74	64	
II	73	12	75	75	65	
II	74	12	76	76	66	
II	75	12	77	77	67	
II	76	12	78	78	68	
II	77	12	79	79	69	
II	78	12	80	80	70	
II	79	12	81	82	71	
II	80	12	83	83	72	
II	81	12	84	84	73	
II	82	12	85	86	74	
II	83	12	87	87	75	
II	84	---	---	---	76	
II	85	13	1	1	77	
II	86	---	---	---	78	
II	87	13	2	2	79	
