page	kāṇḍa	adhy.	brāhm.	from kaṇḍikā	to kaṇḍikā	ipage
188	2	3	4	37b	41	167
188	2	4	1	1	5a	167
189	2	4	1	5b	14a	168
189	2	4	1	14b	14b	168
190	2	4	2	1	7a	169
191	2	4	2	7b	17a	170
192	2	4	2	17b	24	171
192	2	4	3	1	2a	171
193	2	4	3	2b	10a	172
194	2	4	3	10b	14	173
194	2	4	4	1	2a	173
195	2	4	4	2b	10a	174
196	2	4	4	10b	18a	175
197	2	4	4	18b	25	176
197	2	5	1	1	1a	176
198	2	5	1	1b	9a	177
199	2	5	1	9b	17a	178
200	2	5	1	17b	22	179
200	2	5	2	1	3a	179
201	2	5	2	3b	11a	180
202	2	5	2	11b	21a	181
203	2	5	2	21b	29a	182
204	2	5	2	29b	37a	183
205	2	5	2	37b	42a	184
206	2	5	2	42b	48	185
206	2	5	3	1	1a	185
207	2	5	3	1b	8a	186
208	2	5	3	8b	15a	187
209	2	5	3	15b	20	188
209	2	5	4	1	1a	188
210	2	5	4	1b	11a	189
211	2	5	4	11b	11b	190
211	2	6	1	1	9a	190
212	2	6	1	9b	17a	191
213	2	6	1	17b	27a	192
214	2	6	1	27b	33a	193
215	2	6	1	33b	40a	194
216	2	6	1	40b	48	195
217	2	6	2	1	9a	196
218	2	6	2	9b	17a	197
219	2	6	2	17b	19	198
219	2	6	3	1	4a	198
220	2	6	3	4b	13a	199
221	2	6	3	13b	17	200
221	2	6	4	1	6a	200
222	2	6	4	6b	9	201
244	3	1	1	1	7a	223
245	3	1	1	7b	12	224
245	3	1	2	1	2a	224
246	3	1	2	2b	11a	225
247	3	1	2	11b	20a	226
248	3	1	2	20b	21	227
248	3	1	3	1	6a	227
249	3	1	3	6b	16a	228
250	3	1	3	16b	25a	229
251	3	1	3	25b	28	230
251	3	1	4	1	5a	230
252	3	1	4	5b	15	231
253	3	1	4	16	23	232
253	3	2	1	1	3a	232
254	3	2	1	3b	11a	233
255	3	2	1	11b	21a	234
256	3	2	1	21b	30a	235
257	3	2	1	30b	40a	236
258	3	2	1	40b	40b	237
258	3	2	2	1	8a	237
259	3	2	2	8b	15a	238
260	3	2	2	15b	20a	239
261	3	2	2	20b	24a	240
262	3	2	2	24b	30	241
262	3	2	3	1	1a	241
263	3	2	3	1b	15a	242
264	3	2	3	15b	23	243
264	3	2	4	1	1a	243
265	3	2	4	1b	10a	244
266	3	2	4	10b	17a	245
267	3	2	4	17b	22	246
267	3	3	1	1	2a	246
268	3	3	1	2b	12a	247
269	3	3	1	12b	16	248
269	3	3	2	1	4a	248
270	3	3	2	4b	13a	249
271	3	3	2	13b	19	250
271	3	3	3	1	3a	250
272	3	3	3	3b	10a	251
273	3	3	3	10b	17	252
274	3	3	3	18	18	253
274	3	3	4	1	7a	253
275	3	3	4	7b	14a	254
276	3	3	4	14b	23a	255
277	3	3	4	23b	31	256
277	3	4	1	1	1a	256
278	3	4	1	1b	11a	257
279	3	4	1	11b	20a	258
280	3	4	1	20b	26	259
280	3	4	2	1	2a	259
281	3	4	2	2b	10a	260
282	3	4	2	10b	16	261
282	3	4	3	1	2a	261
283	3	4	3	2b	9a	262
284	3	4	3	9b	18a	263
285	3	4	3	18b	22	264
285	3	4	4	1	3a	264
286	3	4	4	3b	15a	265
287	3	4	4	15b	26a	266
288	3	4	4	26b	27	267
288	3	5	1	1	10a	267
289	3	5	1	10b	21a	268
290	3	5	1	21b	30a	269
291	3	5	1	30b	36	270
292	3	5	2	1	10a	271
293	3	5	2	10b	18	272
293	3	5	3	1	3a	272
294	3	5	3	3b	13a	273
295	3	5	3	13b	20a	274
296	3	5	3	20b	25	275
296	3	5	4	1	3a	275
297	3	5	4	3b	12a	276
298	3	5	4	12b	23a	277
299	3	5	4	23b	24	278
299	3	6	1	1	9a	278
300	3	6	1	9b	19a	279
301	3	6	1	19b	27a	280
302	3	6	1	27b	29	281
302	3	6	2	1	6a	281
303	3	6	2	6b	18a	282
304	3	6	2	18b	26a	283
305	3	6	2	26b	26b	284
305	3	6	3	1	7a	284
306	3	6	3	7b	15a	285
307	3	6	3	15b	21a	286
308	3	6	3	21b	21b	287
308	3	6	4	1	11a	287
309	3	6	4	11b	22a	288
310	3	6	4	22b	27	289
310	3	7	1	1	6a	289
311	3	7	1	6b	14a	290
312	3	7	1	14b	22a	291
313	3	7	1	22b	32	392
314	3	7	2	1	8a	393
315	3	7	2	8b	8b	294
315	3	7	3	1	9a	294
316	3	7	3	9b	13	295
316	3	7	4	1	4a	295
317	3	7	4	4b	11a	296
318	3	7	4	11b	11b	297
318	3	8	1	1	7a	297
319	3	8	1	7b	15a	298
320	3	8	1	15b	16	299
320	3	8	2	1	6a	299
321	3	8	2	6b	16a	300
322	3	8	2	16b	24a	301
323	3	8	2	24b	30	302
323	3	8	3	1	1a	302
324	3	8	3	1b	11a	303
325	3	8	3	11b	20a	304
326	3	8	3	20b	29a	305
327	3	8	3	29b	37a	306
328	3	8	3	37b	37b	307
328	3	8	4	1	10a	307
329	3	8	4	10b	18	308
329	3	8	5	1	7a	308
330	3	8	5	7b	11	309
330	3	9	1	1	3a	309
331	3	9	1	3b	13a	310
332	3	9	1	13b	25a	311
333	3	9	1	25b	27	312
333	3	9	2	1	10a	312
334	3	9	2	10b	17	313
335	3	9	3	1	9	314
336	3	9	3	10	16a	315
337	3	9	3	16b	26a	316
338	3	9	3	26b	33a	317
339	3	9	3	33b	34	318
339	3	9	4	1	5a	318
340	3	9	4	5b	12a	319
341	3	9	4	12b	18a	320
342	3	9	4	18b	24a	321
343	3	9	4	24b	25	322
362	4	1	1	1	9a	341
363	4	1	1	9b	19a	342
364	4	1	1	19b	27a	343
365	4	1	1	27b	28	344
365	4	1	2	1	8a	344
366	4	1	2	8b	18a	345
367	4	1	2	18b	26a	346
368	4	1	2	26b	27	347
368	4	1	3	1	10a	347
369	4	1	3	10b	19a	348
370	4	1	3	19b	19b	349
370	4	1	4	1	8a	349
371	4	1	4	8b	10	350
371	4	1	5	1	7a	350
372	4	1	5	7b	15a	351
373	4	1	5	15b	19	352
373	4	2	1	1	5a	352
374	4	2	1	5b	12a	353
375	4	2	1	12b	19a	354
376	4	2	1	19b	29a	355
377	4	2	1	29b	33	356
377	4	2	2	1	6a	356
378	4	2	2	6b	13a	357
379	4	2	2	13b	16	358
379	4	2	3	1	5a	358
380	4	2	3	5b	14a	359
381	4	2	3	14b	18	360
381	4	2	4	1	3	360
382	4	2	4	4	14a	361
383	4	2	4	14b	21a	362
384	4	2	4	21b	24	363
384	4	2	5	1	3a	363
385	4	2	5	3b	11a	364
386	4	2	5	11b	20a	365
387	4	2	5	20b	22	366
387	4	3	1	1	8a	366
388	4	3	1	8b	17	367
389	4	3	1	18	26a	368
390	4	3	1	26b	27	369
390	4	3	2	1	8a	369
391	4	3	2	8b	13	370
391	4	3	3	1	4a	370
392	4	3	3	4b	11a	371
393	4	3	3	11b	18a	372
394	4	3	3	18b	19	373
394	4	3	4	1	5a	373
395	4	3	4	5b	14a	374
396	4	3	4	14b	21a	375
397	4	3	4	21b	29a	376
398	4	3	4	29b	33	377
398	4	3	5	1	5	377
399	4	3	5	6	14a	378
400	4	3	5	14b	23a	379
401	4	3	5	23b	24	380
401	4	4	1	1	7a	380
402	4	4	1	7b	15a	381
403	4	4	1	15b	18	382
403	4	4	2	1	4a	382
404	4	4	2	4b	12a	383
405	4	4	2	12b	18a	384
406	4	4	2	18b	18b	385
406	4	4	3	1	10a	385
407	4	4	3	10b	15	386
407	4	4	4	1	3a	386
408	4	4	4	3b	10a	387
409	4	4	4	10b	14	388
409	4	4	5	1	2a	388
410	4	4	5	2b	13a	389
411	4	4	5	13b	20a	390
412	4	4	5	20b	23	391
412	4	5	1	1	3a	391
413	4	5	1	3b	12a	392
414	4	5	1	12b	16	393
414	4	5	2	1	3a	393
415	4	5	2	3b	10a	394
416	4	5	2	10b	17a	395
417	4	5	2	17b	18	396
417	4	5	3	1	7a	396
418	4	5	3	7b	11	397
418	4	5	4	1	5a	397
419	4	5	4	5b	14	398
420	4	5	5	1	12a	399
421	4	5	5	12b	13	400
421	4	5	6	1	5a	400
422	4	5	6	5b	5b	401
422	4	5	7	1	7a	401
423	4	5	7	7b	9	402
423	4	5	8	1	9a	402
424	4	5	8	9b	16	403
425	4	5	9	1	9a	404
426	4	5	9	9b	13	405
426	4	5	10	1	7a	405
427	4	5	10	7b	8	406
427	4	6	1	1	9a	406
428	4	6	1	9b	15	407
428	4	6	2	1	2	407
428	4	6	3	1	1a	407
429	4	6	3	1b	3	408
429	4	6	4	1	5a	408
430	4	6	4	5b	6	409
430	4	6	5	1	5	409
430	4	6	6	1	3a	409
431	4	6	6	3b	8	410
431	4	6	7	1	2a	410
432	4	6	7	2b	11a	411
433	4	6	7	11b	20a	412
434	4	6	7	20b	21	413
434	4	6	8	1	7a	413
435	4	6	8	7b	15a	414
436	4	6	8	15b	20	415
436	4	6	9	1	2a	415
437	4	6	9	2b	12a	416
438	4	6	9	12b	19a	417
439	4	6	9	19b	25	418
442	5	1	1	1	8a	421
443	5	1	1	8b	16	422
444	5	1	2	1	10a	423
445	5	1	2	10b	19a	424
446	5	1	2	19b	19b	425
446	5	1	3	1	6a	425
447	5	1	3	6b	14a	426
448	5	1	3	14b	14b	427
448	5	1	4	1	6a	427
449	5	1	4	6b	12a	428
450	5	1	4	12b	15	429
450	5	1	5	1	6a	429
451	5	1	5	6b	17a	430
452	5	1	5	17b	26a	431
453	5	1	5	26b	28	432
453	5	2	1	1	2a	432
454	5	2	1	2b	10a	433
455	5	2	1	10b	18a	434
456	5	2	1	18b	25	435
456	5	2	2	1	2a	435
457	5	2	2	2b	13a	436
458	5	2	2	13b	21a	437
459	5	2	2	21b	21b	438
459	5	2	3	1	6a	438
460	5	2	3	6b	10	439
460	5	2	4	1	2a	439
461	5	2	4	2b	8a	440
462	5	2	4	8b	14a	441
463	5	2	4	14b	20	442
463	5	2	5	1	2a	442
464	5	2	5	2b	11a	443
465	5	2	5	11b	17	444
465	5	3	1	1	2a	444
466	5	3	1	2b	7a	445
467	5	3	1	7b	12a	446
468	5	3	1	12b	13	447
468	5	3	2	1	4a	447
469	5	3	2	4b	8	448
469	5	3	3	1	3	448
470	5	3	3	4	12a	449
471	5	3	3	12b	15	450
471	5	3	4	1	5a	450
472	5	3	4	5b	12a	451
473	5	3	4	12b	18a	452
474	5	3	4	18b	28a	453
475	5	3	4	28b	28b	454
475	5	3	5	1	8a	454
476	5	3	5	8b	16a	455
477	5	3	5	16b	25a	456
478	5	3	5	25b	33a	457
479	5	3	5	33b	37	458
479	5	4	1	1	7a	458
480	5	4	1	7b	15a	459
481	5	4	1	15b	17	460
481	5	4	2	1	5a	460
482	5	4	2	5b	10	461
482	5	4	3	1	2a	461
483	5	4	3	2b	12a	462
484	5	4	3	12b	20a	463
485	5	4	3	20b	27a	464
486	5	4	3	27b	27b	465
486	5	4	4	1	9a	465
487	5	4	4	9b	19a	466
488	5	4	4	19b	25	467
488	5	4	5	1	2a	467
489	5	4	5	2b	12a	468
490	5	4	5	12b	22a	469
491	5	4	5	22b	23	470
491	5	5	1	1	6a	470
492	5	5	1	6b	12	471
492	5	5	2	1	1a	471
493	5	5	2	1b	10a	472
494	5	5	2	10b	10b	473
494	5	5	3	1	7	473
495	5	5	4	1	11a	474
496	5	5	4	11b	22a	475
497	5	5	4	22b	29a	476
498	5	5	4	29b	35	477
498	5	5	5	1	4a	477
499	5	5	5	4b	13a	478
500	5	5	5	13b	19	479
520	6	1	1	1	8a	499
521	6	1	1	8b	15a	500
522	6	1	1	15b	15b	501
522	6	1	2	1	9a	501
523	6	1	2	9b	18a	502
524	6	1	2	18b	28a	503
525	6	1	2	28b	34a	504
526	6	1	2	34b	35	505
526	6	1	3	1	8a	505
527	6	1	3	8b	18a	506
528	6	1	3	18b	20	507
528	6	2	1	1	6a	507
529	6	2	1	6b	14	508
530	6	2	1	15	24a	509
531	6	2	1	24b	33a	510
532	6	2	1	33b	39	511
532	6	2	2	1	3a	511
533	6	2	2	3b	10a	512
534	6	2	2	10b	16a	513
535	6	2	2	16b	28a	514
536	6	2	2	28b	35a	515
537	6	2	2	35b	39a	516
538	6	2	2	39b	40	517
538	6	2	3	1	7a	517
539	6	2	3	7b	10	518
539	6	3	1	1	5a	518
540	6	3	1	5b	15a	519
541	6	3	1	15b	19a	520
542	6	3	1	19b	25a	521
543	6	3	1	25b	33a	522
544	6	3	1	33b	41a	523
545	6	3	1	41b	44	524
545	6	3	2	1	4a	524
546	6	3	2	4b	10	525
546	6	3	3	1	5a	525
547	6	3	3	5b	13a	526
548	6	3	3	13b	18a	527
549	6	3	3	18b	25a	528
550	6	3	3	25b	26	529
550	6	4	1	1	5a	529
551	6	4	1	5b	12	530
552	6	4	2	1	8a	531
553	6	4	2	8b	10	532
553	6	4	3	1	5a	532
554	6	4	3	5b	10	533
554	6	4	4	1	1a	533
555	6	4	4	1b	10a	534
556	6	4	4	10b	18a	535
557	6	4	4	18b	22	536
557	6	5	1	1	4a	536
558	6	5	1	4b	12a	537
559	6	5	1	12b	12b	538
559	6	5	2	1	5a	538
560	6	5	2	5b	14a	539
561	6	5	2	14b	22a	540
562	6	5	2	22b	22b	541
562	6	5	3	1	7a	541
563	6	5	3	7b	11	542
563	6	5	4	1	4a	542
564	6	5	4	4b	10a	543
565	6	5	4	10b	17	544
565	6	6	1	1	1a	544
566	6	6	1	1b	11a	545
567	6	6	1	11b	22a	546
568	6	6	1	22b	24	547
568	6	6	2	1	6a	547
569	6	6	2	6b	14a	548
570	6	6	2	14b	16	549
570	6	6	3	1	5a	549
571	6	6	3	5b	11a	550
572	6	6	3	11b	17	551
572	6	6	4	1	2a	551
573	6	6	4	2b	9a	552
574	6	6	4	9b	15	553
574	6	7	1	1	2a	553
575	6	7	1	2b	12a	554
576	6	7	1	12b	20a	555
577	6	7	1	20b	28	556
578	6	7	2	1	6a	557
579	6	7	2	6b	14a	558
580	6	7	2	14b	16	559
580	6	7	3	1	5a	559
581	6	7	3	5b	11a	560
582	6	7	3	11b	16	561
582	6	7	4	1	2a	561
583	6	7	4	2b	7a	562
584	6	7	4	7b	14a	563
585	6	7	4	14b	15	564
585	6	8	1	1	6a	564
586	6	8	1	6b	14a	565
587	6	8	1	14b	15	566
587	6	8	2	1	5a	566
588	6	8	2	5b	12a	567
589	6	8	2	12b	12b	568
590	7	1	1	1	8a	569
591	7	1	1	8b	16a	570
592	7	1	1	16b	25a	571
593	7	1	1	25b	32a	572
594	7	1	1	32b	41a	573
595	7	1	1	41b	44	574
595	7	1	2	1	5a	574
596	7	1	2	5b	12a	575
597	7	1	2	12b	20a	576
598	7	1	2	20b	23	577
598	7	2	1	1	4a	577
599	7	2	1	4b	10a	578
600	7	2	1	10b	15	579
601	7	2	1	16	20	580
601	7	2	2	1	4a	580
602	7	2	2	4b	12a	581
603	7	2	2	12b	21a	582
604	7	2	2	21b	21b	583
604	7	2	3	1	7a	583
605	7	2	3	7b	9	584
605	7	2	4	1	8a	584
606	7	2	4	8b	19a	585
607	7	2	4	19b	30a	586
608	7	2	4	30b	30b	587
608	7	3	1	1	8a	587
609	7	3	1	8b	16a	588
610	7	3	1	16b	23a	589
611	7	3	1	23b	29a	590
612	7	3	1	29b	37a	591
613	7	3	1	37b	44a	592
614	7	3	1	44b	47	593
614	7	3	2	1	2a	593
615	7	3	2	2b	9a	594
616	7	3	2	9b	14a	595
617	7	3	2	14b	19	596
617	7	4	1	1	1a	596
618	7	4	1	1b	9a	597
619	7	4	1	9b	14a	598
620	7	4	1	14b	20a	599
621	7	4	1	20b	30a	600
622	7	4	1	30b	36a	601
623	7	4	1	36b	42a	602
624	7	4	1	42b	45	603
624	7	4	2	1	4a	603
625	7	4	2	4b	11a	604
626	7	4	2	11b	17a	605
627	7	4	2	17b	24a	606
628	7	4	2	24b	31a	607
629	7	4	2	31b	40a	608
630	7	4	2	40b	40b	609
630	7	5	1	1	6a	609
631	7	5	1	6b	12a	610
632	7	5	1	12b	21a	611
633	7	5	1	21b	27a	612
634	7	5	1	27b	36a	613
635	7	5	1	36b	38	614
635	7	5	2	1	6a	614
636	7	5	2	6b	12a	615
637	7	5	2	12b	19a	616
638	7	5	2	19b	28a	617
639	7	5	2	28b	34a	618
640	7	5	2	34b	38a	619
641	7	5	2	38b	43a	620
642	7	5	2	43b	55a	621
643	7	5	2	55b	62	622
658	8	1	1	1	5	637
659	8	1	1	6	9	638
659	8	1	2	1	2a	638
660	8	1	2	2b	7a	639
661	8	1	2	7b	11	640
661	8	1	3	1	3a	640
662	8	1	3	3b	9a	641
663	8	1	3	9b	10	642
663	8	1	4	1	4a	642
664	8	1	4	4b	10	643
664	8	2	1	1	2a	643
665	8	2	1	2b	7a	644
666	8	2	1	7b	14	645
667	8	2	1	15	18	646
667	8	2	2	1	4a	646
668	8	2	2	4b	9a	647
669	8	2	2	9b	9b	648
669	8	2	3	1	6a	648
670	8	2	3	6b	14a	649
671	8	2	3	14b	14b	650
671	8	2	4	1	16a	650
672	8	2	4	16b	20	651
672	8	3	1	1	4a	651
673	8	3	1	4b	11a	652
674	8	3	1	11b	14	653
674	8	3	2	1	2a	653
675	8	3	2	2b	10a	654
676	8	3	2	10b	14	655
676	8	3	3	1	5a	655
677	8	3	3	5b	12	656
677	8	3	4	1	1a	656
678	8	3	4	1b	10a	657
679	8	3	4	10b	15	658
679	8	4	1	1	3a	658
680	8	4	1	3b	10a	659
681	8	4	1	10b	16a	660
682	8	4	1	16b	22	661
683	8	4	1	23	28	662
683	8	4	2	1	2a	662
684	8	4	2	2b	9a	663
685	8	4	2	9b	16	664
686	8	4	3	1	10a	665
687	8	4	3	10b	18a	666
688	8	4	3	18b	20	667
688	8	4	4	1	4a	667
689	8	4	4	4b	11a	668
690	8	4	4	11b	12	669
690	8	5	1	1	5a	669
691	8	5	1	5b	13a	670
692	8	5	1	13b	17	671
692	8	5	2	1	4a	671
693	8	5	2	4b	8a	672
694	8	5	2	8b	17a	673
695	8	5	2	17b	17b	674
695	8	5	3	1	7a	674
696	8	5	3	7b	8	675
696	8	5	4	1	7	675
697	8	5	4	8	12	676
697	8	6	1	1	4a	676
698	8	6	1	4b	7a	677
699	8	6	1	7b	12a	678
700	8	6	1	12b	17a	679
701	8	6	1	17b	21a	680
702	8	6	1	21b	23	681
702	8	6	2	1	3a	681
703	8	6	2	3b	13a	682
704	8	6	2	13b	19	683
704	8	6	3	1	1a	683
705	8	6	3	1b	10a	684
706	8	6	3	10b	17	685
707	8	6	3	18	24a	686
708	8	6	3	24b	24b	687
708	8	7	1	1	6a	687
709	8	7	1	6b	13a	688
710	8	7	1	13b	23a	689
711	8	7	1	23b	24	690
711	8	7	2	1	6a	690
712	8	7	2	6b	14a	691
713	8	7	2	14b	19	692
713	8	7	3	1	2a	692
714	8	7	3	2b	9a	693
715	8	7	3	9b	18a	694
716	8	7	3	18b	21	695
716	8	7	4	1	3a	695
717	8	7	4	3b	14a	696
718	8	7	4	14b	21	697
720	9	1	1	1	6a	699
721	9	1	1	6b	15a	700
722	9	1	1	15b	23a	701
723	9	1	1	23b	32a	702
724	9	1	1	32b	41a	703
725	9	1	1	41b	44	704
725	9	1	2	1	2a	704
726	9	1	2	2b	12a	705
727	9	1	2	12b	17	706
728	9	1	2	18	24a	707
729	9	1	2	24b	33a	708
730	9	1	2	33b	40a	709
731	9	1	2	40b	43	710
731	9	2	1	1	7a	710
732	9	2	1	7b	14a	711
733	9	2	1	14b	21a	712
734	9	2	1	21b	23	713
734	9	2	2	1	4a	713
735	9	2	2	4b	7	714
735	9	2	3	1	3a	714
736	9	2	3	3b	9a	715
737	9	2	3	9b	16a	716
738	9	2	3	16b	24a	717
739	9	2	3	24b	31a	718
740	9	2	3	31b	37	719
741	9	2	3	38	43a	720
742	9	2	3	43b	51a	721
743	9	2	3	51b	51b	722
743	9	3	1	1	8a	722
744	9	3	1	8b	19a	723
745	9	3	1	19b	26	724
745	9	3	2	1	2a	724
746	9	3	2	2b	9a	725
747	9	3	2	9b	10	726
747	9	3	3	1	9a	726
748	9	3	3	9b	17a	727
749	9	3	3	17b	19	728
749	9	3	4	1	3a	728
750	9	3	4	3b	10a	729
751	9	3	4	10b	18a	730
752	9	3	4	18b	18b	731
752	9	4	1	1	7a	731
753	9	4	1	7b	13a	732
754	9	4	1	13b	16	733
754	9	4	2	1	5a	733
755	9	4	2	5b	14a	734
756	9	4	2	14b	25a	735
757	9	4	2	25b	28	736
757	9	4	3	1	6a	736
758	9	4	3	6b	11a	737
759	9	4	3	11b	16	738
759	9	4	4	1	3a	738
760	9	4	4	3b	12a	739
761	9	4	4	12b	17	740
761	9	5	1	1	6a	740
762	9	5	1	6b	16a	741
763	9	5	1	16b	25a	742
764	9	5	1	25b	36a	743
765	9	5	1	36b	43a	744
766	9	5	1	43b	52a	745
767	9	5	1	52b	58	746
768	9	5	1	59	68a	747
769	9	5	1	68b	68b	748
769	9	5	2	1	7a	748
770	9	5	2	7b	13a	749
771	9	5	2	13b	16	750
780	10	1	1	1	8a	759
781	10	1	1	8b	11	760
781	10	1	2	1	4a	760
782	10	1	2	4b	9	761
782	10	1	3	1	3a	761
783	10	1	3	3b	11a	762
784	10	1	3	11b	11b	763
784	10	1	4	1	5a	763
785	10	1	4	5b	13a	764
786	10	1	4	13b	14	765
786	10	1	5	1	4a	765
787	10	1	5	4b	4b	766
787	10	2	1	1	8a	766
788	10	2	1	8b	11	767
788	10	2	2	1	5a	767
789	10	2	2	5b	8	768
789	10	2	3	1	5a	768
790	10	2	3	5b	14a	769
791	10	2	3	14b	18	770
791	10	2	4	1	4a	770
792	10	2	4	4b	8	771
792	10	2	5	1	2a	771
793	10	2	5	2b	13a	772
794	10	2	5	13b	16	773
794	10	2	6	1	4a	773
795	10	2	6	4b	12a	774
796	10	2	6	12b	19a	775
797	10	2	6	19b	19b	776
797	10	3	1	1	8a	776
798	10	3	1	8b	9	777
798	10	3	2	1	13	777
798	10	3	3	1	2a	777
799	10	3	3	2b	8	778
799	10	3	4	1	2a	778
800	10	3	4	2b	5	779
800	10	3	5	1	1a	779
801	10	3	5	1b	12a	780
802	10	3	5	12b	16	781
802	10	4	1	1	2a	781
803	10	4	1	2b	10a	782
804	10	4	1	10b	18a	783
805	10	4	1	18b	23	784
805	10	4	2	1	2a	784
806	10	4	2	2b	18a	785
807	10	4	2	18b	27a	786
