page	kāṇḍa	adhy.	brāhm.	from kaṇḍikā	to kaṇḍikā	ipage
22	1	1	1	1	7a	1
23	1	1	1	7b	17a	2
24	1	1	1	17b	22	3
24	1	1	2	1	3a	3
25	1	1	2	3b	13a	4
26	1	1	2	13b	22a	5
27	1	1	2	22b	23	6
27	1	1	3	1	6a	6
28	1	1	3	6b	12	7
28	1	1	4	1	3a	7
29	1	1	4	3b	9a	8
30	1	1	4	9b	17a	9
31	1	1	4	17b	24	10
31	1	2	1	1	3a	10
32	1	2	1	3b	12a	11
33	1	2	1	12b	21a	12
34	1	2	1	21b	22	13
34	1	2	2	1	4a	13
35	1	2	2	4b	15a	14
36	1	2	2	15b	18	15
36	1	2	3	1	6a	15
37	1	2	3	6b	9	16
37	1	2	4	1	4a	16
38	1	2	4	4b	14a	17
39	1	2	4	14b	20a	18
40	1	2	4	20b	21	19
40	1	2	5	1	9a	19
41	1	2	5	9b	17a	20
42	1	2	5	17b	24a	21
43	1	2	5	24b	26	22
43	1	3	1	1	6a	22
44	1	3	1	6b	15a	23
45	1	3	1	15b	23a	24
46	1	3	1	23b	28	25
46	1	3	2	1	6a	25
47	1	3	2	6b	15a	26
48	1	3	2	15b	18	27
48	1	3	3	1	4a	27
49	1	3	3	4b	12a	28
50	1	3	3	12b	20a	29
51	1	3	3	20b	20b	30
51	1	3	4	1	10a	30
52	1	3	4	10b	16	31
52	1	3	5	1	3a	31
53	1	3	5	3b	12a	32
54	1	3	5	12b	16	33
54	1	4	1	1	4	33
55	1	4	1	5	15a	34
56	1	4	1	15b	25a	35
57	1	4	1	25b	34a	36
58	1	4	1	34b	39a	37
59	1	4	1	39b	40	38
59	1	4	2	1	10a	38
60	1	4	2	10b	19	39
61	1	4	3	1	14a	40
62	1	4	3	14b	22	41
62	1	4	4	1	5a	41
63	1	4	4	5b	15a	42
64	1	4	4	15b	15b	43
64	1	4	5	1	7a	43
65	1	4	5	7b	13	44
65	1	5	1	1	4a	44
66	1	5	1	4b	15a	45
67	1	5	1	15b	25a	46
68	1	5	1	25b	26	47
68	1	5	2	1	6a	47
69	1	5	2	6b	18a	48
70	1	5	2	18b	20	49
70	1	5	3	1	6a	49
71	1	5	3	6b	14a	50
72	1	5	3	14b	23a	51
73	1	5	3	23b	25	52
73	1	5	4	1	5a	52
74	1	5	4	5b	16	53
74	1	6	1	1	1a	53
75	1	6	1	1b	11	54
76	1	6	1	12	20a	55
77	1	6	1	20b	21	56
77	1	6	2	1	5a	56
78	1	6	2	5b	12	57
78	1	6	3	1	5a	57
79	1	6	3	5b	14a	58
80	1	6	3	14b	23a	59
81	1	6	3	23b	30a	60
82	1	6	3	30b	39a	61
83	1	6	3	39b	41	62
83	1	6	4	1	5a	62
84	1	6	4	5b	15a	63
85	1	6	4	15b	21	64
85	1	7	1	1	1a	64
86	1	7	1	1b	11a	65
87	1	7	1	11b	19a	66
88	1	7	1	19b	21	67
88	1	7	2	1	9a	67
89	1	7	2	9b	17a	68
90	1	7	2	17b	26a	69
91	1	7	2	26b	26b	70
91	1	7	3	1	10a	70
92	1	7	3	10b	18a	71
93	1	7	3	18b	28a	72
94	1	7	3	28b	28b	73
94	1	7	4	1	8a	73
95	1	7	4	8b	19a	74
96	1	7	4	19b	22	75
96	1	8	1	1	4	75
97	1	8	1	5	13a	76
98	1	8	1	13b	24a	77
99	1	8	1	24b	31a	78
100	1	8	1	31b	41a	79
101	1	8	1	41b	44	80
101	1	8	2	1	6a	80
102	1	8	2	6b	14a	81
103	1	8	2	14b	17	82
103	1	8	3	1	5a	82
104	1	8	3	5b	13a	83
105	1	8	3	13b	21a	84
106	1	8	3	21b	27a	85
107	1	8	3	27b	27b	86
107	1	9	1	1	8a	86
108	1	9	1	8b	16a	87
109	1	9	1	16b	26a	88
110	1	9	1	26b	29	89
110	1	9	2	1	6	89
111	1	9	2	7	19a	90
112	1	9	2	19b	28a	91
113	1	9	2	28b	35a	92
114	1	9	2	35b	35b	93
114	1	9	3	1	9a	93
115	1	9	3	9b	16a	94
116	1	9	3	16b	23	95
156	2	1	1	1	7a	135
157	2	1	1	7b	14	136
157	2	1	2	1	2a	136
158	2	1	2	2b	11a	137
159	2	1	2	11b	19	138
159	2	1	3	1	1a	138
160	2	1	3	1b	9	139
160	2	1	4	1	1a	139
161	2	1	4	1b	8a	140
162	2	1	4	8b	17a	141
163	2	1	4	17b	27a	142
164	2	1	4	27b	30	143
164	2	2	1	1	3a	143
165	2	2	1	3b	14a	144
166	2	2	1	14b	22	145
167	2	2	2	1	10a	146
168	2	2	2	10b	20a	147
169	2	2	2	20b	20b	148
169	2	2	3	1	7	148
170	2	2	3	8	19a	149
171	2	2	3	19b	27a	150
172	2	2	3	27b	28	151
172	2	2	4	1	6a	151
173	2	2	4	6b	15a	152
174	2	2	4	15b	18	153
174	2	3	1	1	4a	153
175	2	3	1	4b	12a	154
176	2	3	1	12b	19a	155
177	2	3	1	19b	30a	156
178	2	3	1	30b	39a	157
179	2	3	1	39b	39b	158
179	2	3	2	1	8a	158
180	2	3	2	8b	18a	159
181	2	3	2	18b	18b	160
181	2	3	3	1	8a	160
182	2	3	3	8b	16	161
183	2	3	3	17	20	162
183	2	3	4	1	5a	162
184	2	3	4	5b	13a	163
185	2	3	4	13b	21a	164
186	2	3	4	21b	29a	165
187	2	3	4	29b	37a	166
