volume	page	kāṇḍa	varga	from verse	to verse
I	252	1	1	1	8a
I	253	1	1	8b	22a
I	254	1	1	22b	33a
I	255	1	1	33b	45a
I	256	1	1	45b	57a
I	257	1	1	57b	70a
I	258	1	1	70b	84a
I	259	1	1	84b	97a
I	260	1	1	97b	109a
I	261	1	1	109b	122a
I	262	1	1	122b	133
I	263	1	2	1	13a
I	264	1	2	13b	26
I	265	1	2	27	36
I	266	2	1	1	14a
I	267	2	1	14b	20
I	267	2	2	1	6a
I	268	2	2	6b	10
I	268	2	3	1	6
I	269	2	4	1	12a
I	270	2	4	12b	25a
I	271	2	4	25b	38a
I	272	2	4	38b	42
I	272	2	5	1	7a
I	273	2	5	7b	20a
I	274	2	5	20b	33a
I	275	2	5	33b	37
I	275	2	6	1	7a
I	276	2	6	7b	20a
I	277	2	6	20b	34a
I	278	2	6	34b	43
I	278	2	7	1	1a
I	279	2	7	1b	15a
I	280	2	7	15b	28a
I	281	2	7	28b	31
I	281	2	8	1	8a
I	282	2	8	8b	21a
I	283	2	8	21b	34a
I	284	2	8	34b	47
I	285	2	8	48	61a
I	286	2	8	61b	62
I	286	2	9	1	9a
I	287	2	9	9b	23a
I	288	2	9	23b	36a
I	289	2	9	36b	36
I	289	2	10	1	11a
I	290	2	10	11b	18
I	290	3	1	1	4a
I	291	3	1	4b	17a
I	292	3	1	17b	27
I	292	3	2	1	1a
I	293	3	2	1b	15a
I	294	3	2	15b	28a
I	295	3	2	28b	29
I	295	3	3	1	10a
I	296	3	3	10b	23
I	297	3	3	24	37a
I	298	3	3	37b	51a
I	299	3	3	51b	64a
I	300	3	3	64b	78a
I	301	3	3	78b	90a
I	302	3	3	90b	104a
I	303	3	3	104b	116a
I	304	3	3	116b	129a
I	305	3	3	129b	142a
I	306	3	3	142b	156a
I	307	3	3	156b	169a
I	308	3	3	169b	182a
I	309	3	3	182b	195a
I	310	3	3	195b	208a
I	311	3	3	208b	221a
I	312	3	3	221b	234a
I	313	3	3	234b	248a
I	314	3	3	248b	261a
I	315	3	3	261b	274a
I	316	3	3	274b	287a
I	317	3	3	287b	300a
I	318	3	3	300b	313a
I	319	3	3	313b	326a
I	320	3	3	326b	339a
I	321	3	3	339b	353a
I	322	3	3	353b	366a
I	323	3	3	366b	379
I	324	3	3	380	393a
I	325	3	3	393b	406a
I	326	3	3	406b	420a
I	327	3	3	420b	433a
I	328	3	3	433b	446a
I	329	3	3	446b	459a
I	330	3	3	459b	466
I	330	3	4	1	4a
I	331	3	4	4b	6
I	331	3	5	1	10a
I	332	3	5	10b	22a
I	333	3	5	22b	25
