	ending	Col. 1808	verses	Lois. 1839	verses
0	---	0	5	0	5
1.1	---	1.1.1	67	1.1.1	67
	---	1.1.2	37	1.1.2	37
	---	1.1.3	22	1.1.3	22
	---	1.1.4	26	1.1.4	26
	---	1.1.5	22	1.1.5	22
	---	1.1.6	4	1.1.6	4
	---	1.1.7	38	1.1.7	38
1.2	---	1.2.1	12	1.2.1	12
	---	1.2.2	4	1.2.2	4
	---	1.2.3	43	1.2.3	43
2.1	---	2.1	19	2.1	19
2.2	---	2.2	20	2.2	20
2.3	---	2.3	8	2.3	8
2.4	---	2.4.1	20	2.4.1	20
	---	2.4.2	62	2.4.2	62
	---	2.4.3	31	2.4.3	31
	---	2.4.4	23	2.4.4	23
	---	2.4.5	35	2.4.5	35
2.5	---	2.5	43	2.5	43
2.6	---	2.6.1	49	2.6.1	49
	---	2.6.2	50	2.6.2	50
	---	2.6.3	41	2.6.3	41
2.7	---	2.7	57	2.7	57
2.8	---	2.8.1	32	2.8.1	32
	---	2.8.2	88	2.8.2	88
2.9	---	2.9	112	2.9	112
2.10	---	2.10	47	2.10	47
3.1	---	3.1	51	3.1	51
3.2	---	3.2	62	3.2	62
3.3	---	3.3	43	3.3	43
3.5	---	3.5	23	3.5	23
3.6	---	3.6.1	1-10	3.6.1	1-10
	---	3.6.2	11-21	3.6.2	11-21
	---	3.6.3	22-32a	3.6.3	22-32a
	---	3.6.4	32b-36	3.6.4	32b-36
	---	3.6.5	37-38	3.6.5	37-38
	---	3.6.6	39-41	3.6.6	39-41
	---	3.6.7	42a	3.6.7	42a
	---	3.6.8	42b-47	3.6.8	42b-46
3.4	ka	3.4.1	1-18	3.4.1	1-18
	kha	3.4.2	19-20a	3.4.2	19-20a
	ga	3.4.3	20b-27	3.4.3	20b-27
	gha	3.4.4	28-29a	3.4.4	28-29a
	ca	3.4.5	29b-30	3.4.5	29b-30
	cha	3.4.6	31	3.4.6	31
	ja	3.4.7	32-34	3.4.7	32-34
	ña	3.4.8	35-36a	3.4.8	35-36a
	ṭa	3.4.9	36b-42a	3.4.9	36b-42a
	ṭha	3.4.10	42b	3.4.10	42b-44a
	ḷa	3.4.10	43-44a	---	---
	ḍa	3.4.10	44b-46	3.4.11	44b-46
	ḍha	3.4.11	47	3.4.12	47
	ṇa	3.4.11	48-59	3.4.13	48-59
	ta	3.4.12	60-88a	3.4.14	60-88a
	tha	3.4.13	88b-90	3.4.15	88b-90
	da	3.4.14	91-98a	3.4.16	91-98a
	dha	3.4.15	98b-107a	3.4.17	98b-107a
	na	3.4.16	107b-131a	3.4.18	107b-131a
	pa	3.4.17	131b-134	3.4.19	131b-134
	pha	3.4.18	135a	3.4.20	135a
	ba	3.4.19	135b-136	3.4.21	135b-136
	bha	3.4.19	137-140a	3.4.22	137-140a
	ma	3.4.19	140b-147a	3.4.23	140b-147a
	ya	3.4.20	147b-163a	3.4.24	147b-163a
	ra	3.4.21	163b-194	3.4.25	163b-194
	la	3.4.22	195-207	3.4.26	195-207
	va	3.4.23	208-215	3.4.27	208-215
	śa	3.4.24	216-220a	3.4.28	216-220a
	ṣa	3.4.25	220b-227	3.4.29	220b-227
	sa	3.4.26	228-237	3.4.30	228-237
	ha	3.4.27	238-241	3.4.31	238-241
	avya.	3.4.28	18	3.4.32	18
					
Notes:					
1	Except 3.4.x & 3.6.x (that have cumulative numbering), all other sections have individual verse numbering.				
2.	Last section of 3.4 (avy.) has separate treatment with individual verse numbering!				
3.	While Colebrooke has used "ḷa", Deslonchamps is missing it.				
