page	from verse	to verse
350	1	6a
351	6b	16a
352	16b	29a
353	29b	43a
354	43b	56a
355	56b	69a
356	69b	82a
357	82b	94a
358	94b	108a
359	108b	121a
360	121b	134a
361	134b	146
362	147	159
363	160	172
364	173	185a
365	185b	198a
366	198b	211a
367	211b	224a
368	224b	237a
369	237b	250a
370	250b	263a
371	263b	276a
372	276b	278
