page	sarga	vers from	vers to	int page
16	1	1	3	3
17	1	4	8	4
18	1	9	13	5
19	1	14	18	6
20	1	19	23	7
21	1	24	28	8
22	1	29	33	9
23	1	34	38	10
24	1	39	43	11
25	1	44	48	12
26	1	49	53	13
27	1	54	58	14
28	1	59	61	15
29	2	1	4	16
30	2	5	10	17
31	2	11	16	18
32	2	17	22	19
33	2	23	28	20
34	2	29	34	21
35	2	35	40	22
36	2	41	46	23
37	2	47	52	24
38	2	53	58	25
39	2	59	64a	26
40	2	64b	64b	27
41	3	1	4	28
42	3	5	9	29
43	3	10	14	30
44	3	15	19	31
45	3	20	24	32
46	3	25	29	33
47	3	30	34	34
48	3	35	39	35
49	3	40	44	36
50	3	45	49	37
51	3	50	54	38
52	3	55	59	39
53	3	60	64	40
54	3	65	69	41
55	3	70	74	42
56	3	75	76	43
57	4	1	4	44
58	4	5	9	45
59	4	10	14	46
60	4	15	19	47
61	4	20	24	48
62	4	25	29	49
63	4	30	34	50
64	4	35	39	51
65	4	40	44	52
66	4	45	46	53
67	5	1	3	54
68	5	4	8	55
69	5	9	13	56
70	5	14	18	57
71	5	19	23	58
72	5	24	28	59
73	5	29	33	60
74	5	34	38	61
75	5	39	43	62
76	5	44	48	63
77	5	49	53	64
78	5	54	58	65
79	5	59	63	66
80	5	64	68	67
81	5	69	73	68
82	5	74	78	69
83	5	79	83	70
84	5	84	86	71
85	6	1	4	72
86	6	5	10	73
87	6	11	16	74
88	6	17	22	75
89	6	23	28	76
90	6	29	34	77
91	6	35	40	78
92	6	41	46	79
93	6	47	52	80
94	6	53	58	81
95	6	59	64	82
96	6	65	70	83
97	6	71	76	84
98	6	77	82	85
99	6	83	88	86
100	6	89	94	87
101	6	95	95	88
102	7	1	3	89
103	7	4	8	90
104	7	9	13	91
105	7	14	18	92
106	7	19	23	93
107	7	24	28	94
108	7	29	33	95
109	7	34	38	96
110	7	39	43	97
111	7	44	48	98
112	7	49	53	99
113	7	54	58	100
114	7	59	63	101
115	7	64	68	102
116	7	69	73	103
117	7	74	78	104
118	7	79	83	105
119	7	84	88	106
120	7	89	93	107
121	7	94	95	108
