page	anka	vers from	vers to	int page	remarks
22	---	---	---	1	The title page
23	---	---	---	2	blank
24	0	1	2	3	
25	0	3	3	4	
26	1	---	---	5	
27	1	4	4	6	
28	1	5	7	7	
29	1	8	9a	8	
30	1	9b	11	9	
31	1	12	13	10	
32	1	14	15	11	
33	1	16	16	12	
34	1	17	18	13	
35	1	19	19	14	
36	2	---	---	15	
37	2	---	---	16	
38	2	20	20	17	
39	3	21	21	18	
40	3	22	22	19	
41	3	23	25	20	
42	3	26	27	21	
43	3	28	28	22	
44	3	---	---	23	
45	3	---	---	24	
46	3	29	30	25	
47	3	31	32	26	
48	3	33	33	27	
49	3	34	35	28	
50	3	36	36	29	
51	3	37	37	30	
52	3	38a	38a	31	
53	3	38b	38b	32	
54	3	39	40	33	
55	3	41	41	34	
56	4	---	---	35	
57	4	---	---	36	
58	4	42	43	37	
59	4	44	46	38	
60	4	47	48	39	
61	4	49	50	40	
62	4	---	---	41	
63	4	51	52	42	
64	4	53a	53a	43	
65	4	53b	54	44	
66	4	---	---	45	
67	4	55	55	46	
68	4	56	57	47	
69	4	58	59	48	
70	4	60	62	49	
71	4	63	63	50	
72	5	64	65	51	
73	5	---	---	52	
74	5	66	67	53	
75	6	68	70	54	
76	6	71	74	55	
77	6	75	77	56	
78	6	78	81	57	
79	6	82	85	58	
80	6	86	88	59	
81	6	89	91	60	
82	6	92	94	61	
83	6	95	98a	62	
84	6	98b	103	63	
85	6	104	107	64	
86	6	108	110	65	
87	6	111	114	66	
88	6	115	117	67	
89	6	118	122a	68	
90	6	122b	125	69	
91	6	126	129	70	
92	6	130	132	71	
93	6	133	134	72	
94	6	135	137	73	
95	6	138	138	74	
96	7	---	---	75	
97	7	139	140	76	
98	7	141	143	77	
99	7	144	145	78	
100	7	146	147	79	
101	7	148	148	80	
102	7	149	149	81	
103	7	150	150	82	
104	7	151	153	83	
105	7	154	154	84	
106	7	155	156	85	
107	7	157	157	86	
108	7	158	158	87	
109	7	159	161	88	
110	7	162	163	89	
