fixed	4	383	aMsa	<ls>ŚAT. BR. 3,5,1,5. 6.</ls>	<ls>ŚAT. BR. 3,5,1,5.</ls> <ls n="ŚAT. BR. 3,5,1,">6.</ls>
True	4	439	aMsala	<ls>ŚAT. BR. 3,1,2,21.</ls>	
True	4	440	aMsala	<ls n="ŚAT. BR. 3,">8,4,6.</ls>	
True	4	822	akAma	<ls>ŚAT. BR. 1,2,3,1.</ls>	
True	4	1215	akna	<ls>ŚAT. BR. 3,2,1,5.</ls>	
True	4	1356	akza	<ls>ŚAT. BR. 5,4,1,6.</ls>	
fixed	4	1723	akzayya	<ls>ŚAT. BR. 1,6,1,19. 4,16.</ls>	<ls>ŚAT. BR. 1,6,1,19.</ls> <ls n="ŚAT. BR. 1,6,">4,16.</ls>
True	4	2005	akzAvapana	<ls>ŚAT. BR. 5,3,1,11.</ls>	
True	4	2012	akzAvApa	<ls>ŚAT. BR. 5,3,1,11.</ls>	
fixed	4	2032	akzi	<ls>ŚAT. BR. 3,1,3,10. 8,2,6.</ls>	<ls>ŚAT. BR. 3,1,3,10.</ls> <ls n="ŚAT. BR. 3,">8,2,6.</ls>
True	4	2223	akzetra	<ls>ŚAT. BR. 1,4,1,15.</ls>	
True	4	2302	akzRa	<ls>ŚAT. BR. 3,5,4,13.</ls>	
True	4	2304	akzRa	<ls n="ŚAT. BR.">3,8,3,27.</ls>	
True	4	3262	agnitA	<ls>ŚAT. BR. 2,2,4,2.</ls>	
True	4	3310	agnidagDa	<ls>ŚAT. BR. 1,1,2,9.</ls>	
True	4	3379	agninakzatra	<ls>ŚAT. BR. 2,1,2,10.</ls>	
True	4	3639	agniretasa	<ls>ŚAT. BR. 3,2,4,8.</ls>	
True	4	3797	agniSiKA	<ls>ŚAT. BR. 1,9,3,2.</ls>	
True	4	3870	agnizWa	<ls>ŚAT. BR. 3,7,1,13.</ls>	
fixed	4	3876	agnizvAtta	<ls>ŚAT. BR. 2,6,1,6. 7. 29.</ls>	<ls>ŚAT. BR. 2,6,1,6.</ls> <ls n="ŚAT. BR. 2,6,1,">7.</ls> <ls n="ŚAT. BR. 2,6,1,">29.</ls>
fixed	4	3890	agnisaMkASa	<ls>ŚAT. BR. 2,1,1,5. 2,4,15.</ls>	<ls>ŚAT. BR. 2,1,1,5.</ls> <ls n="ŚAT. BR. 2,">2,4,15.</ls>
fixed	4	3969	agnihotra	<ls>ŚAT. BR. 2,2,4,7. 3,1,1. 3,9. fgg. 4,3,14. 3,2,2,7.</ls>	<ls>ŚAT. BR. 2,2,4,7.</ls> <ls n="ŚAT. BR. 2,">3,1,1.</ls> <ls n="ŚAT. BR. 2,3,">3,9. fgg.</ls> <ls n="ŚAT. BR. 2,">4,3,14.</ls> <ls n="ŚAT. BR.">3,2,2,7.</ls>
fixed	4	4001	agnihotrahavaRI	<ls>ŚAT. BR. 1,1,1,22. 2,1.</ls>	<ls>ŚAT. BR. 1,1,1,22.</ls> <ls n="ŚAT. BR. 1,1,">2,1.</ls>
True	4	4013	agnihotrAhuti	<ls>ŚAT. BR. 2,3,3,17.</ls>	
True	4	4025	agnihotrocCizwa	<ls>ŚAT. BR. 2,3,1,39.</ls>	
True	4	4031	agnID	<ls>ŚAT. BR. 1,2,4,13.</ls>	
True	4	4098	agnIzomIya	<ls>ŚAT. BR. 1,6,3,14.</ls>	
fixed	4	4160	agnyupasTAna	<ls>ŚAT. BR. 2,3,4,38. 4,2,2.</ls>	<ls>ŚAT. BR. 2,3,4,38.</ls> <ls n="ŚAT. BR. 2,">4,2,2.</ls>
True	4	4208	agra	<ls>ŚAT. BR. 1,1,3,7.</ls>	
True	4	4235	agra	<ls>ŚAT. BR. 1,1,2,5.</ls>	
True	4	4609	agri	<ls>ŚAT. BR. 2,2,4,2.</ls>	
True	4	4698	agregU	<ls>ŚAT. BR. 1,1,3,7.</ls>	
True	4	4730	agrepU	<ls>ŚAT. BR. 1,1,3,7.</ls>	
True	4	4785	agrya	<ls>ŚAT. BR. 2,4,3,13.</ls>	
True	4	5473	aNKay	<ls>ŚAT. BR. 1,7,2,17.</ls>	
True	4	5486	aNg	<ls>ŚAT. BR. 1,7,1,18.</ls>	
True	4	5488	aNg	<ls>ŚAT. BR. 3,9,2,16.</ls>	
True	4	5489	aNg	<ls n="ŚAT. BR.">2,3,3,12.</ls>	
None	4	5491	aNg	<ls>ŚAT. BR. 3,4,3,2-5.</ls>	
True	4	6371	aNguli	<ls>ŚAT. BR. 1,1,2,16.</ls>	
None	4	6372	aNguli	<ls n="ŚAT. BR.">3,4,3,2-5.</ls>	
fixed	4	6373	aNguli	<ls>ŚAT. BR. 3,1,3,25. 2,1,36.</ls>	<ls>ŚAT. BR. 3,1,3,25.</ls> <ls n="ŚAT. BR. 3,">2,1,36.</ls>
