abbr	len	ambiguous	raw	marked	unmarked	ctx1	ctx2	ctx3
c.	2	Y	11772	0	11772	#} oder {#ananna/#} <ls>P. 6,2,161.</ls> Das Partic. praet. pass. verbindet sich mit der verneinten Fo	indet sich mit der verneinten Form desselben Partic. sehr häufig zu einem Compositum, <ls>P. 2,1,60.</	k1>aMseBAra<k2>aMseBAra {#aMseBAra#}¦ ({#aMse#} Loc. von {#aMsa + BAra#}) <lex>m.</lex> {%Schulterjoch
vgl.	4		11607	83	11524	t in einander) <ls>P. 1,1,14</ls>, <ls>Sch.</ls>; vgl. <is>gaṇa</is> {#cAdi#} und <ls>VOP. 2,19.</ls> Dr	nd ergänzt {#yaTA#}) <ls>CHĀND. UP. 4,17,10.</ls> vgl. {#anikzu#} {%eine Art Zuckerrohr%} ({#ikzu#}), da	der Tag in kleinere Zeitabschnitte getheilt wird; vgl. {#aMSo 'zwamo 'hnaH#} {%die 8te Stunde des Tages%
st.	3	Y	11047	0	11047	goth. <is>amsa</is> sich als die ältere Form erweist. <LEND>  <L>9<pc>1-0004<k1>aMSaka<k2>aMSaka<h>1 1.	n Grammatikern vielleicht erst geschaffen worden ist. <LEND>  <L>48<pc>1-0006<k1>aMh<k2>aMh<h>2 2. {#aM	.</ls> immer nur der Abl. sg. {#aMhos#} in der subst. Bedeutung {%Enge, Drangsal%}: <ls n="ṚV.">1,63,7.
ed.	3	Y	9864	0	9864	s, asma/Byam, asma/t, asmA/kam, asmA/su#} und im ved. {#asme/#} . <div n="2">— b) der 3ten Person; <lex	hwandern%}: {#tvaM devi brahmalokaM samakzase#} (Med.) <ls>R. 2,52,80.</ls> <LEND>  <L>166<pc>1-0013<k1	b) {%nicht vergangen, unvergänglich%} (in dieser Bed. sehr häufig): {#saM goma^dindra\ vAja^vada\sme pf
fg.	3	Y	7693	1	7692	>, <ls>NIR. XLVII.</ls> <ls>WEBER, Lit. 119. 143. fg.</ls> {#viMSino 'NgirasaH#} {%der aus 20%} (<is>Kā	%}, <ls>NIR. 12,29.</ls> Erläut. <ls n="NIR.">165 fg.</ls> <ls>ṚV. 2,31,6.</ls> {#a\ja eka^pAtsu\have^B	/ls> <ls>H. an. 3,238.</ls> <ls>BURN. Intr. I,101 fg.</ls> <div n="2">— h) N. des 2ten <is>Arhant's</is
Sch.	4		7086	2	7084	iessen nicht in einander) <ls>P. 1,1,14</ls>, <ls>Sch.</ls>; vgl. <is>gaṇa</is> {#cAdi#} und <ls>VOP. 2,	dir, mögest du sterben%} <ls>P. 3,3,112</ls>, <ls>Sch.</ls> {#akAraRAt#} {%ohne Grund%} <ls>R. 1,2,32.</	</is>, {%des%} <ab n="?">D.</ab> {%unwürdig%} <ls>Sch.</ls> In der Regel behält das Substantiv die unver
best.	5		6614	0	6614	a#}¦ ({#a˚ + srARa = SrARa#}) <lex>n.</lex> {%ein best. Wundmittel%}: {#a\ru\ssrARa^mi\daM ma\hatpf^Ti\vy	 die Kategorie der Objecte bezüglich%}, Titel von best. <is>Sūtra's</is> bei den Buddhisten <ls>BURN. Int	 {#arDatUra#}¦ ({#a˚ + tU˚#}) <lex>m.</lex> {%ein best. musikalisches Instrument%} <ls>H. ś. 86.</ls> <LE
v. a.	5		6567	1	6566	,1.</ls> <div n="1">— 2) {%Fluch, Verdammung%} s. v. a. {%Unglück%}: {#naBo\ na rU\paM ja^ri\mA mi^nAti p	= <ls>BṚH. ĀR. UP. 3,9,18</ls>; dem Sinne nach s. v. a. {%hast du dir für die Brahmanen die Finger verbre	/ls> {#tasmAdaSmano 'yo Damanti#} (ebenso wohl s. v. a. {%Erzgestein%}, vgl. <ls>ṚV. 9,112,2</ls> : {#kA\
Ind.	4		6536	0	6536	,27.</ls> gehört nicht, wie <ls>WEBER</ls> in <ls>Ind. St. I,339, N.</ls> anzunehmen geneigt wäre, hierh	>SĀYAṆA</ls> zu <ls>ŚAT. BR. 5,4,1,6.</ls> in <ls>Ind. St. I,285, N.</ls> und <ls>ROTH</ls> in <ls>Z. d.	<is>Ilvala</is> <ls n="R.">3,16,34</ls>; vgl. <ls>Ind. St. I,475, N.</ls> In den Scholien zu <ls>ŚIŚ. 1,
St.	3	Y	6472	0	6472	/ls> gehört nicht, wie <ls>WEBER</ls> in <ls>Ind. St. I,339, N.</ls> anzunehmen geneigt wäre, hierher. 	ṆA</ls> zu <ls>ŚAT. BR. 5,4,1,6.</ls> in <ls>Ind. St. I,285, N.</ls> und <ls>ROTH</ls> in <ls>Z. d. d. 	ṆAPR.</ls> in <ls>Mém. de l'Acad. Imp. dés sc. de St.-Pétersb. VI série. I,243.</ls> <LEND>  <L>201<pc>
d. St.	6		6441	0	6441	7.</ls> gehört nicht, wie <ls>WEBER</ls> in <ls>Ind. St. I,339, N.</ls> anzunehmen geneigt wäre, hierher. 	ĀYAṆA</ls> zu <ls>ŚAT. BR. 5,4,1,6.</ls> in <ls>Ind. St. I,285, N.</ls> und <ls>ROTH</ls> in <ls>Z. d. d. 	s>Ilvala</is> <ls n="R.">3,16,34</ls>; vgl. <ls>Ind. St. I,475, N.</ls> In den Scholien zu <ls>ŚIŚ. 1,16. 
Schol.	6		6287	0	6287	s>MED.</ls> {%Unterkleid%} <ls>ŚABDĀRṆ.</ls> beim Schol. zu <ls>ŚIŚ. 13,31.</ls> ({#aMSukaM vastramAtre sy	"> 1) {%der Wasserstrom in den Lüften%} (nach dem Schol. die <is>Yamunā</is>) <ls>ṚV. 8,96,13</ls> — <ls n	er Verlängerung) {%an die Achse gebunden; Ross%} (Schol.): {#a\kzA\naho^ nahyatano\ta so^myA\ izkf^RuDvaM 
fgg.	4		5532	1	5531	 <ls>BṚH. DEV.</ls> (<ls n="BṚH. DEV.">5,30.</ls> fgg.; vgl. <ls>SĀY.</ls> zu <ls>ṚV. 7,33,10.</ls>) fol	t der Einsiedler des Südens, <ls>LIA. I,535. 582. fgg.</ls> Trinkt das Meer aus (daher sein Name <is>Pīt	her sein Name <is>Pītābdhi</is>) <ls>MBH. 3,8805. fgg.</ls>; frisst den <is>Vātāpi</is> <ls n="MBH.">12,
w.	2	Y	5178	0	5178	<div n="1">— 5) {%kleines Stückchen Faden%} u. s. w. ({#sUtrAdisUkzmAMSe#}) <ls>H. an. 2,542.</ls> {%g	f.</lex> {%niedriger Stand%}: {#kuvivAhEH#} u. s. w. {#kulAnyakulatAM yAnti#} <ls>M. 3,63.</ls> <LEND>	ala#}) <lex>n.</lex> {%Ungeschicklichkeit%} u. s. w. <ls>P. 7,3,30</ls>, wo es wie {#AkOSala#} von {#a
p.	2	Y	4801	0	4801	P. 6,2,">174.</ls> <ls>AUFR.</ls> {%De accentu comp.%} § 35. 36. 40. 44,6. 127-132; über die Bildung v	P. 5,4,71.</ls> {#arAjA#} (sonst am Ende eines Comp. — {#rAjas), asaKA#} (sonst — {#saKas#}), ({#agOs#	von 1. {#aMSa#}) am Ende eines <lex>adj.</lex> Comp.: {#sarve vA syuH samAMSinaH#} {%oder alle mögen g
Bez.	4		4266	0	4266	{#muca#}) <lex>f.</lex> {%die Nichtloslassende%}, Bez. eines dämon. Wesens: {#amu^cyA dru\haH pA\SAn#} <	 san ..#} <ls>PAÑCAT. I,57.</ls> <div n="1">— 10) Bez. einer Ceremonie (im Anschluss an 1. {%Blitzstrahl	) <lex>m.</lex> {%einen Lebensunterhalt habend%}, Bez. einer bes. Art Bettler ({#ekadaRqin#}) <ls>Ind. S
pl.	3	Y	4232	2	4230	="ṚV.">5,60,5.</ls> <div n="1">— 2) <lex>m.</lex> pl. eine Klasse von Göttern bei den Buddhisten <ls>BU	.">10,1,2.</ls> Der Gen. {#aktos#} und der Instr. pl. {#aktuBis#} {%bei Nacht%}: {#i\dA ci\dahna\ i\dA 	v n="1">— 2) <lex>n.</lex> sg. oder <lex>m.</lex> pl. {%geröstetes Korn%} <ls>AK. 2,9,47.</ls> <ls>H. 4
v. l.	5		4195	3	4192	 {#aMsa#}¦ <lex>m.</lex> {%Theil%} <ls>AK. 2,9,9, v. l.</ls> <ls>H. an. 2,574.</ls> <ls>VIŚVA</ls> im <ls	) {%Donnerkeil%} <ls>PUR.</ls> im <ls>ŚKDR.</ls> (v. l. {#asTija#}) <div n="1">— 2) <is>Viṣṇu</is>, <ls>H	Akzara#} {%Worte der Weigerung%} <ls n="ŚĀK.">73, v. l.</ls> {#vacaH paruzAkzaram#} <ls n="ŚĀK.">69,2</ls
dass.	5		3827	3	3824	<div n="v">— Vgl. {#aGay#} . <div n="p">— {#aBi#} dass. {#yo na\H kaScA^ByaGA\yati^#} <ls>AV. 7,71,3.</ls	s> <ls>ŚĀK. 54, v. l.</ls> — Instr. {#a/jasreRa#} dass.: {#aja^sreRa\ davi^dyutat#} (<is>Agni</is>) <ls>Ṛ	tizWA/vant#}¦ (von {#atizWA#} 2.) <lex>adj.</lex> dass.: {#ha\stI mf\gARA^M su\zadA^mati\zWAvA^nba\BUva\ 
nom.	4		3722	1	3721	  <L>13<pc>1-0004<k1>aMSay<k2>aMSay {#aMSay#}¦ (Denom. von {#aMSa#} {%Theil%}), {#aMSa/yati#} {%theilen%	SApay<k2>aMSApay {#aMSApay#}¦, {#aMSApa/yati#} (Denom. von {#aMSa#} {%Theil) theilen%}, <ls>WEST.</ls> s	>VS. 38,28.</ls> Vielleicht ist {#agnihutaH#} als nom. zu fassen. <LEND>  <L>489<pc>1-0036<k1>agnihotar<
caus.	5		3646	7	3639	 und {#aNgay#} . <div n="p">— {#pali#} ({#pari#}) caus. {%herumgehen lassen, umrühren%}: {#palya\Nya#} <l	"ŚAT. BR.">2,3,3,12.</ls> <div n="p">— {#vipali#} caus. {%umhüllen%}: {#te 'gni\nEva tva\caM vipa\lyANgay	097<k1>atipAtita<k2>atipAtita {#atipAtita#}¦ (vom caus. von {#pat, patati#} mit {#ati#}) <lex>adj.</lex> 
comp.	5		3499	0	3499	n="P. 6,2,">174.</ls> <ls>AUFR.</ls> {%De accentu comp.%} § 35. 36. 40. 44,6. 127-132; über die Bildung v	ls>M. 5,29.</ls> Ueberaus häufig nach {#cara#} im comp.; s. {#carAcara#} . <LEND>  <L>799<pc>1-0060<k1>ac	="R.">3,33,38.</ls> Am Ende eines <lex>adj.</lex> comp. <lex>f.</lex> {#A#} <ls>R. 4,26,15.</ls> <div n="
s. u.	5		3418	6	3412	eber die Bedeutung und die Betonung dieser Formen s. u. {#idam#} . Demselben Stamme begegnen wir ferner i	agastyaH#} <ls>DURGAD.</ls> zu <ls>NIR. 1,5</ls>; s. u. {#agastya#} . <div n="v">— Vgl. {#ag#} . <LEND>  	 <lex>f.</lex> {#ajA/#} <div n="2"> a) {%Ziege%}, s. u. 1. {%c.%} <div n="2">— b) N. einer strauchartigen
sc.	3	Y	3207	0	3207	s>SUVARṆAPR.</ls> in <ls>Mém. de l'Acad. Imp. dés sc. de St.-Pétersb. VI série. I,243.</ls> <LEND>  <L>	antität der Silben gemessen wird%}, <ls>COLEBR. Misc. Ess. II,158.</ls> <LEND>  <L>209<pc>1-0018<k1>akz	<ls>ŚRUT. 7.</ls> (<ls>BR. 9.</ls>) <ls>COLEBR. Misc. Ess. II,158.</ls> <LEND>  <L>215<pc>1-0018<k1>akz
Bein.	5		2627	0	2627	¦ ({#anDaka#} 2,a. + {#GAtin#}) <lex>m.</lex> ein Bein. <is>Śiva's</is> <ls>MBH. 12,10356.</ls> <LEND>  <	Dakaripu#}¦ ({#anDaka + ripu#}) <lex>m.</lex> ein Bein. <is>Śiva's</is> <ls>AK. 1,1,1,29.</ls> {#SlezakAv	#}¦ ({#anDaka#} 2,a. + {#ari#}) <lex>m.</lex> ein Bein. <is>Śiva's</is> <ls>H. 200</ls>, <ls>Sch.</ls> <l
acc.	4		2624	2	2622	gniminDa<k2>agniminDa/ {#agniminDa/#}¦ ({#agnim#} acc. von {#agni + inDa#}) <ls>P. 6,3,70</ls>, <is>Vārt	 sagen%}: <div n="1"> 1) {%einwilligen%}, mit dem acc. der Sache: {#vayameva taTA kurmo yaTAsO svayameva	<L>821<pc>1-0061<k1>aciram<k2>aciram {#aciram#}¦ (acc. von {#acira#}) adv. {%in Kurzem, bald%}: {#svarga
sg.	3	Y	2604	0	2604	onst erscheint im <ls>ṚV.</ls> immer nur der Abl. sg. {#aMhos#} in der subst. Bedeutung {%Enge, Drangsa	ntr. I, ">616.</ls> <div n="1">— 3) <lex>m.</lex> sg. <is>Buddha</is>, <ls>ŚABDAR.</ls> im <ls>ŚKDR.</l	ŚV. GṚHY. 2,1.</ls> <div n="1">— 2) <lex>n.</lex> sg. oder <lex>m.</lex> pl. {%geröstetes Korn%} <ls>AK
partic.	7		2331	1	2330	c>1-0049<k1>aNkUyant<k2>aNkUya/nt {#aNkUya/nt#}¦ (partic. praes. von einem denom. {#aNkUy#}) {%Krümmungen, 	irAMSu, acirABa#} . Am Anf. eines comp. vor einem partic.: {%seit Kurzem%}: {#acirodita#} <ls>M. 3,280.</ls	n. 7,20.</ls> <ls>MED. <is>avy</is>. 20.</ls> Ein partic. fut. pass. von einer mit {#ati#} zusammengesetzte
Comm.	5		2198	1	2197	 <ls>ṚV.</ls> immer in derselben Verbindung; vgl. Comm. zu <ls>NIR. S. 61.</ls> <LEND>  <L>247<pc>1-0020<	fRa<k2>alAtfRa/ {#alAtfRa/#}¦ <lex>adj.</lex> die Comm. führen das Wort auf {#alam#} und Wurzel {#tfnd#} 	ApAtato 'DigatAKilavedArTaH#} <ls>VEDĀNTAS. 1,10. Comm. 13,13. 25,2</ls> v. u. <ls n="VEDĀNTAS.">26,3</ls
patron.	7		2095	0	2095	>2 2. {#aSvya/#}¦ (wie eben) <lex>m.</lex> N. pr. patron. des <is>Vaśa</is>, so v. a. {%Sohn%} <is>Aśva's</	1-0585<k1>AkaSAyeya<k2>AkaSAyeya/ {#AkaSAyeya/#}¦ patron. von {#akaSAya#} (3. {#a + kaSAya, kazAya?#}) <is>	-0598<k1>Agastya<k2>A/gastya<h>2 2. {#A/gastya#}¦ patron. von {#agasti#} <is>gaṇa</is> {#gargAdi#} zu <ls>P
Bed.	4		1984	37	1947	 b) {%nicht vergangen, unvergänglich%} (in dieser Bed. sehr häufig): {#saM goma^dindra\ vAja^vada\sme pf	#} <ls>M. 6,40.</ls> {%fein, substil%} in übertr. Bed.: {#aRureza DarmaH#} <ls>KAṬHOP. 1,21.</ls> {#aRuh	. von {#idam#} und zwar <div n="2"> a) mit subst. Bed.: {#atra#} (<ab>d. i.</ab> {#nABipradeSe) vA annaM
med.	4		1935	0	1935	k2>aj {#aj#}¦, {#a/jati#} <ls>DHĀTUP. 7,55.</ls> (med. kommt gleichfalls vor). Nach <ls>P. 2,4,56.</ls> 	</ls> <ls>VS. 23,19.</ls> <ls>AIT. BR. 1,27.</ls> med.: {#A De\numa^jaDvam#} <ls>ṚV. 6,48,11.</ls> <div 	n="ṚV.">4,1,13.</ls> <ls>BṚH. ĀR. UP. 3,1,1.</ls> med.: {#u\sriyA^ u\dAja^ta#} <ls>ṚV. 1,112,12.</ls> <l
u. s. w.	8		1924	12	1912	</ls> <div n="1">— 5) {%kleines Stückchen Faden%} u. s. w. ({#sUtrAdisUkzmAMSe#}) <ls>H. an. 2,542.</ls> {%g	 <lex>f.</lex> {%niedriger Stand%}: {#kuvivAhEH#} u. s. w. {#kulAnyakulatAM yAnti#} <ls>M. 3,63.</ls> <LEND>	 + kOSala#}) <lex>n.</lex> {%Ungeschicklichkeit%} u. s. w. <ls>P. 7,3,30</ls>, wo es wie {#AkOSala#} von {#a
Ausg.	5		1658	0	1658	CaH#} <ls>TRIK.</ls> als Autorität auf; die Calc. Ausg. des <ls>TRIK.</ls> liest aber {#vfkzaHkAraskaroga	öthigt sind (<ls>ARJ. 1,8.</ls> ist mit der Calc. Ausg. {#agryaM#} st. {#agraM#} zu lesen), möchten wir d	OLEBR. Misc. Ess. II,55.</ls> <ls>WILS. Lex. 1ste Ausg. Pref. XXIV.</ls> <LEND>  <L>871<pc>1-0065<k1>aj<k
abstr.	6		1488	0	1488	a + kzetrajYa#}) <lex>adj.</lex> Bildung des Nom. abstr. <ls>P. 7,3,30.</ls> <LEND>  <L>266<pc>1-0021<k1>a	2>akzEtrajYya {#akzEtrajYya#}¦ <lex>n.</lex> Nom. abstr. von {#akzetrajYa#} <ls>P. 7,3,30.</ls> <div n="v"	a/ {#aKeditva/#}¦ ({#aKedin#}) <lex>n.</lex> Nom. abstr. von {#aKedin#}, ein Redevorzug ({#vAgguRa#}) der 
d. i.	5		1446	1446	0			
nom. abstr.	11		1443	2	1441	>679<pc>1-0051<k1>aNgatva<k2>aNgatva {#aNgatva#}¦ nom. abstr. <div n="1"> 1) von 2. {#aNga#} 2. <ls>NALOD. 1,23	Iyastva<k2>aRIyastva {#aRIyastva#}¦ <lex>n.</lex> nom. abstr. von {#aRIyaMs#} <ls>NIR. 1,2.</ls> <LEND>  <L>115	21<k1>adakziRatva<k2>adakziRatva {#adakziRatva#}¦ nom. abstr. von 2. {#adakziRa#} in der 2ten Bedeutung, eine E
v. u.	5		1436	54	1382	me <is>Viṣṇu's</is> <ls>HARIV. S. 927, Z. 5</ls>, v. u. <div n="2">— b) Name einer Pflanze = {#agnijAra#}	ṚH.</ls> in <ls>Verz. d. B. H. S. 244, Z. 3</ls>, v. u. <LEND>  <L>704<pc>1-0053<k1>aNgavEkfta<k2>aNgavEk	</ls> <ls>MED.</ls> <ls>HARIV. S. 927, Z. 4</ls>, v. u. <ls>VOP. 5,29.</ls> <div n="2">— d) <is>Śiva</is>
gen.	4		1420	0	1420	} stehen, haben wir des Accents wegen hierher gezogen. <ls>ŚĀNT. 2,12.</ls> heisst es nämlich, dass {#ak	ga, agitA#} {%sich winden, sich in Krümmungen bewegen.%} — <is>Caus</is>. {#agayati#} <ls>WEST.</ls> Ist	eses Wortes lässt sich das masc. nicht weiter belegen. In der <is>Veda</is>-Literatur bezeichnet {#agnih
act.	4		1352	0	1352	,3.</ls> <ls n="HIT.">18,15.</ls> nach einem Nom. act.: {#strIDanaM vinA vartanAkzamaH#} <ls>DĀY. 125,6.	akzataM vA#}). <div n="1">— 2) <lex>n.</lex> Nom. act. <ls>P. 6,4,60</ls>, <ls>Sch.</ls> <ls>NAIGH. 1,12	 yo no^ aGA\yati^#} <ls>ṚV. 1,131,7.</ls> Partic. act. {#aGAya/nt#} <ls n="ṚV.">1,91,8.</ls> <ls n="ṚV."
a. O.	5		1311	0	1311	(s. d.) geschafft wird. Vgl. <ls>AIT. BR.</ls> a. a. O. und <ls>ĀŚV. ŚR. 4,10.</ls> <LEND>  <L>507<pc>1-0	>an. 2,52.</ls> <ls>MED. gh. 1.</ls> <ls>VAIJ. a. a. O.</ls> {#aGaM sa kevalaM BuNkte yaH pacatyAtmakAraR	 an. 2,52.</ls> <ls>MED. gh. 1.</ls> <ls>VAIJ. a. a. O.</ls> <div n="v">— Vgl. {#aMhas, aNGas#} . <LEND> 
a. a. O.	8		1308	3	1305	#} (s. d.) geschafft wird. Vgl. <ls>AIT. BR.</ls> a. a. O. und <ls>ĀŚV. ŚR. 4,10.</ls> <LEND>  <L>507<pc>1-0	<ls>an. 2,52.</ls> <ls>MED. gh. 1.</ls> <ls>VAIJ. a. a. O.</ls> {#aGaM sa kevalaM BuNkte yaH pacatyAtmakAraR	>H. an. 2,52.</ls> <ls>MED. gh. 1.</ls> <ls>VAIJ. a. a. O.</ls> <div n="v">— Vgl. {#aMhas, aNGas#} . <LEND> 
loc.	4		1253	3	1250	0042<k1>agrega<k2>agrega/ {#agrega/#}¦ ({#agre#} [loc. von {#agra] + ga#} {%gehend%}) <lex>adj.</lex> {%	uRAgrya = sattva#} <ls>RAGH. 3,27.</ls> Mit einem loc. {%ausgezeichnet,%} [Page1-0044] {%erfahren in ein	8<k1>aNgezWA<k2>aNgezWA/ {#aNgezWA/#}¦ ({#aNge#} [loc. von 3. {#aNga] + sTA#} adj.) <lex>adj.</lex> {%in
Gegens.	7		1248	3	1245	.">4,1,30.</ls> <ls n="KĀTY. ŚR.">16,1,1.</ls> im Gegens. zu {#praDAna#} <ls n="KĀTY. ŚR.">1,2,18.</ls> <ls	>ṚV. PRĀT. 17,29.</ls> {%sehr fein, sehr klein%} (Gegens. {#sTavizWa): taRqulAH#} <ls>KĀTY. ŚR. 15,3,30.</l	lex> {#aRvI#} {%fein, dünn, schmal, sehr klein%} (Gegens. {#sTUla, mahant#}) <ls>AK. 3,2,11.</ls> <ls>TRIK.
pass.	5		1188	2	1186	ananna/#} <ls>P. 6,2,161.</ls> Das Partic. praet. pass. verbindet sich mit der verneinten Form desselben 	ta {#akampita#}¦ (3. {#a + kampita#} part. praet. pass. von {#kamp#}) <div n="1"> 1) <lex>adj.</lex> {%ni	ruc#}¦ ({#akftta#} [3. {#a + kftta#} part. praet. pass. von {#kart] + ruc#}) <lex>adj.</lex> {%von ungesc
Chr.	4		1001	0	1001	nes Autors aus dem 16ten Jahrh. <lex>n.</lex> <ls>Chr.</ls> <ls>COLEBR. Misc. Ess. I,337.</ls> <ls>Verz.	r Bedeutung das Wort <ls>DAŚAK.</ls> in <ls>BENF. Chr. 186,9</ls> auftritt. <LEND>  <L>6008<pc>1-0445<k1	er%} <is>Vaiśya</is> <ls>DAŚAK.</ls> in <ls>BENF. Chr. 186,17.</ls> {#aryA#} ist {%eine Frau aus der 3te
instr.	6		991	2	989	/girOkas {#a/girOkas#}¦ (3. {#a + girOkas [girA#} instr. von {#gir] + okas#}) <lex>adj.</lex> {%der sich d	826<pc>1-0061<k1>acireRa<k2>acireRa {#acireRa#}¦ (instr. von {#acira#}) adv. {%in Kurzem, bald%}; bei eine	ra#}) <lex>n.</lex> {%Ununterbrochenheit%}; davon instr. {#acCidreRa#} {%ohne Unterbrechung, von Anfang bi
nom. ag.	8		965	0	965	9<k1>aYjanI<k2>aYjanI {#aYjanI#}¦ (von {#aYjana#} nom. ag. von {#aYj#}) <lex>f.</lex> <div n="1"> 1) = {#lep	c>1-0103<k1>ativoQar<k2>ativoQa/r {#ativoQa/r#}¦ (nom. ag. von {#vah#} mit {#ati#}) {%der über Etwas%} (acc.	-0153<k1>aDizWAtar<k2>aDizWAta/r {#aDizWAta/r#}¦ (nom. ag. von {#sTA#} mit {#aDi#}) {%über Etwas stehend%}: 
bes.	4		924	0	924	#agnisAra#}¦ ({#agni + sAra#}) <lex>n.</lex> eine bes. Art Collyrium ({#rasAYjana#}) <ls>RĀJAN.</ls> im 	ch%}) <ls>AK. 2,6,2,15.</ls> <div n="1">— 2) eine bes. Krankheit, {%ein Anschwellen des Fleisches im Lei	51,b,1.</ls> <ls>TRIK. 3,5,10.</ls> {%Haken%} (insbes. zum Heranziehen), {%Angelhaken%}: {#dI\rGaste^ as
