abbr	len	ambiguous	raw	marked	unmarked	ctx1	ctx2	ctx3
MBH.	4		67257	0	67257	nfRin#} <lex>adj.</lex> {%frei von Schulden%} <ls>MBH.</ls> im <ls>ŚKDR.</ls> <LEND>  <L>7<pc>1-0003<k1>	>11,17,2.</ls> Name des 6ten <is>Āditya</is>, <ls>MBH. 1,2523.</ls> des 11ten, <ls>HARIV. 176.</ls> <ls>	en, abwehren%}: {#SaktiM vyaMsitAM mADavena#} <ls>MBH. 1,197.</ls> {#vyaMsayAmAsa taM tasya prahAram#} <
d.	2	Y	48761	0	48761	, asma/Byam, asma/t, asmA/kam, asmA/su#} und im ved. {#asme/#} . <div n="2">— b) der 3ten Person; <lex	öchte nicht mit einem Nicht-Tausend heimkehren%}, d. h. {%ich möchte nicht eher heimkehren, bis ein Ta	 (sonst — {#gavas#}) <ls>Sch.</ls> Ausnahmen: ebend. <ls n="P. 5,4,">72.</ls> <ls>VOP. 6,90.</ls> <div
N.	2	Y	38421	2	38419	be keine Freude am Spiel mit Nicht-Freunden%} <ls>N. 26,14.</ls> {#nAdvAreRa viSet#} {%er trete nicht 	 nicht, wie <ls>WEBER</ls> in <ls>Ind. St. I,339, N.</ls> anzunehmen geneigt wäre, hierher. Der Scholi	<ls>R. 1,2,5.</ls> {#asveda#} {%schweisslos%} <ls>N. 5,23.</ls> {#anaNga#} {%gliederlos, der Liebesgot
adj.	4		36087	7	36080	>afRin {#afRin#}¦ (3. {#a + fRin) = anfRin#} <lex>adj.</lex> {%frei von Schulden%} <ls>MBH.</ls> im <ls>	ka#}¦ <lex>f.</lex> {#aMSikA#} am Ende eines <lex>adj.</lex> Compositums. S. u. 1. {#aMSa#} . <LEND>  <L	Sala {#aMSala#}¦ (von {#aMSa#} {%Schulter%}) <lex>adj.</lex> {%stark, kräftig%} <ls>RAMĀN.</ls> zu <ls>A
z.	2	Y	27185	0	27185	bertreibender Weise gebraucht wird. So umschreibt z. B. <ls>ŚKDR.</ls> {#akeSa#} durch <div n="1"> 1) 	ntgegengesetzte Begriff gemeint wird; so bedeutet z. B. {#asita#} {%nicht weiss%} geradezu {%schwarz.%	 z. B. {#asita#} {%nicht weiss%} geradezu {%schwarz.%} Zwei Negationen bejahen: {#anamitaMpaca = mitaM
D.	2	Y	22975	0	22975	.</ls> Drückt Mitleid aus ({#anukampAyAm#}) <ls>MED. <is>avy</is>. 2.</ls> <LEND>  <L>2<pc>1-0001<k1>a	4.</ls> <ls>H. 1539.</ls> <ls>an. 7,1.</ls> <ls>MED. <is>avy</is>. 2.</ls> Ueber den Accent solcher zu	/ls> {#abrAhmaRa#} {%ein Nicht-Brahmane%} <ls>CHĀND. UP. 4,4,5.</ls> <ls>M. 7,85.</ls> {#anapuMsakena#
Verz.	5		22243	0	22243	nge%}, ein Theil des <is>Ādivārāhapurāṇa</is> <ls>Verz. d. B. H. 142.</ls> <LEND>  <L>323<pc>1-0026<k1>ag	 + cAra#}) <lex>m.</lex> {%Lauf des Canopus%} <ls>Verz. d. B. H. 240.</ls> <LEND>  <L>324<pc>1-0026<k1>ag	>Agastya's</is> {%Sammlung%}, ein Rechtsbuch, <ls>Verz. d. B. H. 316.</ls> <LEND>  <L>325<pc>1-0026<k1>ag
Spr.	4		21943	0	21943	,97.</ls> im Veda {#aNguzWa/#}, in der klass. <ls>Spr.</ls> {#aNgu/zWa#} <ls>ŚĀNT. 1,15.</ls> <lex>m.</l	<div n="v">— Vgl. <ls>ROTH</ls> in <ls>Z. f. vgl. Spr. 2,44.</ls> Ueber die verwandten Wörter s. u. {#aS	. 12,6.</ls> <ls>BṚH. DEV.</ls> in <ls>Z. f. vgl. Spr. 1,442.</ls> — Ueber die Etym. s. u. {#aSan#} und 
N. pr.	6		17791	7	17784	a {#agnidatta#}¦ ({#agni + datta#}) <lex>m.</lex> N. pr. <is>gaṇa</is> {#saKyAdi#}; Name eines Königs, <ls	ls>JAṬĀDH.</ls> im <ls>ŚKDR.</ls> <div n="1">— 2) N. pr. ein Sohn des <is>Priyavrata</is> und der <is>Kāmy	uta#}¦ ({#agni + yuta#} von {#yu#}) <lex>m.</lex> N. pr. ein Sohn <is>Sthūla's</is> und Verfasser von <ls>
an.	3	Y	11920	0	11920	ls n="TRIK. 3,3,">464.</ls> <ls>H. 1539.</ls> <ls>an. 7,1.</ls> <ls>MED. <is>avy</is>. 2.</ls> Ueber de	<ls>TRIK.</ls> {#svalpArTe#} <ls>MED.</ls> <ls>H. an.</ls>), weil sie, wie auch in andern Sprachen, bis	</ls> <div n="2">— a) {%Theil, Abschnitt%} <ls>H. an. 2,542.</ls> ({#ekadeSe vastunaH#}): {#zoqaSoM 'Sa
