page	patala	from v.	to v.	ipage	Remarks
22	1	1	1	1	
23	1	-	-	2	
24	1	2	4	3	
25	1	-	-	4	
26	1	-	-	5	
27	1	-	-	6	
28	1	-	-	7	
29	1	5	8	8	
30	1	-	-	9	
31	1	9	10	10	
31	1	11	11	10	
32	1	-	-	11	
33	1	-	-	12	
34	1	12	13	13	
35	1	14	14	14	
36	1	15	15	15	
37	1	16	16	16	
38	1	17	18	17	
39	1	19	20	18	
40	1	21	22	19	
41	1	23	23	20	
42	1	24	24	21	
43	1	25	25	22	
44	1	26	27	23	
45	1	28	28	24	
46	1	29	30	25	
47	1	-	-	26	
48	1	31	31	27	
49	1	32	32	28	
50	1	33	33	29	
51	1			30	
52	1	34	35	31	
53	1	36	36	32	
53	2	1	1	32	
54	2	2	2	33	
55	2	3	4	34	
56	2	5	5	35	
57	2	6	6	36	
58	2	7	9	37	
59	2	10	10	38	
59	2	11	11	38	
60	2	12	14	39	
61	2	15	15	40	
62	2	16	17	41	
63	2	18	19	42	
64	2	20	20	43	
64	2	21	21	43	
65	2	22	23	44	
66	2	24	25	45	
67	2	26	27	46	
68	2	-	-	47	
69	2	28	28	48	
70	2	29	30	49	
71	2	-	-	50	
72	2	31	31	51	
73	2	32	32	52	
74	2	-	-	53	
75	2	33	34	54	
76	2	35	35	55	
77	2	36	37	56	
78	2	38	38	57	
79	2	39	40	58	
80	2	41	42	59	
81	2	43	44	60	
82	3	1	3	61	
83	3	4	4	62	
84	3	5	5	63	
85	3	6	7	64	
86	3	8	9	65	
87	3	10	10	66	
87	3	11	12	66	print error as 22!
88	3	13	14	67	
89	3	15	15	68	
89	3	16	16	68	
90	3	17	18	69	
91	3	19	19	70	
91	4	1	1	70	
92	4	2	4	71	
93	4	5	5	72	
94	4	6	8	73	
95	4	9	10	74	
96	4	11	12	75	
97	4	13	13	76	
98	4	14	15	77	
99	4	16	17	78	
100	4	18	19	79	
101	4	20	20	80	
102	4	21	22	81	
103	4	23	24	82	
104	4	25	25	83	
104	4	26	27	83	
105	4	28	28	84	
106	4	29	31	85	
107	4	32	32	86	
108	4	33	33	87	
109	4	34	35	88	
110	4	36	36	89	
111	4	37	39	90	
112	4	40	40	91	
113	4	41	41	92	
114	5	1	1	93	
115	5	2	2	94	
116	5	3	3	95	
117	5	4	4	96	
118	5	5	5	97	
118	5	6	6	97	
119	5	7	7	98	
120	5	8	8	99	
121	5	9	10	100	
122	5	11	11	101	
123	5	12	13	102	
124	5	14	14	103	
125	5	15	15	104	
125	5	16	16	104	
126	5	17	19	105	
127	5	-	-	106	
128	5	20	20	107	
128	5	21	21	107	
129	5	22	22	108	
130	5	23	24	109	
131	5	25	25	110	
132	5	26	26	111	
133	5	27	27	112	
134	5	28	28	113	
134	6	1	1	113	
135	6	2	2	114	
136	6	-	-	115	
137	6	3	3	116	
138	6	4	5	117	
139	-	-	-	118	
140	6	6	6	119	
141	6	7	7	120	
142	6	8	8	121	
143	6	-	-	122	
144	6	9	9	123	
145	6	10	10	124	
145	6	11	11	124	
146	6	12	12	125	
147	6	13	13	126	print error as 31!
148	6	14	15	127	
149		-	-	128	
