volume	page	varga	from verse	to verse
I	382	k.	1	9
I	383	k.	10	22a
I	384	k.	22b	36a
I	385	k.	36b	49a
I	386	k.	49b	63a
I	387	k.	63b	76a
I	388	k.	76b	89a
I	389	k.	89b	103a
I	390	k.	103b	116a
I	391	k.	116b	129a
I	392	k.	129b	143a
I	393	k.	143b	156a
I	394	k.	156b	170a
I	395	k.	170b	183a
I	396	k.	183b	196
I	397	k.	197	211a
I	398	k.	211b	224a
I	399	k.	224b	235
I	400	kh.	1	13a
I	401	kh.	13b	19
I	401	g.	1	6a
I	402	g.	6b	20a
I	403	g.	20b	34a
I	404	g.	34b	47a
I	405	g.	47b	57
I	405	gh.	1	1a
I	406	gh.	1b	10
I	406	ṅ.	1	1
I	407	c.	1	13a
I	408	c.	13b	21
I	408	ch.	1	3a
I	409	ch.	3b	5
I	409	j.	1	9a
I	410	j.	9b	22a
I	411	j.	22b	35
I	412	j.	36	36
I	412	jh.	1	1
I	412	ñ.	1	4
I	413	ṭ.	1	13a
I	414	ṭ.	13b	26a
I	415	ṭ.	26b	39a
I	416	ṭ.	39b	53a
I	417	ṭ.	53b	66
I	418	ṭh.	1	12a
I	419	ṭh.	12b	21
I	419	ḍ.	1	3a
I	420	ḍ.	3b	16a
I	421	ḍ.	16b	29a
I	422	ḍ.	29b	40
I	423	ḍh.	1	11
I	424	ṇ.	1	14a
I	425	ṇ.	14b	27a
I	426	ṇ.	27b	40a
I	427	ṇ.	40b	54a
I	428	ṇ.	54b	68a
I	429	ṇ.	68b	81a
I	430	ṇ.	81b	95a
I	431	ṇ.	95b	108a
I	432	ṇ.	108b	117
I	432	t.	1	2a
I	433	t.	2b	15a
I	434	t.	15b	29a
I	435	t.	29b	42a
I	436	t.	42b	55
I	437	t.	56	69a
I	438	t.	69b	82a
I	439	t.	82b	95a
I	440	t.	95b	108a
I	441	t.	108b	121a
I	442	t.	121b	135a
I	443	t.	135b	149a
I	444	t.	149b	162a
I	445	t.	162b	175a
I	446	t.	175b	188a
I	447	t.	188b	202a
I	448	t.	202b	215a
I	449	t.	215b	229a
I	450	t.	229b	235
I	450	th.	1	5a
I	451	th.	5b	19a
I	452	th.	19b	29
I	452	d.	1	1a
I	453	d.	1b	15a
I	454	d.	15b	28a
I	455	d.	28b	41a
I	456	d.	41b	55a
I	457	d.	55b	56
I	457	dh.	1	10a
I	458	dh.	10b	24a
I	459	dh.	24b	38a
I	460	dh.	38b	48
I	460	n.	1	1a
I	461	n.	1b	14
I	462	n.	15	28a
I	463	n.	28b	41a
I	464	n.	41b	55a
I	465	n.	55b	69a
I	466	n.	69b	83a
I	467	n.	83b	97a
I	468	n.	97b	111a
I	469	n.	111b	124a
I	470	n.	124b	138a
I	471	n.	138b	151a
I	472	n.	151b	164a
I	473	n.	164b	178a
I	474	n.	178b	191a
I	475	n.	191b	204
I	476	n.	205	218a
I	477	n.	218b	231
I	478	n.	232	245a
I	479	n.	245b	253
I	479	p.	1	3
I	480	p.	4	17a
I	481	p.	17b	31a
I	482	p.	31b	31
I	482	ph.	1	3
I	482	b.	1	8a
I	483	b.	8b	17
I	483	bh.	1	3a
I	484	bh.	3b	17a
I	485	bh.	17b	25
I	485	m.	1	4a
I	486	m.	4b	18a
I	487	m.	18b	32a
I	488	m.	32b	46a
I	489	m.	46b	60a
I	490	m.	60b	63
I	490	y.	1	7
I	491	y.	8	21a
I	493	y.	21b	35a
I	493	y.	35b	48a
I	494	y.	48b	62a
I	495	y.	62b	75a
I	496	y.	75b	89a
I	497	y.	89b	102a
I	498	y.	102b	115a
I	499	y.	115b	129a
I	500	y.	129b	133
I	500	r.	1	7a
I	501	r.	7b	20a
I	502	r.	20b	34a
I	503	r.	34b	49a
I	504	r.	49b	63a
I	505	r.	63b	77a
I	506	r.	77b	91a
I	507	r.	91b	105a
I	508	r.	105b	118a
I	509	r.	118b	132a
I	510	r.	132b	146a
I	511	r.	146b	160a
I	512	r.	160b	173a
I	513	r.	173b	187a
I	514	r.	187b	200a
I	515	r.	200b	214a
I	516	r.	214b	228a
I	517	r.	228b	241
I	518	r.	242	255a
I	519	r.	255b	270a
I	520	r.	270b	284a
I	521	r.	284b	297
I	522	r.	298	309
I	523	l.	1	13a
I	524	l.	13b	27a
I	525	l.	27b	41a
I	526	l.	41b	54
I	527	l.	55	68a
I	528	l.	68b	82a
I	529	l.	82b	96a
I	530	l.	96b	110a
I	531	l.	110b	123a
I	532	l.	123b	137a
I	533	l.	137b	150a
I	534	l.	150b	163a
I	535	l.	163b	170
I	535	v.	1	5a
I	536	v.	5b	19a
I	537	v.	19b	33a
I	538	v.	33b	47a
I	539	v.	47b	61a
I	540	v.	61b	65
I	540	ś.	1	7a
I	541	ś.	7b	20a
I	542	ś.	20b	34a
I	543	ś.	34b	37
I	543	ṣ.	1	8a
I	544	ṣ.	8b	21
I	545	ṣ.	22	35a
I	546	ṣ.	35b	49
I	547	ṣ.	50	57
I	547	s.	1	4a
I	548	s.	4b	18a
I	549	s.	18b	32a
I	550	s.	32b	46a
I	551	s.	46b	60a
I	552	s.	60b	68
I	552	h.	1	3a
I	553	h.	3b	17a
I	554	h.	17b	30
I	555	h.	31	34
I	555	avy.	1	8a
I	556	avy.	8b	20
I	557	avy.	21	34a
I	558	avy.	34b	48a
I	559	avy.	48b	61a
I	560	avy.	61b	74a
I	561	avy.	74b	88a
I	562	avy.	88b	92
I	562	coloph.	1	6a
I	563	coloph.	6b	6
