pdfpage	adh.	Prabandha	from verse	to verse	ipage
46	1	1	1	4a	1
47	1	1	4b	8a	2
48	1	1	8b	13	3
49	1	1->2	14	18a	4
50	1	2	18b	23	5
51	1	2->3	24	28a	6
52	1	3	28b	33a	7
53	1	3->4	33b	37	8
54	1	4	38	42a	9
55	1	4	42b	47	10
56	1	4->5	48	48	11
56	2	4->5	1	3a	11
57	2	5	3b	8	12
58	2	5->6	9	13a	13
59	2	6	13b	18	14
60	2	6->7	19	21	15
60	3	6->7	1	2	15
61	3	7	3	9a	16
62	3	7	9b	14	17
63	3	7->8	15	16	18
64	4	7->8	1	3a	19
64	4	8	3b	8a	19
65	4	8->9	8b	13	20
66	4	9	14	20	21
67	4	9->10	21	23	22
67	5	9->10	1	1	22
68	5	10->11	2	7a	23
69	5	11	7b	13a	24
70	5	11	13b	19a	25
71	5	11->12	19b	20	26
72	6	12	1	3a	27
72	6	12	3b	8	27
73	6	12	9	12	28
74	7	13	1	6a	29
75	7	13	6b	11a	30
76	7	13->14	11b	16a	31
77	7	14	16b	21	32
78	7	15	22	26a	33
79	7	15->16	26b	31a	34
80	7	16	31b	38a	35
81	7	16	38b	42	36
82	8	17	1	5a	37
83	8	17	5b	10	38
84	8	17->18	11	11	39
84	9	17->18	1	4a	39
85	9	18	4b	10	40
86	9	18->19	11	11	41
86	10	18->19	1	3a	41
87	10	19	3b	8a	42
88	10	19	8b	13	43
89	10	19->20	14	16	44
89	11	19->20	1	1	44
90	11	20	2	8a	45
91	11	20	8b	13	46
92	11	21	14	20a	47
93	11	21->22	20b	25	48
94	11	22	26	31a	49
95	11	22	31b	34	50
96	12	23	1	6a	51
97	12	23	6b	12a	52
98	12	23->24	12b	17	53
99	12	24	18	22a	54
100	12	24	22b	27	55
101	12	24	28	30	56
