page	kanda	adhy.	from v.	to v.	ipage	Remarks
110	1	1	1	2	31	
111	1	1	3	5a	32	
112	1	1	5b	7a	33	
113	1	1	7b	9a	34	printed as 43
114	1	1	9b	12a	35	
115	1	1	12b	15a	36	
116	1	1	15b	17a	37	
117	1	1	17b	19	38	
118	1	1	20	20	39	
119	1	2	1	2	40	
120	1	2	3	5a	41	
121	1	2	5b	7a	42	
122	1	2	7b	10a	43	
123	1	2	10b	12	44	
124	1	2	13	14	45	
125	1	2	15	17a	46	
126	1	2	17b	20	47	
127	1	2	21	23	48	
128	1	2	24	25a	49	
129	1	2	25b	28a	50	
130	1	2	28b	28b	51	
131	1	3	1	4a	52	
132	1	3	4b	5a	53	
133	1	3	5b	8a	54	
134	1	3	8b	9a	55	
135	1	3	9b	10a	56	
136	1	3	10b	12a	57	
137	1	3	12b	13a	58	
138	1	3	13b	15a	59	
139	1	3	15b	17a	60	
140	1	3	17b	19a	61	
141	1	3	19b	20a	62	
142	1	3	20b	21a	63	
143	1	3	21b	22	64	
144	1	4	1	3	65	
145	1	4	4	6	66	
146	1	4	7	10	67	
147	1	4	11	13	68	
148	1	4	14	15a	69	
149	1	4	15b	17a	70	
150	1	4	17b	18	71	
151	1	4	19	19a	72	
152	1	4	19b	23a	73	
153	1	4	23b	25a	74	
154	1	4	25b	26a	75	
155	1	4	26b	27	76	
156	1	5	1	2a	77	
157	1	5	2b	3a	78	
158	1	5	3b	4a	79	
159	1	5	4b	5a	80	
160	1	5	5b	8a	81	
161	1	5	8b	11a	82	
162	1	5	11b	12a	83	
163	1	5	12b	15a	84	
164	1	5	15b	18a	85	
165	1	5	18b	21a	86	
166	1	5	21b	23	87	
167	1	5	24	26a	88	
168	1	5	26b	28	89	
169	1	6	1	2a	90	
170	1	6	2b	4a	91	
171	1	6	4b	6	92	
172	1	6	7	8a	93	
173	1	6	8b	11a	94	
174	1	6	11b	13a	95	
175	1	6	13b	16a	96	
176	1	6	16b	17a	97	
177	1	6	17b	21a	98	
178	1	6	21b	22a	99	
179	1	6	22b	25	100	
180	1	6	26	28a	101	
181	1	6	28b	30	102	
182	1	6	31	33a	103	
183	1	6	33b	36	104	nEgamakARqaM samAptam; ipage 105 Different readings of the shorter review
194	2	7	1	2a	115	अत् निरुक्त उत्तरषट्प्रारम्भः
195	2	7	2b	4a	116	
196	2	7	4b	6	117	
197	2	7	7	11a	118	
198	2	7	11b	14	119	
199	2	7	15	18a	120	
200	2	7	18b	22	121	
201	2	7	23	23a	122	
202	2	7	23b	26a	123	
203	2	7	26b	29	124	
204	2	7	30	31	125	
205	2	8	1	2	126	
206	2	8	3	6	127	
207	2	8	7	10a	128	
208	2	8	10b	14a	129	
209	2	8	14b	19a	130	
210	2	8	19b	22a	131	
211	2	8	22b	22b	132	
212	2	9	1	4a	133	
213	2	9	4b	7	134	
214	2	9	8	11	135	
215	2	9	12	15	136	
216	2	9	16	19	137	
217	2	9	20	24a	138	
218	2	9	24b	27a	139	
219	2	9	27b	31a	140	
220	2	9	31b	36	141	
221	2	9	37	40	142	
222	2	9	41	43	143	
223	2	10	1	4	144	
224	2	10	5	8a	145	
225	2	10	8b	11a	146	
226	2	10	11b	16a	147	
227	2	10	16b	20a	148	
228	2	10	20b	23a	149	
229	2	10	23b	27a	150	
230	2	10	27b	31a	151	
231	2	10	31b	34	152	
232	2	10	35	39	153	
233	2	10	40	42a	154	
234	2	10	42b	46	155	
235	2	10	47	47	156	
236	2	11	1	4	157	
237	2	11	5	8a	158	
238	2	11	8b	13	159	
239	2	11	14	16a	160	
240	2	11	16b	19	161	
241	2	11	20	23	162	
242	2	11	24	27	163	
243	2	11	28	31a	164	
244	2	11	31b	35	165	
245	2	11	36	39a	166	
246	2	11	39b	43a	167	
247	2	11	43b	47a	168	
248	2	11	47b	50	169	
249	2	12	1	4a	170	
250	2	12	4b	8a	171	
251	2	12	8b	11a	172	
252	2	12	11b	14	173	
253	2	12	15	19a	174	
254	2	12	19b	23	175	
255	2	12	24	27a	176	
256	2	12	27b	30a	177	
257	2	12	30b	33a	178	
258	2	12	33b	37	179	
259	2	12	38	40	180	
260	2	12	41	44a	181	
261	2	12	44b	46	182	
264	App.1	13	1	4	185	
265	App.1	13	5	8	186	
266	App.1	13	9	11	187	
267	App.1	13	12	13	188	इति निरुक्ते त्रयोदशो
268	App.2	14	1	4a	189	Appendix 2
269	App.2	14	4b	6a	190	
270	App.2	14	6b	10a	191	
271	App.2	14	10b	11	192	
272	App.2	14	12	13	193	
273	App.2	14	14	16a	194	
274	App.2	14	16b	19	195	
275	App.2	14	20	23a	196	
276	App.2	14	23b	27a	197	
277	App.2	14	27b	30	198	
278	App.2	14	31	33	199	
279	App.2	14	34	37	200	37 not marked इति परिशिष्टं संपूर्णम्
