page	adhy.	from v.	to v.	ipage	Remarks
84	1	1	5	5	
85	1	6	10a	6	
86	1	10b	12a	7	
87	1	12b	13a	8	
88	1	13b	16a	9	
89	1	16b	17	10	
89	2	1	2	10	
90	2	3	6a	11	
91	2	6b	9	12	
92	2	10	14a	13	
93	2	14b	14b	14	
94	2	14c	16a	15	
95	2	16b	19a	16	
96	2	19b	22	17	
96	3	1	1a	17	
97	3	1b	4	18	
98	3	5	9	19	
99	3	10	14a	20	
100	3	14b	17	21	
101	3	18	24a	22	
102	3	24b	30a	23	
103	3	30b	30b	24	
103	4	1	2a	24	
104	4	2b	3a	25	
105	4	3b	3b	26	
106	4	3c	3c	27	
106	5	1	4a	27	
107	5	4b	6	28	
