page	i.page	pari.	from k.	to k.
112	1	1	1	2
113	1	2	2	3
114	1	2	2	4
115	1	2	2	5
116	1	2	2	6
117	1	2	2	7
118	1	2	2	8
119	1	2	2	9
120	1	2	2	10
121	1	2	2	11
122	1	2	2	12
123	1	2	2	13
124	1	2	2	14
125	1	2	2	15
126	1	2	2	16
127	1	2	2	17
128	1	2	2	18
129	1	2	2	19
130	1	2	2	20
131	1	3a	3a	21
132	1	3a	3a	22
133	1	3a	3a	23
134	1	3b	3b	24
135	1	3b	3b	25
136	2	1	1a	26
137	2	1a	1a	27
138	2	1b	1b	28
139	2	1c	2a	29
140	2	2a	2a	30
141	2	2b	4a	31
142	2	4a	4a	32
143	2	4b	4b	33
144	2	4b	4b	34
145	2	4b	4b	35
146	2	4b	4b	36
147	2	5	5	37
148	2	5	5	38
149	2	5	5	39
150	2	5	5	40
151	2	6	6	41
152	2	6	6	42
153	2	7	7	43
154	2	8a	8a	44
155	2	8b	9a	45
156	2	9a	9a	46
157	2	9a	9a	47
158	2	9b	10a	48
159	2	10a	10a	49
160	2	10a	10a	50
161	2	10a	10a	51
162	2	10b	10b	52
163	2	11a	11a	53
164	2	11a	11a	54
165	2	11b	11b	55
166	2	12a	12a	56
167	2	12b	13a	57
168	2	13b	14	58
169	2	14	14	59
170	2	14	14	60
171	2	14	14	61
172	2	14	14	62
173	2	15	15	63
174	2	16	17a	64
175	2	17a	17a	65
176	2	17a	17a	66
177	2	17a	17a	67
178	2	17a	17a	68
179	2	17b	19	69
180	2	20	20	70
181	2	20	20	71
182	3	1	1	72
183	3	1	1	73
184	3	1	1	74
185	3	1	1	75
186	3	1	1	76
187	3	2	3	77
188	3	3	3	78
189	3	3	3	79
190	3	3	3	80
191	3	3	3	81
192	3	4	5a	82
193	3	5b	8a	83
194	3	8b	10a	84
195	3	10b	11	85
196	3	12	13	86
197	3	14	14	87
198	3	15	17a	88
199	3	17b	18a	89
200	3	18b	20a	90
201	3	20b	21a	91
202	3	21b	24a	92
203	3	24b	26	93
204	3	27	28	94
205	3	28	28	95
206	3	29a	29a	96
207	3	29b	32	97
208	3	33	35	98
209	3	36	37a	99
210	3	37b	39a	100
211	3	39b	42	101
212	3	43a	43a	102
213	3	43b	45	103
214	3	46	47	104
215	3	48	51	105
216	3	52	54	106
217	3	55	57a	107
218	3	57b	58	108
219	3	58	58	109
220	3	59	59	110
221	3	60	60	111
222	3	60	60	112
223	3	61	62a	113
224	3	62b	63	114
225	3	64	66a	115
226	3	66b	67a	116
227	3	67b	67b	117
228	3	68	69	118
229	3	70	71	119
230	3	72	76	120
231	3	77	80	121
232	3	81	84	122
233	3	85	86	123
234	3	87	87	124
235	3	88a	88a	125
236	3	88b	88b	126
237	3	89	93a	127
238	3	93b	95a	128
239	3	95b	96	129
240	3	97	97	130
241	3	98	99a	131
242	3	99b	100b	132
243	3	100c	101	133
244	3	102	104a	134
245	3	104b	105	135
246	3	106	106	136
247	3	107	109a	137
248	3	109b	110	138
