page	varga	from verse	 to verse
382	k.	1	9
383	k.	10	22a
384	k.	22b	36a
385	k.	36b	49a
386	k.	49b	63a
387	k.	63b	76a
388	k.	76b	89a
389	k.	89b	103a
390	k.	103b	116a
391	k.	116b	129a
392	k.	129b	143a
393	k.	143b	156a
394	k.	156b	170a
395	k.	170b	183a
396	k.	183b	196
397	k.	197	211a
398	k.	211b	224a
399	k.	224b	235
400	kh.	1	13a
401	kh.	13b	19
401	g.	1	6a
402	g.	6b	20a
403	g.	20b	34a
404	g.	34b	47a
405	g.	47b	57
405	gh.	1	1a
406	gh.	1b	10
406	ṅ.	1	1
407	c.	1	13a
408	c.	13b	21
408	ch.	1	3a
409	ch.	3b	5
409	j.	1	9a
410	j.	9b	22a
411	j.	22b	35
412	j.	36	36
412	jh.	1	1
412	ñ.	1	4
413	ṭ.	1	13a
414	ṭ.	13b	26a
415	ṭ.	26b	39a
416	ṭ.	39b	53a
417	ṭ.	53b	66
418	ṭh.	1	12a
419	ṭh.	12b	21
419	ḍ.	1	3a
420	ḍ.	3b	16a
421	ḍ.	16b	29a
422	ḍ.	29b	40
423	ḍh.	1	11
424	ṇ.	1	14a
425	ṇ.	14b	27a
426	ṇ.	27b	40a
427	ṇ.	40b	54a
428	ṇ.	54b	68a
429	ṇ.	68b	81a
430	ṇ.	81b	95a
431	ṇ.	95b	108a
432	ṇ.	108a	117
432	t.	1	2a
433	t.	2b	15a
434	t.	15b	29a
435	t.	29b	42a
436	t.	42b	55
437	t.	56	69a
438	t.	69b	82a
439	t.	82b	95a
440	t.	95b	108a
441	t.	108b	121a
442	t.	121b	135a
443	t.	135b	149a
444	t.	149b	162a
445	t.	162b	175a
446	t.	175b	188a
447	t.	188b	202a
448	t.	202b	215a
449	t.	215b	229a
450	t.	229b	235
450	th.	1	5a
451	th.	5b	19a
452	th.	19b	29
452	d.	1	1a
453	d.	1b	15a
454	d.	15b	28a
455	d.	28b	41a
456	d.	41b	55a
457	d.	55b	56
457	dh.	1	10a
458	dh.	10b	24a
459	dh.	24b	38a
460	dh.	38b	48
460	n.	1	1a
461	n.	1b	14
462	n.	15	28a
463	n.	28b	41a
464	n.	41b	55a
465	n.	55b	69a
466	n.	69b	83a
467	n.	83b	97a
468	n.	97b	111a
469	n.	111b	124a
470	n.	124b	138a
471	n.	138b	151a
472	n.	151b	164a
473	n.	164b	178a
474	n.	178b	191a
475	n.	191b	204
476	n.	205	218a
477	n.	218b	231
478	n.	232	245a
479	n.	245b	253
479	p.	1	3
480	p.	4	17a
481	p.	17b	31a
482	p.	31b	31
482	ph.	1	3
482	b.	1	8a
483	b.	8b	17
483	bh.	1	3a
484	bh.	3b	17a
485	bh.	17b	25
485	m.	1	4a
486	m.	4b	18a
487	m.	18b	32a
488	m.	32b	46a
489	m.	46b	60a
490	m.	60b	63
490	y.	1	7
491	y.	8	21a
493	y.	21b	35a
493	y.	35b	48a
494	y.	48b	62a
495	y.	62b	75a
496	y.	75b	89a
497	y.	89b	102a
498	y.	102b	115a
499	y.	115b	129a
500	y.	129b	133
500	r.	1	7a
501	r.	7b	20a
502	r.	20b	34a
503	r.	34b	49a
504	r.	49b	63a
505	r.	63b	77a
506	r.	77b	91a
507	r.	91b	105a
508	r.	105b	118a
509	r.	118b	132a
510	r.	132b	146a
511	r.	146b	160a
512	r.	160b	173a
513	r.	173b	187a
514	r.	187b	200a
515	r.	200b	214a
516	r.	214b	228a
517	r.	228b	241
518	r.	242	255a
519	r.	255b	270a
520	r.	270b	284a
521	r.	284b	297
522	r.	298	309
523	l.	1	13a
524	l.	13b	27a
525	l.	27b	41a
526	l.	41b	54
527	l.	55	68a
528	l.	68b	82a
529	l.	82b	96a
530	l.	96b	110a
531	l.	110b	123a
532	l.	123b	137a
533	l.	137b	150a
534	l.	150b	163a
535	l.	163b	170
535	v.	1	5a
536	v.	5b	19a
537	v.	19b	33a
538	v.	33b	47a
539	v.	47b	61a
540	v.	61b	65
540	ś.	1	7a
541	ś.	7b	20a
542	ś.	20b	34a
543	ś.	34b	37
543	ṣ.	1	8a
544	ṣ.	8b	21
545	ṣ.	22	35a
546	ṣ.	35b	49
547	ṣ.	50	57
547	s.	1	4a
548	s.	4b	18a
549	s.	18b	32a
550	s.	32b	46a
551	s.	46b	60a
552	s.	60b	68
552	h.	1	3a
553	h.	3b	17a
554	h.	17b	30
555	h.	31	34
555	avy.	1	8a
556	avy.	8b	20
557	avy.	21	34a
558	avy.	34b	48a
559	avy.	48b	61a
560	avy.	61b	74a
561	avy.	74b	88a
562	avy.	88b	92
562	coloph.	1	6a
563	coloph.	6b	6

