page	kaṇḍa	prapāṭhaka	anuvāka	vers from	vers to	int page
8	1	1	1	1	2	1
9	1	1	1	3	5	2
10	1	1	2	1	4a	3
11	1	1	2	4b	8a	4
12	1	1	2	8b	8b	5
13	1	1	3	1	2	6
13	1	1	3	3	6a	6
14	1	1	3	6b	10a	7
15	1	1	3	10b	12	8
16	1	1	4	1	4a	9
17	1	1	4	4b	8a	10
18	1	1	4	8b	8b	11
18	1	1	5	1	2a	12
19	1	1	5	2b	5	12
20	1	1	5	6	9	13
21	1	1	5	10	10	14
21	1	1	6	1	2	14
22	1	1	6	3	7a	15
23	1	1	6	7b	10	16
24	1	1	6	11	11	17
24	1	1	7	1	2a	17
25	1	1	7	2b	3	18
25	1	1	8	1	2a	18
26	1	1	8	2b	5a	19
27	1	1	8	5b	6	20
27	1	1	9	1a	1a	20
28	1	1	9	1b	5a	21
29	1	1	9	5b	9a	22
30	1	1	9	9b	10	23
30	1	1	10	1a	1a	23
31	1	1	10	1b	4	24
32	1	1	10	5	6	25
33	1	2	1	1	2	26
34	1	2	1	3	6a	27
35	1	2	1	6b	9a	28
36	1	2	1	9b	12a	29
37	1	2	1	12b	16a	30
38	1	2	1	16b	19a	31
39	1	2	1	19b	22a	32
40	1	2	1	22b	26a	33
41	1	2	1	26b	27	34
41	1	2	2	1a	1a	34
42	1	2	2	1b	4	35
43	1	2	2	5	5	36
43	1	2	3	1	2	36
44	1	2	3	3	4	37
44	1	2	4	1a	1a	37
45	1	2	4	1b	3	38
46	1	2	5	1	3a	39
47	1	2	5	3b	3b	40
47	1	2	6	1	3a	40
48	1	2	6	3b	6	41
49	1	2	6	7	7	42
50	1	3	1	1	3a	43
51	1	3	1	3b	6a	44
52	1	3	1	6b	6b	45
52	1	3	2	1	4a	45
53	1	3	2	4b	7	46
54	1	3	3	1	4a	47
55	1	3	3	4b	7a	48
56	1	3	3	7b	7b	49
56	1	3	4	1	3a	49
57	1	3	4	3b	5	50
58	1	3	5	1	3a	51
59	1	3	5	3b	4	52
59	1	3	6	1a	1a	52
60	1	3	6	1b	5a	53
61	1	3	6	5b	8a	54
62	1	3	6	8b	9	55
62	1	3	7	1	2a	55
63	1	3	7	2b	5	56
64	1	3	7	6	7	57
65	1	3	8	1	4a	58
66	1	3	8	4b	5	59
66	1	3	9	1a	1a	59
67	1	3	9	1b	2	60
67	1	3	10	1a	1a	60
68	1	3	10	1b	4	61
69	1	3	10	5	8	62
70	1	3	10	9	10	63
71	1	4	1	1	3a	64
72	1	4	1	3b	5a	65
73	1	4	1	5b	5b	66
73	1	4	2	1	3a	66
74	1	4	2	3b	4	67
74	1	4	3	1	2a	67
75	1	4	3	2b	5a	68
76	1	4	3	5b	6	69
76	1	4	4	1a	1a	69
77	1	4	4	1b	4	70
78	1	4	4	5	8a	71
79	1	4	4	8b	10a	72
80	1	4	4	10b	10b	73
80	1	4	5	1	2a	73
81	1	4	5	2b	4	74
81	1	4	6	1	3	74
82	1	4	6	4	7a	75
83	1	4	6	7b	7b	76
84	1	4	7	1	2	77
85	1	4	7	3	6a	78
86	1	4	7	6b	7	79
86	1	4	8	1	2a	79
87	1	4	8	2b	5	80
88	1	4	8	6	7	81
88	1	4	9	1	2a	81
89	1	4	9	2b	5a	82
90	1	4	9	5b	5b	83
90	1	4	10	1	2	83
91	1	4	10	3	6a	84
92	1	4	10	6b	9a	85
93	1	4	10	9b	10	86
94	1	5	1	1	3a	87
95	1	5	1	3b	5	88
96	1	5	2	1	4a	89
97	1	5	2	4b	8a	90
98	1	5	2	8b	9	91
98	1	5	3	1	2a	91
99	1	5	3	2b	4	92
100	1	5	4	1	2	93
100	1	5	5	1a	1a	93
101	1	5	5	1b	5a	94
102	1	5	5	5b	7	95
102	1	5	6	1	1	95
103	1	5	6	2	5a	96
104	1	5	6	5b	7	97
104	1	5	7	1a	1a	97
105	1	5	7	1b	2	98
105	1	5	8	1	3a	98
106	1	5	8	3b	3b	99
106	1	5	9	1	3a	99
107	1	5	9	3b	6a	100
108	1	5	9	6b	7	101
109	1	5	10	1	3a	102
110	1	5	10	3b	6a	103
111	1	5	10	6b	7	104
111	1	5	11	1	1	104
112	1	5	11	2	4a	105
113	1	5	11	4b	4b	106
113	1	5	12	1	3a	106
114	1	5	12	3b	5	107
115	1	6	1	1	1	108
116	1	6	1	2	5a	109
117	1	6	1	5b	9a	110
118	1	6	1	9b	11	111
119	1	6	2	1	3	112
120	1	6	2	4	7a	113
121	1	6	2	7b	7b	114
121	1	6	3	1	3a	114
122	1	6	3	3b	7a	115
123	1	6	3	7b	10a	116
124	1	6	3	10b	10b	117
124	1	6	4	1	2a	117
125	1	6	4	2b	5a	118
126	1	6	4	5b	5b	119
126	1	6	5	1	3a	119
127	1	6	5	3b	6a	120
128	1	6	5	6b	6b	121
128	1	6	6	1	2	121
129	1	6	6	3	6a	122
130	1	6	6	6b	6b	123
130	1	6	7	1	3a	123
131	1	6	7	3b	5	124
132	1	6	8	1	3a	125
133	1	6	8	3b	7a	126
134	1	6	8	7b	9	127
135	1	6	9	1	4a	128
136	1	6	9	4b	8a	129
137	1	6	9	8b	10	130
138	1	6	10	1	4a	131
139	1	6	10	4b	5	132
140	1	7	1	1	2a	133
141	1	7	1	2b	6a	134
142	1	7	1	6b	9	135
143	1	7	2	1	3	136
144	1	7	2	4	6	137
145	1	7	3	1	4a	138
146	1	7	3	4b	7a	139
147	1	7	3	7b	8	140
147	1	7	4	1a	1a	140
148	1	7	4	1b	4a	141
149	1	7	4	4b	4b	142
149	1	7	5	1	3a	142
150	1	7	5	3b	5	143
150	1	7	6	1a	1a	143
151	1	7	6	1b	4a	144
152	1	7	6	4b	7a	145
153	1	7	6	7b	8	146
153	1	7	7	1a	1a	146
154	1	7	7	1b	5a	147
155	1	7	7	5b	5b	148
155	1	7	8	1	2a	148
156	1	7	8	2b	5a	149
157	1	7	8	5b	7	150
157	1	7	9	1a	1a	150
158	1	7	9	1b	4a	151
159	1	7	9	4b	6	152
160	1	7	10	1	3a	153
161	1	7	10	3b	6a	154
162	1	7	10	6b	6b	155
162	1	8	1	1a	1a	155
163	1	8	1	1b	2	156
163	1	8	2	1	1	156
164	1	8	2	2	5a	157
165	1	8	2	5b	5b	158
165	1	8	3	1	2	158
166	1	8	3	3	4	159
166	1	8	4	1a	1a	159
167	1	8	4	1b	3	160
167	1	8	5	1a	1a	160
168	1	8	5	1b	5a	161
169	1	8	5	5b	6	162
169	1	8	6	1	2a	162
170	1	8	6	2b	5	163
171	1	8	6	6	6	164
171	1	8	7	1	2a	164
172	1	8	7	2b	2b	165
172	1	8	8	1	3	165
173	1	8	8	4	5	166
173	1	8	9	1a	1a	166
174	1	8	9	1b	1b	167
174	1	8	10	1	2a	167
