page	taranga	from v.	to v.	ipage
12	1	1	5a	1
13	1	5b	14	2
14	1	15	24a	3
15	1	24b	33	4
16	1	34	43a	5
17	1	43b	50	6
18	1	51	60a	7
19	1	60b	69	8
20	1	70	79a	9
21	1	79b	88	10
22	1	89	98a	11
23	1	98b	107	12
24	1	108	117a	13
25	1	117b	126	14
26	1	127	136a	15
27	1	136b	145	16
28	1	146	155a	17
29	1	155b	164	18
30	1	165	174a	19
31	1	174b	183	20
32	1	184	193a	21
33	1	193b	202	22
34	1	203	212a	23
35	1	212b	221	24
36	1	222	230a	25
37	1	230b	239	26
38	1	240	249a	27
39	1	249b	258	28
40	1	259	268a	29
41	1	268b	277	30
42	1	278	286a	31
43	1	286b	295	32
44	1	296	305a	33
45	1	305b	313	34
46	1	314	323a	35
47	1	323b	332	36
48	1	333	342a	37
49	1	342b	351	38
50	1	352	361a	39
51	1	361b	369	40
52	1	370	374a	41
53	1	374b	375	42
54	2	1	7	43
55	2	8	17a	44
56	2	17b	26	45
57	2	27	36a	46
58	2	36b	44	47
59	2	45	54a	48
60	2	54b	62	49
61	2	63	72a	50
62	2	72b	80	51
63	2	81	90a	52
64	2	90b	98	53
65	2	99	108a	54
66	2	108b	117	55
67	2	118	127a	56
68	2	127b	136	57
69	2	137	146a	58
70	2	146b	155	59
71	2	156	164a	60
72	2	164b	169	61
73	2	170	171	62
74	3	1	7	63
75	3	8	17a	64
76	3	17b	26	65
77	3	27	36a	66
78	3	36b	45	67
79	3	46	55a	68
80	3	55b	64	69
81	3	65	74a	70
82	3	74b	83	71
83	3	84	93a	72
84	3	93b	102	73
85	3	103	112a	74
86	3	112b	121	75
87	3	122	131a	76
88	3	131b	140	77
89	3	141	150a	78
90	3	150b	159	79
91	3	160	169a	80
92	3	169b	178	81
93	3	179	187a	82
94	3	187b	195	83
95	3	196	202a	84
96	3	202b	211	85
97	3	212	219a	86
98	3	219b	228	87
99	3	229	238a	88
100	3	238b	247	89
101	3	248	256a	90
102	3	256b	265	91
103	3	266	275a	92
104	3	275b	284a	93
105	3	284b	293a	94
106	3	293b	302	95
107	3	303	311a	96
108	3	311b	320	97
109	3	321	330a	98
110	3	330b	339	99
111	3	340	349a	100
112	3	349b	358	101
113	3	359	368a	102
114	3	368b	377	103
115	3	378	387a	104
116	3	387b	396	105
117	3	397	406a	106
118	3	406b	415	107
119	3	416	425a	108
120	3	425b	434	109
121	3	435	444a	110
122	3	444b	453	111
123	3	454	463a	112
124	3	463b	472	113
125	3	473	482a	114
126	3	482b	491	115
127	3	492	500a	116
128	3	500b	509	117
129	3	510	519a	118
