page	taranga	from v.	to v.	ipage
130	3	519b	526	119
131	3	527	530	120
132	4	1	7	121
133	4	8	17a	122
134	4	17b	26	123
135	4	27	36a	124
136	4	36b	44	125
137	4	45	54a	126
138	4	54b	63	127
139	4	64	73a	128
140	4	73b	82	129
141	4	83	92a	130
142	4	92b	101	131
143	4	102	111a	132
144	4	111b	120	133
145	4	121	129a	134
146	4	129b	138	135
147	4	139	147	136
148	4	148	157a	137
149	4	157b	166	138
150	4	167	176a	139
151	4	176b	185	140
152	4	186	195a	141
153	4	195b	204	142
154	4	205	214a	143
155	4	214b	223	144
156	4	224	233a	145
157	4	233b	241	146
158	4	242	251a	147
159	4	251b	259	148
160	4	260	269a	149
161	4	269b	278	150
162	4	279	288a	151
163	4	288b	297	152
164	4	298	307a	153
165	4	307b	314	154
166	4	315	323a	155
167	4	323b	331	156
168	4	332	341a	157
169	4	341b	350	158
170	4	351	359a	159
171	4	359b	367	160
172	4	368	376a	161
173	4	376b	385	162
174	4	386	394a	163
175	4	394b	403	164
176	4	404	413a	165
177	4	413b	422	166
178	4	423	430	167
179	4	431	440a	168
180	4	440b	449	169
181	4	450	459a	170
182	4	459b	468	171
183	4	469	478a	172
184	4	478b	487	173
185	4	488	497a	174
186	4	497b	505	175
187	4	506	515a	176
188	4	515b	524	177
189	4	525	533a	178
190	4	533b	542	179
191	4	543	551a	180
192	4	551b	560	181
193	4	561	570a	182
194	4	570b	579	183
195	4	580	588a	184
196	4	588b	597	185
197	4	598	607a	186
198	4	607b	616	187
199	4	617	626a	188
200	4	626b	633	189
201	4	634	643a	190
202	4	643b	652	191
203	4	653	661a	192
204	4	661b	670	193
205	4	671	680a	194
206	4	680b	689	195
207	4	690	699a	196
208	4	699b	708	197
209	4	709	716	198
210	4	717	719	199
211	5	1	7	200
212	5	8	16a	201
213	5	16b	25	202
214	5	26	35a	203
215	5	35b	44	204
216	5	45	54a	205
217	5	54b	63	206
218	5	64	73a	207
219	5	73b	82	208
220	5	83	92a	209
221	5	92b	101	210
222	5	102	111a	211
223	5	111b	120	212
224	5	121	130a	213
225	5	130b	139	214
226	5	140	149a	215
227	5	149b	158	216
228	5	159	168a	217
229	5	168b	177	218
230	5	178	187a	219
231	5	187b	195	220
232	5	196	205a	221
233	5	205b	214	222
234	5	215	224a	223
235	5	224b	233	224
236	5	234	243a	225
237	5	243b	252	226
238	5	253	262a	227
239	5	262b	271	228
240	5	272	281a	229
241	5	281b	290	230
242	5	291	300a	231
243	5	300b	308	232
244	5	309	318a	233
245	5	318b	327	234
246	5	328	337a	235
247	5	337b	346	236
248	5	347	356a	237
249	5	356b	365	238
250	5	366	375a	239
251	5	375b	381	240
252	5	382	391a	241
253	5	391b	400	242
254	5	401	410a	243
255	5	410b	419	244
256	5	420	429a	245
257	5	429b	438	246
258	5	439	448a	247
259	5	448b	457	248
260	5	458	467a	249
261	5	467b	476	250
262	5	477	482	251
263	5	483	483	252
264	6	1	7	253
265	6	8	17a	254
266	6	17b	26	255
267	6	27	36a	256
268	6	36b	45	257
269	6	46	55a	258
270	6	55b	64	259
271	6	65	74a	260
272	6	74b	83	261
273	6	84	93a	262
274	6	93b	102	263
275	6	103	112a	264
276	6	112b	121	265
277	6	122	131a	266
278	6	131b	140	267
279	6	141	149	268
280	6	150	158a	269
281	6	158b	167a	270
282	6	167b	175a	271
283	6	175b	184	272
284	6	185	194a	273
285	6	194b	203	274
286	6	204	212a	275
287	6	212b	221	276
288	6	222	230	277
289	6	231	238a	278
290	6	238b	247	279
291	6	248	257a	280
292	6	257b	266	281
293	6	267	275a	282
294	6	275b	284	283
295	6	285	294a	284
296	6	294b	303	285
297	6	304	312a	286
298	6	312b	320	287
299	6	321	330a	288
300	6	330b	339	289
301	6	340	349a	290
302	6	349b	358	291
303	6	359	367a	292
304	6	367b	368	293
