page	taranga	from v.	to v.	ipage	Remarks
10	1	1	19	1	I: Kalhana
11	1	20	47	2	I: Kalhana
12	1	48	77	3	I: Kalhana
13	1	78	107	4	I: Kalhana
14	1	108	137	5	I: Kalhana
15	1	138	167	6	I: Kalhana
16	1	168	197	7	I: Kalhana
17	1	198	227	8	I: Kalhana
18	1	228	257	9	I: Kalhana
19	1	258	287	10	I: Kalhana
20	1	288	317	11	I: Kalhana
21	1	318	347	12	I: Kalhana
22	1	348	376	13	I: Kalhana
23	1	377	380	14	I: Kalhana
24	2	1	19	15	I: Kalhana
25	2	20	49	16	I: Kalhana
26	2	50	79	17	I: Kalhana
27	2	80	109	18	I: Kalhana
28	2	110	139	19	I: Kalhana
29	2	140	168	20	I: Kalhana
30	2	169	178	21	I: Kalhana
31	3	1	19	22	I: Kalhana
32	3	20	49	23	I: Kalhana
33	3	50	79	24	I: Kalhana
34	3	80	109	25	I: Kalhana
35	3	110	139	26	I: Kalhana
36	3	140	168	27	I: Kalhana
37	3	169	197	28	I: Kalhana
38	3	198	223	29	I: Kalhana
39	3	224	253	30	I: Kalhana
40	3	254	283	31	I: Kalhana
41	3	284	313	32	I: Kalhana
42	3	310	339	33	I: Kalhana
43	3	340	369	34	I: Kalhana
44	3	370	399	35	I: Kalhana
45	3	400	429	36	I: Kalhana
46	3	430	459	37	I: Kalhana
47	3	460	489	38	I: Kalhana
48	3	490	518	39	I: Kalhana
49	3	519	532	40	I: Kalhana
50	4	1	19	41	I: Kalhana
51	4	20	48	42	I: Kalhana
52	4	49	78	43	I: Kalhana
53	4	80	109	44	I: Kalhana
54	4	110	139	45	I: Kalhana
55	4	140	169	46	I: Kalhana
56	4	170	199	47	I: Kalhana
57	4	200	228	48	I: Kalhana
58	4	229	256	49	I: Kalhana
59	4	257	286	50	I: Kalhana
60	4	287	314	51	I: Kalhana
61	4	315	342	52	I: Kalhana
62	4	343	370	53	I: Kalhana
63	4	371	398	54	I: Kalhana
64	4	399	427a	55	I: Kalhana
65	4	427b	456	56	I: Kalhana
66	4	457	486	57	I: Kalhana
67	4	487	515	58	I: Kalhana
68	4	516	543a	59	I: Kalhana
69	4	543b	572	60	I: Kalhana
70	4	578	606	61	I: Kalhana
71	4	607	634	62	I: Kalhana
72	4	635	664	63	I: Kalhana
73	4	665	694	64	I: Kalhana
74	4	690	718a	65	I: Kalhana
75	4	718b	725	66	I: Kalhana
76	5	1	17	67	I: Kalhana
77	5	18	51	68	I: Kalhana
78	5	52	81	69	I: Kalhana
79	5	82	111	70	I: Kalhana
80	5	112	141	71	I: Kalhana
81	5	142	171	72	I: Kalhana
82	5	172	200	73	I: Kalhana
83	5	201	230	74	I: Kalhana
84	5	231	260	75	I: Kalhana
85	5	261	290	76	I: Kalhana
86	5	291	319	77	I: Kalhana
87	5	320	349	78	I: Kalhana
88	5	350	379	79	I: Kalhana
89	5	380	406	80	I: Kalhana
90	5	407	436	81	I: Kalhana
91	5	437	466	82	I: Kalhana
92	5	467	488	83	I: Kalhana
93	6	1	18	84	I: Kalhana
94	6	19	48	85	I: Kalhana
95	6	49	78	86	I: Kalhana
96	6	79	108	87	I: Kalhana
97	6	109	138	88	I: Kalhana
98	6	139	167a	89	I: Kalhana
99	6	167b	195	90	I: Kalhana
100	6	196	224	91	I: Kalhana
101	6	225	251	92	I: Kalhana
102	6	252	280	93	I: Kalhana
103	6	281	309	94	I: Kalhana
104	6	310	338	95	I: Kalhana
105	6	339	366	96	I: Kalhana
106	6	367	370	97	I: Kalhana
107	7	1	18	98	I: Kalhana
108	7	19	47	99	I: Kalhana
109	7	48	77	100	I: Kalhana
110	7	78	107	101	I: Kalhana
111	7	108	137	102	I: Kalhana
112	7	138	167	103	I: Kalhana
113	7	168	197	104	I: Kalhana
114	7	198	227	105	I: Kalhana
115	7	228	257	106	I: Kalhana
116	7	258	287	107	I: Kalhana
117	7	288	317a	108	I: Kalhana
118	7	317b	346	109	I: Kalhana
119	7	347	376	110	I: Kalhana
120	7	377	406	111	I: Kalhana
121	7	407	436	112	I: Kalhana
122	7	437	465	113	I: Kalhana
123	7	466	494	114	I: Kalhana
