vol.	page	kāṇḍa	sarga	from v.	to v.	ipage	remark(s)
III	7	6	1	1	8	1a	
III	8	6	1	9	15	1b	
III	9	6	1	16	19	2a	
III	9	6	2	1	5	2a	
III	10	6	2	6	15	2b	
III	11	6	2	16	24	3a	
III	12	6	2	25	25	3b	
III	12	6	3	1	8	3b	
III	13	6	3	9	18	4a	
III	14	6	3	19	28	4b	
III	15	6	3	29	34	5a	
III	15	6	4	1	2	5a	
III	16	6	4	3	11	5b	
III	17	6	4	12	25	6a	
III	18	6	4	26	36	6b	
III	19	6	4	37	47	7a	
III	20	6	4	48	54	7b	
III	21	6	4	55	67	8a	
III	22	6	4	68	80	8b	
III	23	6	4	81	94	9a	
III	24	6	4	95	106	9b	
III	25	6	4	107	115	10a	
III	26	6	4	116	121	10b	
III	26	6	5	1	4	10b	
III	27	6	5	5	12	11a	
III	28	6	5	13	23	11b	
III	29	6	6	1	9	12a	
III	30	6	6	10	17	12b	
III	31	6	6	18	18	13a	
III	31	6	7	1	10	13a	
III	32	6	7	11	22	13b	
III	33	6	7	23	25	14a	
III	33	6	8	1	6	14a	
III	34	6	8	7	17	14b	
III	35	6	8	18	24	15a	
III	35	6	9	1	6	15a	
III	36	6	9	7	15	15b	
III	37	6	9	16	22	16a	
III	37	6	10	1	3	16a	
III	38	6	10	4	14	16b	
III	39	6	10	15	24	17a	
III	40	6	10	25	29	17b	
III	40	6	11	1	4	17b	
III	41	6	11	5	18	18a	
III	42	6	11	19	29	18b	
III	43	6	11	30	31	19a	
III	43	6	12	1	9	19a	
III	44	6	12	10	19	19b	
III	45	6	12	20	27	20a	
III	46	6	12	28	32	20b	
III	47	6	12	33	39	21a	
III	48	6	12	40	40	21b	
III	48	6	13	1	6	21b	
III	49	6	13	7	16	22a	
III	50	6	13	17	21	22b	
III	50	6	14	1	4	22b	
III	51	6	14	5	14	23a	
III	52	6	14	15	21	23b	
III	52	6	15	1	1	23b	
III	53	6	15	2	9	24a	
III	54	6	15	10	14	24b	
III	54	6	16	1	2	24b	
III	55	6	16	3	12	25a	
III	56	6	16	13	20	25b	
III	57	6	16	21	26	26a	
III	57	6	17	1	4	26a	
III	58	6	17	5	13	26b	
III	59	6	17	14	20	27a	
III	60	6	17	21	30	27b	
III	61	6	17	31	39	28a	
III	62	6	17	40	49	28b	
III	63	6	17	50	55	29a	
III	64	6	17	56	60	29b	
III	65	6	17	61	64	30a	
III	66	6	17	65	68	30b	
III	66	6	18	1	2	30b	
III	67	6	18	3	8	31a	
III	68	6	18	9	12	31b	
III	69	6	18	13	15	32a	
III	70	6	18	16	23	32b	
III	71	6	18	24	29	33a	
III	72	6	18	30	33	33b	
III	73	6	18	34	39	34a	
III	73	6	19	1	4	34a	
III	74	6	19	5	18	34b	
III	75	6	19	19	31	35a	
III	76	6	19	32	41	35b	
III	76	6	20	1	3	35b	
III	77	6	20	4	14	36a	
III	78	6	20	15	24	36b	
III	79	6	20	25	33	37a	
III	80	6	20	34	34	37b	
III	80	6	21	1	8	37b	
III	81	6	21	9	18	38a	
III	82	6	21	19	32	38b	
III	83	6	21	33	35	39a	
III	83	6	22	1	7	39a	
III	84	6	22	8	19	39b	
III	85	6	22	20	26	40a	
III	86	6	22	27	37	40b	
III	87	6	22	38	46	41a	
III	88	6	22	47	59	41b	
III	89	6	22	60	75	42a	
III	90	6	22	76	85	42b	
III	90	6	23	1	1	42b	
III	91	6	23	2	15	43a	
III	92	6	23	16	16	43b	
III	92	6	24	1	10	43b	
III	93	6	24	11	23	44a	
III	94	6	24	24	36	44b	
III	95	6	24	37	45	45a	
III	95	6	25	1	2	45a	
III	96	6	25	3	16	45b	
III	97	6	25	17	29	46a	
III	98	6	25	30	33	46b	
III	98	6	26	1	9	46b	
III	99	6	26	10	23	47a	
III	100	6	26	24	38	47b	
III	101	6	26	39	47	48a	
III	101	6	27	1	3	48a	
III	102	6	27	4	17	48b	
III	103	6	27	18	30	49a	
III	104	6	27	31	43	49b	
III	105	6	27	44	47	50a	
III	105	6	28	1	8	50a	
III	106	6	28	9	23	50b	
III	107	6	28	24	38	51a	
III	108	6	28	39	42	51b	
III	108	6	29	1	8	51b	
III	109	6	29	9	17	52a	
III	110	6	29	18	29	52b	
III	110	6	30	1	1	52b	
III	111	6	30	2	15	53a	
III	112	6	30	16	28	53b	
III	113	6	30	29	35	54a	
III	113	6	31	1	7	54a	
III	114	6	31	8	19	54b	
III	115	6	31	20	35	55a	
III	116	6	31	36	45	55b	
III	116	6	32	1	3	55b	
III	117	6	32	4	14	56a	
III	118	6	32	15	25	56b	
III	119	6	32	26	37	57a	
III	120	6	32	38	44	57b	
III	120	6	33	1	3	57b	
