vol.	page	kāṇḍa	sarga	from v.	to v.	ipage	remark(s)			
I	---	---	---	---	---	1a	page missing	1	a	1a
I	128	1	30	24	26	63a		63	a	63a
I	128	1	31	1	7	63a				63a
I	129	1	31	8	16	63b		63	b	63b
I	130	1	31	17	24	64a		64	a	64a
I	130	1	32	1	3	64a				64a
I	131	1	32	4	16	64b		64	b	64b
I	132	1	32	17	25	65a		65	a	65a
I	133	1	32	26	27	65b	v. 17 for v.27	65	b	65b
I	133	1	33	1	7	65b				65b
I	134	1	33	8	16	66a		66	a	66a
I	135	1	33	17	25	66b		66	b	66b
I	136	1	33	26	27	67a		67	a	67a
I	136	1	34	1	8	67a				67a
I	137	1	34	9	17	67b		67	b	67b
I	138	1	34	18	23	68a		68	a	68a
I	138	1	35	1	6	68a				68a
I	139	1	35	7	17	68b		68	b	68b
I	140	1	35	18	23	69a		69	a	69a
I	141	1	36	1	10	69b		69	b	69b
I	142	1	36	11	17	70a		70	a	70a
I	143	1	36	18	26	70b		70	b	70b
I	144	1	36	27	27	71a		71	a	71a
I	144	1	37	1	7	71a				71a
I	145	1	37	8	17	71b		71	b	71b
I	146	1	37	18	25	72a		72	a	72a
I	147	1	37	26	32	72b		72	b	72b
I	147	1	38	1	1	72b				72b
I	148	1	38	2	16	73a		73	a	73a
I	149	1	38	17	25	73b		73	b	73b
I	149	1	39	1	3	73b				73b
I	150	1	39	4	12	74a		74	a	74a
I	151	1	39	13	26	74b		74	b	74b
I	152	1	40	1	13	75a		75	a	75a
I	153	1	40	14	29	75b		75	b	75b
I	154	1	40	30	30	76a		76	a	76a
I	154	1	41	1	11	76a				76a
I	155	1	41	12	20	76b		76	b	76b
I	156	1	41	21	26	77a		77	a	77a
I	156	1	42	1	7	77a				77a
I	157	1	42	8	19	77b		77	b	77b
I	158	1	42	20	25	78a		78	a	78a
I	158	1	43	1	5	78a				78a
I	159	1	43	6	14	78b		78	b	78b
I	160	1	43	15	26	79a		79	a	79a
I	161	1	43	27	38	79b		79	b	79b
I	162	1	43	39	42	80a		80	a	80a
I	162	1	44	1	6	80a				80a
I	163	1	44	7	15	80b		80	b	80b
I	164	1	44	16	23	81a		81	a	81a
I	164	1	45	1	4	81a				81a
I	165	1	45	5	17	81b		81	b	81b
I	166	1	45	18	30	82a		82	a	82a
I	167	1	45	31	41	82b		82	b	82b
I	168	1	45	42	45	83a		83	a	83a
I	168	1	46	1	5	83a				83a
I	169	1	46	6	16	83b		83	b	83b
I	170	1	46	17	23	84a		84	a	84a
I	170	1	47	1	3	84a				84a
I	171	1	47	4	15	84b		84	b	84b
I	172	1	47	16	22	85a		85	a	85a
I	172	1	48	1	4	85a				85a
I	173	1	48	5	15	85b		85	b	85b
I	174	1	48	16	25	86a		86	a	86a
I	175	1	48	26	33	86b		86	b	86b
I	176	1	48	34	34	87a		87	a	87a
I	176	1	49	1	7	87a				87a
I	177	1	49	8	15	87b		87	b	87b
I	178	1	49	16	21	88a		88	a	88a
I	179	1	49	22	23	88b		88	b	88b
I	179	1	50	1	9	88b				88b
I	180	1	50	10	22	89a		89	a	89a
I	181	1	50	23	25	89b		89	b	89b
I	181	1	51	1	8	89b				89b
I	182	1	51	9	20	90a		90	a	90a
I	183	1	51	21	29	90b		90	b	90b
I	183	1	52	1	4	90b				90b
I	184	1	52	5	16	91a		91	a	91a
I	185	1	52	17	23	91b		91	b	91b
I	185	1	53	1	3	91b				91b
I	186	1	53	4	14	92a		92	a	92a
