vol.	page	kāṇḍa	sarga	from v.	to v.	ipage	remark(s)			
I	---	---	---	---	---	1a	page missing	1	a	1a
I	515	2	64	61	71	132b		132	b	132b
I	516	2	64	72	78	133a		133	a	133a
I	516	2	65	1	3	133a				133a
I	517	2	65	4	11	133b		133	b	133b
I	518	2	65	12	20	134a		134	a	134a
I	519	2	65	21	29	134b		134	b	134b
I	519	2	66	1	1	134b				134b
I	520	2	66	2	10	135a		135	a	135a
I	521	2	66	11	23	135b		135	b	135b
I	522	2	66	24	29	136a		136	a	136a
I	522	2	67	1	4	136a				136a
I	523	2	67	5	12	136b		136	b	136b
I	524	2	67	13	25	137a		137	a	137a
I	525	2	67	26	35	137b		137	b	137b
I	526	2	67	36	38	138a		138	a	138a
I	526	2	68	1	6	138a				138a
I	527	2	68	7	15	138b		138	b	138b
I	528	2	68	16	22	139a		139	a	139a
I	529	2	69	1	12	139b		139	b	139b
I	530	2	69	13	22	140a		140	a	140a
I	531	2	70	1	11	140b		140	b	140b
I	532	2	70	12	23	141a		141	a	141a
I	533	2	70	24	30	141b		141	b	141b
I	533	2	71	1	2	141b				141b
I	534	2	71	3	10	142a		142	a	142a
I	535	2	71	11	21	142b		142	b	142b
I	536	2	71	22	33	143a		143	a	143a
I	537	2	71	34	44	143b		143	b	143b
I	538	2	71	45	46	144a		144	a	144a
I	538	2	72	1	9	144a				144a
I	539	2	72	10	22	144b		144	b	144b
I	540	2	72	23	34	145a		145	a	145a
I	541	2	72	35	46	145b		145	b	145b
I	542	2	72	47	55	146a		146	a	146a
I	542	2	73	1	4	146a				146a
I	543	2	73	5	14	146b		146	b	146b
I	544	2	73	15	22	147a		147	a	147a
I	545	2	73	23	28	147b		147	b	147b
I	545	2	74	1	1	147b				147b
I	546	2	74	2	11	148a		148	a	148a
I	547	2	74	12	18	148b		148	b	148b
I	548	2	74	19	28	149a		149	a	149a
I	549	2	74	29	36	149b		149	b	149b
I	549	2	75	1	1	149b				149b
I	550	2	75	2	11	150a		150	a	150a
I	551	2	75	12	20	150b		150	b	150b
I	552	2	75	21	30	151a		151	a	151a
I	553	2	75	31	42	151b		151	b	151b
I	554	2	75	43	54	152a		152	a	152a
I	555	2	75	55	63	152b		152	b	152b
I	556	2	75	64	65	153a		153	a	153a
I	556	2	76	1	10	153a				153a
I	557	2	76	11	22	153b		153	b	153b
I	558	2	76	23	23	154a		154	a	154a
I	558	2	77	1	7	154a				154a
I	559	2	77	8	18	154b		154	b	154b
I	560	2	77	19	26	155a		155	a	155a
I	560	2	78	1	2	155a				155a
I	561	2	78	3	14	155b		155	b	155b
I	562	2	78	15	26	156a		156	a	156a
I	563	2	79	1	12	156b		156	b	156b
I	564	2	79	13	17	157a		157	a	157a
I	565	2	80	1	8	157b		157	b	157b
I	566	2	80	9	18	158a		158	a	158a
I	567	2	80	19	22	158b		158	b	158b
I	567	2	81	1	5	158b				158b
I	568	2	81	6	15	159a		159	a	159a
I	569	2	81	16	16	159b		159	b	159b
I	569	2	82	1	6	159b				159b
I	570	2	82	7	18	160a		160	a	160a
I	571	2	82	19	30	160b		160	b	160b
I	572	2	82	31	32	161a		161	a	161a
I	572	2	83	1	10	161a				161a
I	573	2	83	11	20	161b		161	b	161b
I	574	2	83	21	26	162a		162	a	162a
I	574	2	84	1	3	162a				162a
I	575	2	84	4	12	162b		162	b	162b
I	576	2	84	13	18	163a		163	a	163a
I	576	2	85	1	5	163a				163a
I	577	2	85	6	17	163b		163	b	163b
I	578	2	85	18	22	164a		164	a	164a
I	578	2	86	1	2	164a				164a
I	579	2	86	3	19	164b		164	b	164b
I	580	2	86	20	25	165a		165	a	165a
I	580	2	87	1	6	165a				165a
I	581	2	87	7	17	165b		165	b	165b
I	582	2	87	18	24	166a		166	a	166a
I	582	2	88	1	3	166a				166a
I	583	2	88	4	14	166b		166	b	166b
I	584	2	88	15	26	167a		167	a	167a
I	585	2	88	27	30	167b		167	b	167b
I	585	2	89	1	9	167b				167b
I	586	2	89	10	17	168a		168	a	168a
I	587	2	89	18	23	168b		168	b	168b
I	587	2	90	1	2	168b				168b
I	588	2	90	3	14	169a		169	a	169a
I	589	2	90	15	23	169b		169	b	169b
I	590	2	90	24	24	170a		170	a	170a
I	590	2	91	1	9	170a				170a
I	591	2	91	10	19	170b		170	b	170b
I	592	2	91	20	30	171a		171	a	171a
I	593	2	91	31	39	171b		171	b	171b
I	594	2	91	40	52	172a		172	a	172a
I	595	2	91	53	62	172b		172	b	172b
I	596	2	91	63	71	173a		173	a	173a
I	597	2	91	72	78	173b		173	b	173b
I	598	2	91	79	83	174a		174	a	174a
I	598	2	92	1	5	174a				174a
I	599	2	92	6	16	174b		174	b	174b
I	600	2	92	17	30	175a		175	a	175a
I	601	2	92	31	40	175b		175	b	175b
I	601	2	93	1	1	175b				175b
I	602	2	93	2	13	176a		176	a	176a
I	603	2	93	14	24	176b		176	b	176b
I	604	2	93	25	27	177a		177	a	177a
I	604	2	94	1	7	177a				177a
I	605	2	94	8	18	177b		177	b	177b
I	606	2	94	19	27	178a		178	a	178a
I	607	2	95	1	13	178b		178	b	178b
I	608	2	95	14	19	179a		179	a	179a
I	608	2	95.1	1	8	179a	prakshipta sarga			179a
I	609	2	95.1	9	27	179b	prakshipta sarga	179	b	179b
I	610	2	95.1	28	45	180a	prakshipta sarga	180	a	180a
I	611	2	95.1	46	57	180b	prakshipta sarga	180	b	180b
I	611	2	96	1	3	180b				180b
I	612	2	96	4	15	181a		181	a	181a
I	613	2	96	16	29	181b		181	b	181b
I	614	2	96	30	31	182a		182	a	182a
I	614	2	97	1	9	182a				182a
I	615	2	97	10	20	182b		182	b	182b
I	616	2	97	21	31	183a		183	a	183a
I	617	2	98	1	13	183b		183	b	183b
I	618	2	98	14	18	184a		184	a	184a
I	618	2	99	1	5	184a				184a
I	619	2	99	6	16	184b		184	b	184b
I	620	2	99	17	28	185a		185	a	185a
I	621	2	99	29	41	185b		185	b	185b
I	622	2	99	42	42	186a		186	a	186a
I	622	2	100	1	6	186a				186a
I	623	2	100	7	16	186b		186	b	186b
I	624	2	100	17	26	187a		187	a	187a
I	625	2	100	27	34	187b		187	b	187b
I	626	2	100	35	39	188a		188	a	188a
I	627	2	100	40	49	188b		188	b	188b
I	628	2	100	50	58	189a		189	a	189a
I	629	2	100	59	65	189b		189	b	189b
I	630	2	100	66	68	190a		190	a	190a
I	631	2	100	69	69	190b		190	b	190b
I	632	2	100	70	75	191a		191	a	191a
I	633	2	100	76	76	191b		191	b	191b
I	633	2	101	1	8	191b				191b
I	634	2	101	9	20	192a		192	a	192a
I	635	2	101	21	26	192b		192	b	192b
I	636	2	102	1	9	193a		193	a	193a
I	637	2	103	1	14	193b		193	b	193b
I	638	2	103	15	25	194a		194	a	194a
I	639	2	103	26	37	194b		194	b	194b
I	640	2	103	38	49	195a		195	a	195a
I	640	2	104	1	1	195a				195a
I	641	2	104	2	11	195b		195	b	195b
I	642	2	104	12	25	196a		196	a	196a
I	643	2	104	26	32	196b		196	b	196b
I	643	2	105	1	2	196b				196b
I	644	2	105	3	10	197a		197	a	197a
I	645	2	105	11	19	197b		197	b	197b
I	646	2	105	20	29	198a		198	a	198a
I	647	2	105	30	38	198b		198	b	198b
I	648	2	105	39	42	199a		199	a	199a
I	648	2	106	1	3	199a				199a
I	649	2	106	4	9	199b		199	b	199b
I	650	2	106	10	18	200a		200	a	200a
I	651	2	106	19	26	200b		200	b	200b
I	652	2	106	27	35	201a		201	a	201a
I	653	2	107	1	9	201b		201	b	201b
I	654	2	107	10	19	202a		202	a	202a
I	655	2	108	1	10	202b		202	b	202b
I	656	2	108	11	15	203a		203	a	203a
I	657	2	108	16	18	203b		203	b	203b
I	657	2	109	1	3	203b				203b
I	658	2	109	4	10	204a		204	a	204a
I	659	2	109	11	16	204b		204	b	204b
I	660	2	109	17	21	205a		205	a	205a
I	661	2	109	22	30	205b		205	b	205b
I	662	2	109	31	35	206a		206	a	206a
I	663	2	109	36	39	206b		206	b	206b
I	663	2	110	1	3	206b				206b
I	664	2	110	4	14	207a		207	a	207a
I	665	2	110	15	29	207b		207	b	207b
I	666	2	110	30	37	208a		208	a	208a
I	666	2	111	1	3	208a				208a
I	667	2	111	4	13	208b		208	b	208b
I	668	2	111	14	23	209a		209	a	209a
I	669	2	111	24	32	209b		209	b	209b
I	670	2	112	1	10	210a		210	a	210a
I	671	2	112	11	18	210b		210	b	210b
I	672	2	112	19	25	211a		211	a	211a
I	673	2	112	26	31	211b		211	b	211b
I	673	2	113	1	4	211b				211b
I	674	2	113	5	17	212a		212	a	212a
I	675	2	113	18	24	212b		212	b	212b
I	675	2	114	1	4	212b				212b
I	676	2	114	5	13	213a		213	a	213a
I	677	2	114	14	26	213b		213	b	213b
I	678	2	114	27	29	214a		214	a	214a
I	678	2	115	1	7	214a				214a
I	679	2	115	8	18	214b		214	b	214b
I	680	2	115	19	24	215a		215	a	215a
I	680	2	116	1	1	215a				215a
I	681	2	116	2	3	215b		215	b	215b
I	682	2	116	4	14	216a		216	a	216a
I	683	2	116	15	23	216b		216	b	216b
I	684	2	116	24	26	217a		217	a	217a
I	684	2	117	1	5	217a				217a
I	685	2	117	6	15	217b		217	b	217b
I	686	2	117	16	26	218a		218	a	218a
I	687	2	117	27	29	218b		218	b	218b
I	687	2	118	1	6	218b				218b
I	688	2	118	7	17	219a		219	a	219a
I	689	2	118	18	28	219b		219	b	219b
I	690	2	118	29	38	220a		220	a	220a
I	691	2	118	39	52	220b		220	b	220b
I	692	2	118	53	54	221a		221	a	221a
I	692	2	119	1	9	221a				221a
I	693	2	119	10	21	221b		221	b	221b
I	694	2	119	22	22	222a		222	a	222a
I	695	---	---	---	---	---	---	---	---	------
I	696	---	---	---	---	---	---	---	---	------
I	697	---	---	---	---	---	---	---	---	------
