vol.	page	kanda	sarga	from v.	to v.	ipage	remark(s)
II	5	3	1	1	9	1a	
II	6	3	1	10	15	1b	
II	7	3	1	16	21	2a	
II	8	3	1	22	23	2b	
II	8	3	2	1	8	2b	
II	9	3	2	9	19	3a	
II	10	3	2	20	26	3b	
II	11	3	3	1	11	4a	
II	12	3	3	12	22	4b	
II	13	3	3	23	25	5a	
II	13	3	4	1	7	5a	
II	14	3	4	8	18	5b	
II	15	3	4	19	28	6a	
II	16	3	4	29	33	6b	
II	16	3	5	1	2	6b	
II	17	3	5	3	14	7a	
II	18	3	5	15	23	7b	
II	19	3	5	24	31	8a	
II	20	3	5	32	40	8b	
II	21	3	5	41	42	9a	
II	21	3	6	1	5	9a	
II	22	3	6	6	12	9b	
II	23	3	6	13	21	10a	
II	24	3	6	22	26	10b	
II	24	3	7	1	2	10b	
II	25	3	7	3	10	11a	
II	26	3	7	11	19	11b	
II	27	3	7	20	24	12a	
II	27	3	8	1	6	12a	
II	28	3	8	7	18	12b	
II	29	3	8	19	20	13a	
II	29	3	9	1	5	13a	
II	30	3	9	6	14	13b	
II	31	3	9	15	24	14a	
II	32	3	9	25	32	14b	
II	33	3	9	33	33	15a	
II	33	3	10	1	6	15a	
II	34	3	10	7	17	15b	
II	35	3	10	18	22	16a	
II	35	3	11	1	5	16a	
II	36	3	11	6	16	16b	
II	37	3	11	17	27	17a	
II	38	3	11	28	39	17b	
II	39	3	11	40	51	18a	
II	40	3	11	52	62	18b	
II	41	3	11	63	76	19a	
II	42	3	11	77	87	19b	
II	43	3	11	88	94	20a	
II	43	3	12	1	5	20a	
II	44	3	12	6	16	20b	
II	45	3	12	17	27	21a	
II	46	3	12	28	37	21b	
II	47	3	13	1	10	22a	
II	48	3	13	11	19	22b	
II	49	3	13	20	25	23a	
II	49	3	14	1	4	23a	
II	50	3	14	5	17	23b	
II	51	3	14	18	30	24a	
II	52	3	14	31	36	24b	
II	52	3	15	1	3	24b	
II	53	3	15	4	15	25a	
II	54	3	15	16	28	25b	
II	55	3	15	29	31	26a	
II	55	3	16	1	7	26a	
II	56	3	16	8	16	26b	
II	57	3	16	17	29	27a	
II	58	3	16	30	40	27b	
II	59	3	16	41	43	28a	
II	59	3	17	1	10	28a	
II	60	3	17	11	23	28b	
II	61	3	17	24	29	29a	
II	61	3	18	1	1	29a	
II	62	3	18	2	10	29b	
II	63	3	18	11	23	30a	
II	64	3	18	24	26	30b	
II	64	3	19	1	2	30b	
II	65	3	19	3	14	31a	
II	66	3	19	15	24	31b	
II	67	3	19	25	26	32a	
II	67	3	20	1	9	32a	
II	68	3	20	10	23	32b	
II	69	3	20	24	25	33a	
II	69	3	21	1	10	33a	
II	70	3	21	11	22	33b	
II	71	3	22	1	10	34a	
II	72	3	22	11	23	34b	
II	73	3	22	24	24	35a	
II	73	3	23	1	9	35a	
II	74	3	23	10	21	35b	
II	75	3	23	22	34	36a	
II	76	3	24	1	9	36b	
II	77	3	24	10	21	37a	
II	78	3	24	22	34	37b	
II	79	3	24	35	36	38a	
II	79	3	25	1	10	38a	
II	80	3	25	11	22	38b	
II	81	3	25	23	35	39a	
II	82	3	25	36	46	39b	
II	83	3	26	1	15	40a	
II	84	3	26	16	31	40b	
II	85	3	26	32	38	41a	
II	85	3	27	1	5	41a	
II	86	3	27	6	18	41b	
II	87	3	27	19	20	42a	
II	87	3	28	1	10	42a	
II	88	3	28	11	25	42b	
II	89	3	28	26	33	43a	
II	89	3	29	1	2	43a	
II	90	3	29	3	11	43b	
II	91	3	29	12	21	44a	
II	92	3	29	22	28	44b	
II	92	3	30	1	4	44b	
II	93	3	30	5	15	45a	
II	94	3	30	16	26	45b	
II	95	3	30	27	36	46a	
II	96	3	30	37	42	46b	
II	96	3	31	1	6	46b	
II	97	3	31	7	19	47a	
II	98	3	31	20	30	47b	
II	99	3	31	31	38	48a	
II	100	3	31	39	47	48b	
II	101	3	31	48	50	49a	
II	101	3	32	1	8	49a	
II	102	3	32	9	22	49b	
II	103	3	32	23	25	50a	
II	103	3	33	1	8	50a	
II	104	3	33	9	21	50b	
II	105	3	33	22	24	51a	
II	105	3	34	1	10	51a	
II	106	3	34	11	24	51b	
II	107	3	34	25	26	52a	
II	107	3	35	1	7	52a	
II	108	3	35	8	21	52b	
II	109	3	35	22	32	53a	
II	110	3	35	33	42	53b	
II	110	3	36	1	3	53b	
II	111	3	36	4	15	54a	
II	112	3	36	16	24	54b	
II	112	3	37	1	2	54b	
II	113	3	37	3	14	55a	
II	114	3	37	15	24	55b	
II	115	3	37	25	25	56a	
II	115	3	38	1	10	56a	
II	116	3	38	11	22	56b	
II	117	3	38	23	33	57a	
II	117	3	39	1	1	57a	
II	118	3	39	2	14	57b	
II	119	3	39	15	23	58a	
II	120	3	39	24	25	58b	
II	120	3	40	1	6	58b	
II	121	3	40	7	16	59a	
II	122	3	40	17	27	59b	
II	123	3	41	1	11	60a	
II	124	3	41	12	19	60b	
II	125	3	41	20	20	61a	
II	125	3	42	1	10	61a	
II	126	3	42	11	23	61b	
II	127	3	42	24	35	62a	
II	128	3	43	1	13	62b	
II	129	3	43	14	24	63a	
II	130	3	43	25	33	63b	
II	131	3	43	34	42	64a	
II	132	3	43	43	51	64b	
II	133	3	44	1	11	65a	
II	134	3	44	12	24	65b	
II	135	3	44	25	27	66a	
II	135	3	45	1	7	66a	
II	136	3	45	8	17	66b	
II	137	3	45	18	29	67a	
II	138	3	45	30	36	67b	
II	139	3	45	37	38	68a	
II	140	3	45	39	40	68b	
II	140	3	46	1	5	68b	
II	141	3	46	6	17	69a	
II	142	3	46	18	30	69b	
II	143	3	46	31	38	70a	
II	144	3	47	1	10	70b	
II	145	3	47	11	23	71a	
II	146	3	47	24	31	71b	
II	147	3	47	---	---	72a	comments
II	148	3	47	32	41	72b	
II	149	3	47	42	50	73a	
II	149	3	48	1	1	73a	
II	150	3	48	2	13	73b	
II	151	3	48	14	24	74a	
II	152	3	49	1	8	74b	
II	153	3	49	9	21	75a	
II	154	3	49	22	34	75b	
II	155	3	49	35	40	76a	
II	155	3	50	1	4	76a	
II	156	3	50	5	12	76b	
II	157	3	50	13	22	77a	
II	158	3	50	23	29	77b	
II	158	3	51	1	5	77b	
II	159	3	51	6	20	78a	
II	160	3	51	21	32	78b	
II	161	3	51	33	45	79a	
II	162	3	51	46	46	79b	
II	162	3	52	1	8	79b	
II	163	3	52	9	18	80a	
II	164	3	52	19	29	80b	
II	165	3	52	30	40	81a	
II	166	3	52	41	44	81b	
II	166	3	53	1	7	81b	
II	167	3	53	8	19	82a	
II	168	3	53	20	26	82b	
II	168	3	54	1	4	82b	
II	169	3	54	5	14	83a	
II	170	3	54	15	28	83b	
II	171	3	54	29	30	84a	
II	171	3	55	1	9	84a	
II	172	3	55	10	21	84b	
II	173	3	55	22	33	85a	
II	174	3	55	34	37	85b	
II	174	3	56	1	4	85b	
II	175	3	56	5	16	86a	
II	176	3	56	17	27	86b	
II	177	3	56	28	36	87a	
II	177	3	56	1	3	87a	about sg. Nr see below
II	178	3	56	4	22	87b	
II	179	3	56	23	26	88a	sarga numbered 56 again
II	179	3	57	1	8	88a	
II	180	3	57	9	19	88b	
II	181	3	57	20	23	89a	
II	181	3	58	1	6	89a	
II	182	3	58	7	19	89b	
II	183	3	58	20	20	90a	
II	183	3	59	1	8	90a	
II	184	3	59	9	19	90b	
II	185	3	59	20	27	91a	
II	185	3	60	1	1	91a	
II	186	3	60	2	10	91b	
II	187	3	60	11	21	92a	
II	188	3	60	22	32	92b	
II	189	3	60	33	38	93a	
II	189	3	61	1	4	93a	
II	190	3	61	5	17	93b	
II	191	3	61	18	30	94a	
II	192	3	61	31	31	94b	
II	192	3	62	1	11	94b	
II	193	3	62	12	20	95a	
II	193	3	63	1	2	95a	
II	194	3	63	3	10	95b	
II	195	3	63	11	19	96a	
II	196	3	63	20	20	96b	
II	196	3	64	1	6	96b	
II	197	3	64	7	18	97a	
II	198	3	64	19	29	97b	
II	199	3	64	30	41	98a	
II	200	3	64	42	52	98b	
II	201	3	64	53	61	99a	
II	202	3	64	62	75	99b	
II	203	3	64	76	76	100a	
II	203	3	65	1	5	100a	
II	204	3	65	6	15	100b	
II	205	3	65	16	16	101a	
II	205	3	66	1	8	101a	
II	206	3	66	9	17	101b	
II	207	3	66	18	20	102a	
II	207	3	67	1	8	102a	
II	208	3	67	9	22	102b	
II	209	3	67	23	29	103a	
II	209	3	68	1	3	103a	
II	210	3	68	4	14	103b	
II	211	3	68	15	26	104a	
II	212	3	68	27	35	104b	
II	213	3	68	36	38	105a	
II	213	3	69	1	6	105a	
II	214	3	69	7	19	105b	
II	215	3	69	20	31	106a	
II	216	3	69	32	42	106b	
II	217	3	69	43	51	107a	
II	218	3	70	1	10	107b	
II	219	3	70	11	19	108a	
II	219	3	71	1	3	108a	
II	220	3	71	4	13	108b	
II	221	3	71	14	24	109a	
II	222	3	71	25	34	109b	
II	222	3	72	1	3	109b	
II	223	3	72	4	13	110a	
II	224	3	72	14	23	110b	
II	225	3	72	24	27	111a	
II	225	3	73	1	7	111a	
II	226	3	73	8	20	111b	
II	227	3	73	21	31	112a	
II	228	3	73	32	43	112b	
II	229	3	73	44	46	113a	
II	229	3	74	1	9	113a	
II	230	3	74	10	18	113b	
II	231	3	74	19	25	114a	
II	232	3	74	26	35	114b	
II	233	3	75	1	14	115a	
II	234	3	75	15	28	115b	
II	235	3	75	29	30	116a	
II	236	---	---	---	---	---	
II	237	---	---	---	---	---	
II	238	---	---	---	---	---	
II	239	---	---	---	---	---	
II	240	---	---	---	---	---	illustration
II	241	4	1	1	8	1a	
II	242	4	1	9	18	1b	
II	243	4	1	19	28	2a	
II	244	4	1	29	39	2b	
II	245	4	1	40	49	3a	
II	246	4	1	50	57	3b	
II	247	4	1	58	69	4a	
II	248	4	1	70	81	4b	
II	249	4	1	82	93	5a	
II	250	4	1	94	105	5b	
II	251	4	1	106	116	6a	
II	252	4	1	117	126	6b	
II	253	4	1	127	130	7a	
II	253	4	2	1	5	7a	
II	254	4	2	6	16	7b	
II	255	4	2	17	24	8a	
II	256	4	2	25	29	8b	
II	256	4	3	1	4	8b	
II	257	4	3	5	15	9a	
II	258	4	3	16	27	9b	
II	259	4	3	28	33	10a	
II	260	4	3	34	39	10b	
II	260	4	4	1	3	10b	
II	261	4	4	4	17	11a	
II	262	4	4	18	30	11b	
II	263	4	4	31	35	12a	
II	263	4	5	1	6	12a	
II	264	4	5	7	17	12b	
II	265	4	5	18	30	13a	
II	266	4	5	31	31	13b	
II	266	4	6	1	10	13b	
II	267	4	6	11	24	14a	
II	268	4	6	25	27	14b	
II	268	4	7	1	6	14b	
II	269	4	7	7	20	15a	
II	270	4	7	21	25	15b	
II	270	4	8	1	7	15b	
II	271	4	8	8	20	16a	
II	272	4	8	21	32	16b	
II	273	4	8	33	44	17a	
II	274	4	8	45	46	17b	
II	274	4	9	1	10	17b	
II	275	4	9	11	22	18a	
II	276	4	9	23	26	18b	
II	276	4	10	1	9	18b	
II	277	4	10	10	22	19a	
II	278	4	10	23	35	19b	
II	279	4	11	1	14	20a	
II	280	4	11	15	30	20b	
II	281	4	11	31	42	21a	
II	282	4	11	43	55	21b	
II	283	4	11	56	67	22a	
II	284	4	11	68	79	22b	
II	285	4	11	80	90	23a	
II	286	4	11	91	93	23b	
II	286	4	12	1	8	23b	
II	287	4	12	9	20	22a	i. page numbered from 22 again
II	288	4	12	21	32	22b	
II	289	4	12	33	42	23a	
II	289	4	13	1	1	23a	
II	290	4	13	2	15	23b	
II	291	4	13	16	27	24a	
II	292	4	13	28	30	24b	
II	292	4	14	1	9	24b	
II	293	4	14	10	19	25a	
II	294	4	14	20	23	25b	
II	294	4	15	1	7	25b	
II	295	4	15	8	16	26a	
II	296	4	15	17	27	26b	
II	297	4	15	28	31	27a	
II	297	4	16	1	8	27a	
II	298	4	16	9	21	27b	
II	299	4	16	22	35	28a	
II	300	4	16	36	40	28b	
II	300	4	17	1	7	28b	
II	301	4	17	8	20	29a	
II	302	4	17	21	31	29b	
II	303	4	17	32	42	30a	
II	304	4	17	43	53	30b	
II	305	4	17	54	54	31a	
II	305	4	18	1	7	31a	
II	306	4	18	8	16	31b	
II	307	4	18	17	19	32a	
II	308	4	18	20	25	32b	
II	309	4	18	26	31	33a	
II	310	4	18	32	38	33b	
II	311	4	18	39	48	34a	
II	312	4	18	49	59	34b	
II	313	4	18	60	68	35a	
II	314	4	19	1	11	35b	
II	315	4	19	12	21	36a	
II	316	4	19	22	29	36b	
II	316	4	20	1	4	36b	
II	317	4	20	5	15	37a	
II	318	4	20	16	26	37b	
II	319	4	21	1	8	38a	
II	320	4	21	9	16	38b	
II	320	4	22	1	1	38b	
II	321	4	22	2	8	39a	
II	322	4	22	9	16	39b	
II	323	4	22	17	26	40a	
II	324	4	22	27	32	40b	
II	324	4	23	1	5	40b	
II	325	4	23	6	16	41a	
II	326	4	23	17	28	41b	
II	327	4	23	29	30	42a	
II	327	4	24	1	6	42a	
II	328	4	24	7	13	42b	
II	329	4	24	14	19	43a	
II	330	4	24	20	29	43b	
II	331	4	24	30	36	44a	
II	332	4	24	37	42	44b	
II	333	4	24	43	44	45a	
II	333	4	25	1	3	45a	
II	334	4	25	4	6	45b	
II	335	4	25	7	14	46a	
II	336	4	25	15	25	46b	
II	337	4	25	26	38	47a	
II	338	4	25	39	53	47b	
II	339	4	25	54	54	48a	
II	339	4	26	1	13	48a	
II	340	4	26	14	25	48b	
II	341	4	26	26	39	49a	
II	342	4	26	40	42	49b	
II	342	4	27	1	10	49b	
II	343	4	27	11	22	50a	
II	344	4	27	23	36	50b	
II	345	4	27	37	46	51a	
II	346	4	27	47	48	51b	
II	346	4	28	1	7	51b	
II	347	4	28	8	15	52a	
II	348	4	28	16	23	52b	
II	349	4	28	24	31	53a	
II	350	4	28	32	39	53b	
II	351	4	28	40	49	54a	
II	352	4	28	50	60	54b	
II	353	4	28	61	66	55a	
II	353	4	29	1	5	55a	
II	354	4	29	6	14	55b	
II	355	4	29	15	23	56a	
II	356	4	29	24	33	56b	
II	357	4	29	34	34	57a	
II	357	4	30	1	10	57a	
II	358	4	30	11	17	57b	
II	359	4	30	18	24	58a	
II	360	4	30	25	34	58b	
II	361	4	30	35	43	59a	
II	362	4	30	44	50	59b	
II	363	4	30	51	60	60a	
II	364	4	30	61	72	60b	
II	365	4	30	73	83	61a	
II	366	4	30	84	85	61b	
II	366	4	31	1	5	61b	
II	367	4	31	6	15	62a	
