pdf p.	adh.	from v.	to v.	i. p.
20	0	1	2	3
21	0	3	5	4
22	1	6	7	5
23	1	8	10	6
24	1	11	13	7
25	1	14	15	8
26	1	16	17	9
27	1	18	20	10
28	1	21	22	11
29	1	23	24	12
30	1	24c	24c	13
31	1	24c	24c	14
32	1	25	26	15
33	1	27	29a	16
34	1	29b	31a	17
35	1	31b	32	18
36	1	33	33	19
37	2	33c	33c	20
38	2	34	35	21
39	2	36	36	22
40	2	37	38	23
41	2	39	40	24
42	2	40	42	25
43	2	43	45	26
44	2	46	47	27
45	2	48	49	28
46	2	49c	49c	29
47	2	50	51	30
48	2	52	52	31
49	3	53	56	32
50	3	57	57	33
51	3	58	58	34
52	3	59	60	35
53	3	61	62	36
54	3	63	65	37
55	3	66	67	38
56	3	68	70	39
57	3	71	72	40
58	3	73	74	41
59	3	75	75	42
60	4	75c	75c	43
61	4	76	76	44
62	4	76c	76c	45
63	4	77	78	46
64	4	78c	78c	47
65	4	79	79	48
66	4	79c	79c	49
67	4	80	80	50
68	4	81	83	51
69	4	84	86	52
70	4	87	88	53
71	4	89	90	54
72	4	91	92	55
73	4	93	94	56
74	4	95	96	57
75	4	97	97	58
76	5	98	98	59
77	5	99	101	60
78	5	102	103	61
79	5	104	106	62
80	5	107	109	63
81	5	110	111	64
82	5	112	114	65
83	5	115	115	66
84	5	116	117	67
85	5	118	118	68
86	5	119	121	69
87	5	122	123	70
88	5	124	125	71
89	5	126	127	72
90	5	127c	127c	73
91	5	128	128	74
92	5	128c	128c	75
93	5	128c	128c	76
94	6	129	129	77
95	6	130	131	78
96	6	132	132	79
97	6	133	134	80
98	6	135	135	81
99	6	136a	136a	82
100	6	136b	137	83
101	6	138	139	84
102	6	140	140	85
103	6	141	142	86
104	6	143	145a	87
105	6	145b	147	88
106	6	148	149	89
107	6	149c	149c	90
108	6	150	151	91
109	6	152	152	92
110	6	153	154	93
111	6	155	156	94
112	6	157	159	95
113	7	159c	159c	96
114	7	160	162a	97
115	7	162b	165	98
116	7	166	168	99
117	7	169	170	100
118	7	171	173	101
119	7	174	175	102
120	7	176	178	103
121	7	179	179	104
122	7	179c	179c	105
123	7	180	180	106
124	7	181	183	107
125	7	184	184	108
126	7	185	188	109
127	7	188	190	110
128	7	191	192a	111
129	7	192b	193a	112
130	7	193a	194	113
