<ab>	180730	180731	-1
<abot>	-1	209	-209
<arab>	1	117	-116
<azoo>	-1	3	-3
<bot>	1	5427	-5426
<div>	113610	100080	13530
<ed>	-1	47	-47
<enum>	-1	3	-3
<F>	47	47	0
<fr>	1	1	0
<ger>	-1	1	-1
<gk>	-1	326	-326
<heb>	-1	3	-3
<hom>	84	23438	-23354
<info>	628	628	0
<is>	53961	53617	344
<iw>	-1	53	-53
<lang>	1544	998	546
<lex>	131614	130864	750
<ls>	774748	801824	-27076
<mng>	-1	40	-40
<mong>	-1	2	-2
<ms>	-1	2	-2
<ns>	-1	2	-2
<num>	-1	1	-1
<ocs>	-1	58	-58
<pe>	-1	314	-314
<per>	-1	7	-7
<rus>	-1	22	-22
<span>	83	-1	83
<VN>	3	3	0
<zen>	-1	1	-1
<zoo>	-1	134	-134
