Vol	page	kaṇḍa	prapāṭhaka	anuvāka	vers from	vers to	int page	
I	47	I	3	10	1	2a	32	
I	48	I	3	10	2b	2b	33	
I	48	I	3	11	1	1	33	
I	48	I	3	12	1	1	33	
I	49	I	3	13	1	2	34	
I	49	I	3	14	1a	1a	34	
I	50	I	3	14	1b	5	35	
I	51	I	3	14	6	8	36	
I	52	I	4	1	1a	1a	37	
I	53	I	4	1	1b	2	38	
I	53	I	4	2	1	1	38	
I	54	I	4	3	1	1	39	
I	54	I	4	4	1	1	39	
I	55	I	4	5	1	1	40	
I	55	I	4	6	1	1	40	
I	55	I	4	7	1	1	40	
I	55	I	4	8	1	1	40	
I	56	I	4	9	1	1	41	
I	56	I	4	10	1	1	41	
I	56	I	4	11	1	1	41	
I	57	I	4	12	1	1	42	
I	57	I	4	13	1	1	42	
I	57	I	4	14	1	1	42	
I	58	I	4	15	1	1	43	
I	58	I	4	16	1	1	43	
I	58	I	4	17	1	1	43	
I	58	I	4	18	1a	1a	43	
I	59	I	4	18	1b	1b	44	
I	59	I	4	19	1	1	44	
I	59	I	4	20	1	1	44	
I	59	I	4	21	1	1	44	
I	60	I	4	22	1	1	45	
I	60	I	4	23	1	1	45	
I	60	I	4	24	1	1	45	
I	61	I	4	25	1	1	46	
I	61	I	4	26	1	1	46	
I	61	I	4	27	1	1	46	
I	61	I	4	28	1	1	46	
I	62	I	4	29	1	1	47	
I	62	I	4	30	1	1	47	
I	62	I	4	31	1	1	47	
I	62	I	4	32	1	1	47	
I	63	I	4	33	1	1	48	
I	63	I	4	34	1	1	48	
I	63	I	4	35	1	1	48	
I	63	I	4	36	1a	1a	48	
I	64	I	4	36	1b	1b	49	
I	64	I	4	37	1	1	49	
I	64	I	4	38	1	1	49	
I	64	I	4	39	1	1	49	
I	64	I	4	40	1	1	49	
I	65	I	4	41	1	1	50	
I	65	I	4	42	1	1	50	
I	65	I	4	43	1	2a	50	
I	66	I	4	43	2b	2b	51	
I	66	I	4	44	1	3a	51	
I	67	I	4	44	3b	3b	52	
I	67	I	4	45	1	2a	52	
I	68	I	4	45	2b	3	53	
I	68	I	4	46	1	2a	53	
I	69	I	4	46	2b	3	54	
I	70	I	5	1	1	2a	55	
I	71	I	5	1	2b	4	56	
I	72	I	5	2	1	4a	57	
I	73	I	5	2	4b	5	58	
I	73	I	5	3	1	2a	58	
I	74	I	5	3	2b	3	59	
I	74	I	5	4	1a	1a	59	
I	75	I	5	4	1b	4	60	
I	76	I	5	5	1	2a	61	
I	77	I	5	5	2b	4	62	
I	77	I	5	6	1a	1a	62	
I	78	I	5	6	1b	4a	63	
I	79	I	5	6	4b	4b	64	
I	79	I	5	7	1	2a	64	
I	80	I	5	7	2b	6a	65	
I	81	I	5	7	6b	6b	66	
I	81	I	5	8	1	3a	66	
I	82	I	5	8	3b	5	67	
I	83	I	5	9	1	5a	68	
I	84	I	5	9	5b	7	69	
I	85	I	5	10	1	4a	70	
I	86	I	5	10	4b	4b	71	
I	86	I	5	11	1	2a	71	
I	87	I	5	11	2b	5a	72	
I	88	I	5	11	5b	5b	73	
I	88	I	6	1	1a	1a	73	
I	89	I	6	1	1b	3	74	
I	89	I	6	2	1	2a	74	
I	90	I	6	2	2b	4	75	
I	90	I	6	3	1a	1a	75	
I	91	I	6	3	1b	3	76	
I	91	I	6	4	1a	1a	76	
I	92	I	6	4	1b	4	77	
I	93	I	6	5	1	2	78	
I	94	I	6	6	1	4a	79	
I	95	I	6	6	4b	4b	80	
I	95	I	6	7	1	3a	80	
I	96	I	6	7	3b	4	81	
I	96	I	6	8	1	2a	81	
I	97	I	6	8	2b	4	82	
I	98	I	6	9	1	4a	83	
I	99	I	6	9	4b	4b	84	
I	99	I	6	10	1	3a	84	
I	100	I	6	10	3b	6	85	
I	101	I	6	11	1	4a	86	
I	102	I	6	11	4b	7	87	
I	103	I	6	12	1	3a	88	
I	104	I	6	12	3b	6	89	
I	105	I	7	1	1	2a	90	
I	106	I	7	1	2b	6a	91	
I	107	I	7	1	6b	6b	92	
I	107	I	7	2	1	3a	92	
I	108	I	7	2	3b	4	93	
I	108	I	7	3	1	2a	93	
I	109	I	7	3	2b	4	94	
I	110	I	7	4	1a	1a	94	
I	110	I	7	4	1b	5a	94	
I	111	I	7	4	5b	6	96	
I	111	I	7	5	1	2a	96	
I	112	I	7	5	2b	4	97	
I	113	I	7	6	1	5a	98	
I	114	I	7	6	5b	7	99	
I	115	I	7	7	1	2	100	
I	116	I	7	8	1	4a	101	
I	117	I	7	8	4b	4b	102	
I	117	I	7	9	1	2	102	
I	118	I	7	10	1	3	103	
I	119	I	7	11	1	2	104	
I	119	I	7	12	1a	1a	104	
I	120	I	7	12	1b	2	105	
I	120	I	7	13	1a	1a	105	
I	121	I	7	13	1b	5	106	 a print error (4 instead of  5
I	122	I	8	1	1a	1a	107	
I	123	I	8	2	1b	2	108	
I	123	I	8	2	1	1	108	
I	123	I	8	3	1a	1a	108	
I	124	I	8	3	1b	1b	109	
I	124	I	8	4	1	2a	109	
I	125	I	8	4	2b	2b	110	
I	125	I	8	5	1	3	110	
I	126	I	8	6	1	2	111	
I	127	I	8	7	1	2	112	
I	127	I	8	8	1a	1a	112	
I	128	I	8	8	1b	1b	113	
I	128	I	8	9	1	3a	113	
I	129	I	8	9	3b	3b	114	
I	129	I	8	10	1	2a	114	
I	130	I	8	10	2b	2b	115	
I	130	I	8	11	1	1	115	
I	130	I	8	12	1a	1a	115	
I	131	I	8	12	1b	3	116	
I	131	I	8	13	1a	1a	116	
I	132	I	8	13	1b	3	117	
I	133	I	8	14	1	2	118	
I	133	I	8	15	1a	1a	118	
I	134	I	8	15	1b	2	119	
I	134	I	8	16	1	2a	119	
I	135	I	8	16	2b	2b	120	
I	135	I	8	17	1	1	120	
I	135	I	8	18	1a	1a	120	
I	136	I	8	18	1b	1b	121	
I	136	I	8	19	1	1	121	
I	136	I	8	20	1a	1a	121	
I	137	I	8	20	1b	1b	122	
I	137	I	8	21	1	1	122	
I	137	I	8	22	1a	1a	122	
I	138	I	8	22	1b	5a	123	
I	139	I	8	22	5b	5b	124	
I	140	II	1	1	1	4a	125	
I	141	II	1	1	4b	6	126	
I	141	II	1	2	1a	1a	126	
I	142	II	1	2	1b	5a	127	
I	143	II	1	2	5b	9a	128	
I	144	II	1	2	9b	9b	129	
I	144	II	1	3	1	3a	129	
I	145	II	1	3	3b	5	130	
I	146	II	1	4	1	4a	131	
I	147	II	1	4	4b	8	132	
I	148	II	1	5	1	3a	133	
I	149	II	1	5	3b	7	134	
I	150	II	1	6	1	3a	135	
I	151	II	1	6	3b	5	136	
I	151	II	1	7	1	2a	136	
I	152	II	1	7	2b	6a	137	
I	153	II	1	7	6b	7	138	
I	153	II	1	8	1	2a	138	
I	154	II	1	8	2b	5	139	
I	155	II	1	9	1	4	140	
I	156	II	1	10	1	3	141	
I	156	II	1	11	1a	1a	141	
I	157	II	1	11	1b	5a	142	
I	158	II	1	11	5b	6	143	
I	159	II	2	1	1	3a	144	
I	160	II	2	1	3b	5	145	
I	160	II	2	2	1a	1a	145	
I	161	II	2	2	1b	5a	146	
I	162	II	2	2	5b	5b	147	
I	162	II	2	3	1	3a	147	
I	163	II	2	3	3b	4	148	
I	163	II	2	4	1	2a	148	
I	164	II	2	4	2b	6a	149	
I	165	II	2	4	6b	8	150	
I	166	II	2	5	1	4a	151	
I	167	II	2	5	4b	7	152	
I	168	II	2	6	1	4a	153	
I	169	II	2	6	4b	5	154	
I	169	II	2	7	1	2a	154	
I	170	II	2	7	2b	5	155	
I	171	II	2	8	1	4a	156	
I	172	II	2	8	4b	6	157	
I	172	II	2	9	1a	1a	157	
I	173	II	2	9	1b	5a	158	
I	174	II	2	9	5b	7	159	
I	175	II	2	10	1	4a	160	
I	176	II	2	10	4b	5	161	
I	176	II	2	11	1a	1a	161	
I	177	II	2	11	1b	5a	162	
I	178	II	2	11	5b	6	163	
I	178	II	2	12	1a	1a	163	
I	179	II	2	12	1b	6a	164	
I	180	II	2	12	6b	8	165	
I	181	II	3	1	1	2a	166	
I	182	II	3	1	2b	5	167	
I	183	II	3	2	1	4a	168	
I	184	II	3	2	4b	8a	169	
I	185	II	3	2	8b	9	170	
I	185	II	3	3	1	2a	170	
I	186	II	3	3	2b	5	171	
I	187	II	3	4	1	4a	172	
I	188	II	3	4	4b	4b	173	
I	188	II	3	5	1	3a	173	
I	189	II	3	5	3b	3b	174	
I	189	II	3	6	1	2	174	
I	190	II	3	7	1	4	175	
I	191	II	3	8	1	2	176	
I	192	II	3	9	1	3	177	
I	193	II	3	10	1	3	178	
I	194	II	3	11	1	4a	179	
I	195	II	3	11	4b	5	180	
I	195	II	3	12	1a	1a	180	
I	196	II	3	12	1b	2	181	
I	196	II	3	13	1	2a	181	
I	197	II	3	13	2b	3	182	
I	197	II	3	14	1	2a	182	
I	198	II	3	14	2b	6a	183	
I	199	II	3	14	6b	6b	184	
I	200	II	4	1	1	4a	185	
I	201	II	4	1	4b	4b	186	
I	201	II	4	2	1	3a	186	
I	202	II	4	2	3b	4	187	
I	202	II	4	3	1	3a	187	
I	203	II	4	3	3b	3b	188	
I	203	II	4	4	1	3a	188	
I	204	II	4	4	3b	3b	189	
I	204	II	4	5	1	2	189	
I	204	II	4	6	1a	1a	189	
I	205	II	4	6	1b	2	190	
I	205	II	4	7	1	2a	190	
I	206	II	4	7	2b	2b	191	
I	206	II	4	8	1	2	191	
I	207	II	4	9	1	4a	192	
I	208	II	4	9	4b	4b	193	
I	208	II	4	10	1	3a	193	
I	209	II	4	10	3b	3b	194	
I	209	II	4	11	1	3a	194	
I	210	II	4	11	3b	6	195	
I	211	II	4	12	1	5a	196	
I	212	II	4	12	5b	7	197	
I	213	II	4	13	1	1	198	
I	213	II	4	14	1	2a	199	
I	214	II	4	14	2b	5	200	
I	215	II	5	1	1	2a	200	
I	216	II	5	1	2b	7a	201	
I	217	II	5	1	7b	7b	202	
I	217	II	5	2	1	3a	202	
I	218	II	5	2	3b	7a	203	
I	219	II	5	2	7b	7b	204	
I	219	II	5	3	1	2a	204	
I	220	II	5	3	2b	6a	205	
I	221	II	5	3	6b	7	206	
I	221	II	5	4	1	2a	206	
I	222	II	5	4	2b	5	207	
I	223	II	5	5	1	4a	208	
I	224	II	5	5	4b	6	209	
I	224	II	5	6	1a	1a	209	
I	225	II	5	6	1b	5a	210	
I	226	II	5	6	5b	6	211	
I	226	II	5	7	1a	1a	211	
I	227	II	5	7	1b	5	212	
I	228	II	5	8	1	4a	213	
I	229	II	5	8	4b	7	214	
I	230	II	5	9	1	4a	215	
I	231	II	5	9	4b	6	216	
I	231	II	5	10	1a	1a	216	
I	232	II	5	10	1b	4a	217	
I	233	II	5	10	4b	4b	218	
I	233	II	5	11	1	3a	218	
I	234	II	5	11	3b	7a	219	
I	235	II	5	11	7b	9	220	
I	235	II	5	12	1a	1a	220	
I	236	II	5	12	1b	5	221	
I	237	II	X	X	X	X	222	
I	238	II	6	1	1	4a	223	
I	239	II	6	1	4b	7	224	
I	240	II	6	2	1	4a	225	
I	241	II	6	2	4b	6	226	
I	242	II	6	3	1	4a	227	The numbering of the slokas begins with 2
I	243	II	6	3	4b	6	228	
I	243	II	6	4	1a	1a	228	
I	244	II	6	4	1b	4	229	
I	245	II	6	5	1	4a	230	
I	246	II	6	5	4b	6	231	
I	246	II	6	6	1a	1a	231	
I	247	II	6	6	1b	5a	232	
I	248	II	6	6	5b	6	233	
I	248	II	6	7	1	2a	233	
I	249	II	6	7	2b	6a	234	
I	250	II	6	7	6b	6b	235	
I	250	II	6	8	1	3a	235	
I	251	II	6	8	3b	7a	236	
I	252	II	6	8	7b	7b	237	
I	252	II	6	9	1	3a	237	
I	253	II	6	9	3b	7a	238	
I	254	II	6	9	7b	8	239	
I	254	II	6	10	1a	1a	239	
I	255	II	6	10	1b	4	240	
I	256	II	6	11	1	4a	241	
I	257	II	6	11	4b	4b	242	
I	257	II	6	12	1	2a	242	
I	258	II	6	12	2b	6a	243	
I	259	II	6	12	6b	6b	244	
I	260	III	1	1	1	4a	245	
I	261	III	1	1	4b	4b	246	
I	261	III	1	2	1	3a	246	
I	262	III	1	2	3b	4	247	
I	262	III	1	3	1a	1a	247	
I	263	III	1	3	1b	2	248	
I	263	III	1	4	1	2a	248	
I	264	III	1	4	2b	4	249	
I	265	III	1	5	1	2	250	
I	265	III	1	6	1a	1a	250	
I	266	III	1	6	1b	3	251	
I	266	III	1	7	1a	1a	251	
I	267	III	1	7	1b	3	252	
I	268	III	1	8	1	3	253	
I	269	III	1	9	1	3a	254	
I	270	III	1	9	3b	6	255	
I	271	III	1	10	1	3	256	
I	272	III	1	11	1	3a	257	
I	273	III	1	11	3b	8a	258	
I	274	III	1	11	8b	8b	259	
I	275	III	2	1	1	3a	260	
I	276	III	2	1	3b	3b	261	
I	276	III	2	2	1	3a	261	
I	277	III	2	2	3b	3b	262	
I	277	III	2	3	1	2a	262	
I	278	III	2	3	2b	4	263	
I	278	III	2	4	1	2a	263	
I	279	III	2	4	2b	5	264	
I	280	III	2	5	1	3a	265	
I	281	III	2	5	3b	7a	266	
I	282	III	2	5	7b	7b	267	
I	282	III	2	6	1	2a	267	
I	283	III	2	6	2b	3	268	
I	283	III	2	7	1a	1a	268	
I	284	III	2	7	1b	3	269	
I	284	III	2	8	1a	1a	269	
I	285	III	2	8	1b	4a	270	
I	286	III	2	8	4b	6	271	
I	287	III	2	9	1	4a	272	
I	288	III	2	9	4b	7	273	
I	289	III	2	10	1	2a	274	
I	290	III	2	10	2b	2b	275	
I	290	III	2	11	1	3a	275	
I	291	III	2	11	3b	3b	276	
I	291	III	3	1	1a	1a	276	
I	292	III	3	1	1b	2	277	
I	292	III	3	2	1	2	277	
I	293	III	3	3	1	3a	278	
I	294	III	3	3	3b	3b	279	
I	294	III	3	4	1	3	279	
I	295	III	3	5	1	4a	280	
I	296	III	3	5	4b	5	281	
I	296	III	3	6	1	3a	281	
I	297	III	3	6	3b	3b	282	
I	297	III	3	7	1	3a	282	
I	298	III	3	7	3b	3b	283	
I	298	III	3	8	1	4a	283	
I	299	III	3	8	4b	6	284	
I	300	III	3	9	1	2	285	
I	300	III	3	10	1a	1a	285	
I	301	III	3	10	1b	2	286	
I	301	III	3	11	1	2a	286	
I	302	III	3	11	2b	5a	287	
I	303	III	3	11	5b	5b	288	
I	303	III	4	1	1a	1a	288	
I	304	III	4	1	1b	4	289	
I	305	III	4	2	1	2	290	
I	305	III	4	3	1a	1a	290	
I	306	III	4	3	1b	5a	291	
I	307	III	4	3	5b	8	292	
I	308	III	4	4	1	1	293	
I	308	III	4	5	1a	1a	293	
I	309	III	4	5	1b	1b	294	
I	309	III	4	6	1	2	294	
I	310	III	4	7	1	3a	295	
I	311	III	4	7	3b	3b	296	
I	311	III	4	8	1	3a	296	
I	312	III	4	8	3b	7a	297	
I	313	III	4	8	7b	7b	298	
I	313	III	4	9	1	2a	298	
I	314	III	4	9	2b	7a	299	
I	315	III	4	9	7b	7b	300	
I	315	III	4	10	1	2a	300	
I	316	III	4	10	2b	5	301	
I	317	III	4	11	1	3a	302	
I	318	III	4	11	3b	6	303	
I	319	III	5	1	1	2a	304	
I	320	III	5	1	2b	4	305	
I	321	III	5	2	1	5a	306	
I	322	III	5	2	5b	5b	307	
I	322	III	5	3	1	2a	307	
I	323	III	5	3	2b	2b	308	
I	323	III	5	4	1	4a	308	
I	324	III	5	4	4b	4b	309	
I	324	III	5	5	1	3a	309	
I	325	III	5	5	3b	3b	310	
I	325	III	5	6	1	3a	310	
I	326	III	5	6	3b	3b	311	
I	326	III	5	7	1	3a	311	
I	327	III	5	7	3b	3b	312	
I	327	III	5	8	1	1	312	
I	328	III	5	9	1	3	313	
I	329	III	5	10	1	3	314	
I	330	III	5	11	1	4a	315	
I	331	III	5	11	4b	5	316	
I	332	III	X	X	X	X	317	
I	333	IV	1	1	1	3a	318	
I	334	IV	1	1	3b	4	319	
I	334	IV	1	2	1	2a	319	
I	335	IV	1	2	2b	5a	320	
I	336	IV	1	2	5b	5b	321	
I	336	IV	1	3	1	2a	321	
I	337	IV	1	3	2b	4	322	
I	337	IV	1	4	1a	1a	322	
I	338	IV	1	4	1b	4	323	
I	339	IV	1	5	1	3a	324	
I	340	IV	1	5	3b	4	325	
I	340	IV	1	6	1	2a	325	
I	341	IV	1	6	2b	3	326	
I	341	IV	1	7	1a	1a	326	
I	342	IV	1	7	1b	4	327	
I	342	IV	1	8	1a	1a	327	
I	343	IV	1	8	1b	4a	328	a typo in the numbering. 1-1-3
I	344	IV	1	8	4b	6	329	
I	344	IV	1	9	1a	1a	329	
I	345	IV	1	9	1b	3	330	
I	346	IV	1	10	1	4a	331	
I	347	IV	1	10	4b	5	332	
I	347	IV	1	11	1a	1a	332	
I	348	IV	1	11	1b	4	333	
I	349	IV	2	1	1a	1a	334	
I	350	IV	2	1	1b	5a	334	
I	351	IV	2	1	5b	5b	336	
I	351	IV	2	2	1	3a	336	
I	352	IV	2	2	3b	4	337	
I	352	IV	2	3	1a	1a	337	
I	353	IV	2	3	1b	4	338	after 2 is followed by 4
I	354	IV	2	4	1	4a	339	
I	355	IV	2	4	4b	4b	340	
I	355	IV	2	5	1	2a	340	
I	356	IV	2	5	2b	6a	341	
I	357	IV	2	5	6b	6b	342	
I	357	IV	2	6	1	2a	342	
I	358	IV	2	6	2b	5	343	
I	359	IV	2	7	1	3a	344	
I	360	IV	2	7	3b	4	345	
I	360	IV	2	8	1	2a	345	
I	361	IV	2	8	2a	3	346	
I	361	IV	2	9	1	2a	346	
I	362	IV	2	9	2b	6a	347	
I	363	IV	2	9	6b	6b	348	
I	363	IV	2	10	1	3a	348	
I	364	IV	2	10	3b	4	349	
I	364	IV	2	11	1a	1a	349	
I	365	IV	2	11	1b	3	350	
I	366	IV	3	1	1	1	351	
I	366	IV	3	2	1a	1a	351	
I	367	IV	3	2	1b	3	352	
I	367	IV	3	3	1a	1a	352	
I	368	IV	3	3	1b	2	353	
I	368	IV	3	4	1a	1a	353	
I	369	IV	3	4	1b	3	354	
I	370	IV	3	5	1	1	355	
I	370	IV	3	6	1	2a	355	
I	371	IV	3	6	2b	2b	356	
I	371	IV	3	7	1	2	356	
I	371	IV	3	8	1a	1a	356	
I	372	IV	3	8	1b	1b	357	
I	372	IV	3	9	1	2	357	
I	373	IV	3	10	1	3	358	
I	374	IV	3	11	1	4a	359	
I	375	IV	3	11	4b	5	360	
I	375	IV	3	12	1a	1a	360	
I	376	IV	3	12	1b	3	361	
I	376	IV	3	13	1a	1a	361	
I	377	IV	3	13	1b	4a	362	
I	378	IV	3	13	4b	8a	363	
I	379	IV	3	13	8b	8b	364	
I	380	IV	4	1	1	3	365	
I	380	IV	4	2	1a	1a	365	
I	381	IV	4	2	1b	3	366	
I	381	IV	4	3	1a	1a	366	
I	382	IV	4	3	1b	3	367	
I	383	IV	4	4	1	4a	368	
I	384	IV	4	4	4b	8a	369	
I	385	IV	4	4	8b	8b	370	
I	385	IV	4	5	1a	1a	370	
I	386	IV	4	5	1b	2	371	
I	386	IV	4	6	1	2a	371	
I	387	IV	4	6	2b	2b	372	
I	387	IV	4	7	1	2	372	
I	387	IV	4	8	1a	1a	372	
I	388	IV	4	8	1b	1b	373	
I	388	IV	4	9	1	1	373	
I	389	IV	4	10	1	3	374	
I	389	IV	4	11	1a	1a	374	
I	390	IV	4	11	1b	4	375	
I	391	IV	4	12	1	3a	376	
I	392	IV	4	12	3b	5	377	
I	393	IV	5	1	1	3a	378	
I	394	IV	5	1	3b	4	379	
I	394	IV	5	2	1a	1a	379	
I	395	IV	5	2	1b	2	380	
I	395	IV	5	3	1	2a	380	
I	396	IV	5	3	2b	2b	381	
I	396	IV	5	4	1	2	381	
I	396	IV	5	5	1a	1a	381	
I	397	IV	5	5	1b	5	382	after 1 -> 5
I	397	IV	5	6	1	2	382	
I	397	IV	5	7	1a	1a	382	
I	398	IV	5	7	1b	2	383	
I	398	IV	5	8	1	2	383	
I	398	IV	5	9	1a	1a	383	
I	399	IV	5	9	1b	2	384	
I	399	IV	5	10	1	2a	384	
I	400	IV	5	10	2b	5	385	
I	401	IV	5	11	1	2	386	
I	402	IV	6	1	1	4a	387	
I	403	IV	6	1	4b	5	388	
I	403	IV	6	2	1	2a	388	
I	404	IV	6	2	2b	6a	389	
I	405	IV	6	2	6b	6b	390	
I	405	IV	6	3	1	2a	390	
I	406	IV	6	3	2b	4	391	
I	407	IV	6	4	1	3a	392	
I	408	IV	6	4	3b	5	393	
I	408	IV	6	5	1a	1a	393	
I	409	IV	6	5	1b	4a	394	
I	410	IV	6	5	4b	6	395	
I	411	IV	6	6	1	3a	396	
I	412	IV	6	6	3b	7a	397	
I	413	IV	6	6	7b	7b	398	
I	413	IV	6	7	1	2a	398	
I	414	IV	6	7	2b	5	399	
I	415	IV	6	8	1	4a	400	
I	416	IV	6	8	4b	4b	401	
I	416	IV	6	9	1	3a	402	
I	417	IV	6	9	3b	4	402	
I	418	IV	7	1	1	2	403	
I	418	IV	7	2	1	2	403	
I	419	IV	7	3	1	2	404	
I	419	IV	7	4	1	2	404	
I	419	IV	7	5	1	1	404	
I	420	IV	7	5	2	2	405	
I	420	IV	7	6	1	2	405	
I	420	IV	7	7	1	2	405	
I	421	IV	7	8	1	1	406	
I	421	IV	7	9	1	1	406	
I	421	IV	7	10	1a	1a	406	
I	422	IV	7	10	1b	2	407	
I	422	IV	7	11	1	2	407	
I	422	IV	7	12	1a	1a	407	
I	423	IV	7	12	1b	3	408	
I	424	IV	7	13	1	4a	409	
I	425	IV	7	13	4b	5	410	
I	425	IV	7	14	1a	1a	410	
I	426	IV	7	14	1a	4	411	
I	427	IV	7	15	1	4a	412	
I	428	IV	7	15	4b	7	413	
I	429	X	X	X	X	X	414	
II	8	V	1	1	1	3a	1	
II	9	V	1	1	3b	4	2	
II	9	V	1	2	1a	1a	2	
II	10	V	1	2	1b	5a	3	
II	11	V	1	2	5b	6	4	
II	11	V	1	3	1a	1a	4	
II	12	V	1	3	1b	5a	5	
II	13	V	1	3	5b	5b	6	
II	13	V	1	4	1	2a	6	
II	14	V	1	4	2b	5a	7	
II	15	V	1	4	5b	5b	8	
II	15	V	1	5	1	3a	8	
II	16	V	1	5	3b	8a	9	
II	17	V	1	5	8b	10	10	
II	18	V	1	6	1	4a	11	
II	19	V	1	6	4b	4b	12	
II	19	V	1	7	1	3a	12	
II	20	V	1	7	3b	4	13	
II	20	V	1	8	1	2a	13	
II	21	V	1	8	2b	6a	14	
II	22	V	1	8	6b	6b	15	
II	22	V	1	9	1	2a	15	
II	23	V	1	9	2b	6	16	
II	24	V	1	10	1	5a	17	
II	25	V	1	10	5b	5b	18	
II	25	V	1	11	1	2a	18	
II	26	V	1	11	2b	4	19	
II	27	V	2	1	1	3a	20	
II	28	V	2	1	3b	7a	21	
II	29	V	2	1	7b	7b	22	
II	29	V	2	2	1	3a	22	
II	30	V	2	2	3b	6	23	
II	31	V	2	3	1	4a	24	
II	32	V	2	3	4b	7	25	
II	33	V	2	4	1	4a	26	
II	34	V	2	4	4b	4b	27	
II	34	V	2	5	1	2	27	
II	35	V	2	5	3	6a	28	
II	36	V	2	5	6b	6b	29	
II	36	V	2	6	1	2a	29	
II	37	V	2	6	2b	5	30	skiped number slokas 2
II	38	V	2	7	1	4a	31	
II	39	V	2	7	4b	5	32	
II	39	V	2	8	1	2a	32	
II	40	V	2	8	2b	6a	33	
II	41	V	2	8	6b	7	34	
II	41	V	2	9	1a	1a	34	
II	42	V	2	9	1b	5a	35	
II	43	V	2	9	5b	6	36	
II	43	V	2	10	1	2a	36	
II	44	V	2	10	2a	6a	37	
II	45	V	2	10	6b	7	38	
II	45	V	2	11	1	2	38	
II	46	V	2	12	1	2	39	
II	46	V	3	1	1a	1a	39	
II	47	V	3	1	1b	5a	40	
II	48	V	3	1	5b	5b	41	
II	48	V	3	2	1	3a	41	Not exists number shloka 1 Jim changed shloka to 1
II	49	V	3	2	3b	5	42	After 3 -> 2
II	49	V	3	3	1a	1a	42	
II	50	V	3	3	1b	5a	43	
II	51	V	3	3	5b	5b	44	
II	51	V	3	4	1	3a	44	
II	52	V	3	4	3b	7a	45	
II	53	V	3	4	7b	7b	46	
II	53	V	3	5	1	2a	46	
II	54	V	3	5	2b	5	47	
II	55	V	3	6	1	3	48	
II	56	V	3	7	1	4a	49	
II	57	V	3	7	4b	4b	50	
II	57	V	3	8	1	2a	50	
II	58	V	3	8	2b	3	51	
II	58	V	3	9	1	2a	51	
II	59	V	3	9	2b	2b	52	
II	59	V	3	10	1	4a	52	
II	60	V	3	10	4b	4b	53	
II	60	V	3	11	1	3a	53	
II	61	V	3	11	3b	3b	54	
II	61	V	3	12	1	2	54	
II	62	V	4	1	1	4a	55	
II	63	V	4	1	4b	4b	56	
II	63	V	4	2	1	3a	56	
II	64	V	4	2	3b	4	57	
II	64	V	4	3	1	2a	57	
II	65	V	4	3	2b	5	58	
II	66	V	4	4	1	5a	59	
II	67	V	4	4	5b	5b	60	
II	67	V	4	5	1	3a	60	
II	68	V	4	5	3b	5	61	
II	69	V	4	6	1	4a	62	
II	70	V	4	6	4b	6	63	Repeat number 5
II	70	V	4	7	1a	1a	63	
II	71	V	4	7	1b	5a	64	
II	72	V	4	7	5b	7	65	
II	73	V	4	8	1	5a	66	
II	74	V	4	8	5b	6	67	
II	74	V	4	9	1a	1a	67	
II	75	V	4	9	1b	4	68	
