Vol	page	kaṇḍa	prapāṭhaka	anuvāka	vers from	vers to	int page	
I	14	I	1	1	1	1	1	
I	14	I	1	2	1a	1a	1	
I	15	I	1	2	1b	2	2	
I	15	I	1	3	1a	1a	2	
I	16	I	1	3	1b	1b	3	
I	16	I	1	4	1	2	3	
I	17	---	---	---	---	---	---	ipage 2 repeated
I	18	---	---	---	---	---	---	ipage 3 repeated
I	19	I	1	5	1	2	4	
I	20	I	1	6	1	1	5	
I	20	I	1	7	1	1	5	
I	21	I	1	7	2	2	6	
I	21	I	1	8	1	1	6	
I	22	I	1	9	1	3	7	
I	22	I	1	10	1a	1a	7	
I	23	I	1	10	1b	3	8	
I	23	I	1	11	1a	1a	8	
I	24	I	1	11	1b	2	9	
I	24	I	1	12	1a	1a	9	
I	25	I	1	12	1b	1b	10	
I	25	I	1	13	1	3a	10	
I	26	I	1	13	3b	3b	11	
I	26	I	1	14	1	2a	11	
I	27	I	1	14	2b	4	12	
I	28	I	2	1	1a	1a	13	
I	29	I	2	1	1b	2	14	
I	29	I	2	2	1	2a	14	
I	30	I	2	2	2b	3	15	
I	30	I	2	3	1	2a	15	
I	31	I	2	3	2b	3	16	
I	31	I	2	4	1	2a	16	
I	32	I	2	4	2b	2b	17	
I	32	I	2	5	1	2	17	
I	32	I	2	6	1a	1a	17	
I	33	I	2	6	1b	1b	18	
I	33	I	2	7	1	1	18	
I	33	I	2	8	1a	1a	18	
I	34	I	2	8	1b	2	19	
I	34	I	2	9	1a	1a	19	
I	35	I	2	9	1b	1b	20	
I	35	I	2	10	1	2	20	
I	36	I	2	11	1	2	21	
I	36	I	2	12	1	2a	21	
I	37	I	2	12	2b	3	22	
I	37	I	2	13	1	2a	22	
I	38	I	2	13	2b	3	23	
I	38	I	2	14	1	2a	23	
I	39	I	2	14	2b	6a	24	
I	40	I	2	14	6b	7	25	
I	41	I	3	1	1	2	26	
I	41	I	3	2	1a	1a	26	
I	42	I	3	2	1b	2	27	
I	42	I	3	3	1	1	27	
I	43	I	3	4	1	3	28	
I	44	I	3	5	1	1	29	
I	44	I	3	6	1	2a	29	
I	45	I	3	6	2b	2b	30	
I	45	I	3	7	1	2	30	
I	46	I	3	8	1	2	31	
I	46	I	3	9	1a	1a	31	
I	47	I	3	9	1b	2	32	
