* 05881	VOP.	VOPADEVA'S Grammatik, nach BÖHTLINGK'S A
** !(5514) VOP. with 2 numeric parameters 
VOP. 2,19. 2
VOP. 6,90. 2
VOP. 6,9. 2
VOP. 3,76. 2
VOP. 8,74. 2
VOP. 8,75. 2
VOP. 6,73. 2
VOP. 6,77. 2
VOP. 6,18. 2
VOP. 6,65. 2
VOP. 26,69. 2
VOP. 3,95. 2
VOP. 8,112. 2
VOP. 3,95. 2
VOP. 6,8. 2
VOP. 4,25. 2
VOP. 6,61. 2
VOP. 26,11. 2
VOP. 7,2. 2
VOP. 3,60. 2
VOP. 26,66. 2
VOP. 26,67. 2
VOP. 7,15. 2
VOP. 3,149. 2
VOP. 2,49. 2
VOP. 2,50. 2
VOP. 7,14. 2
VOP. 7,32. 2
VOP. 7,33. 2
VOP. 7,14. 2
VOP. 6,19. 2
VOP. 6,51. 2
VOP. 6,57. 2
VOP. 6,57 2
VOP. 8,58. 2
VOP. 8,58. 2
VOP. 26,102. 2
VOP. 26,102. 2
VOP. 8,41. 2
VOP. 8,58. 2
VOP. 26,91. 2
VOP. 26,90. 2
VOP. 6,29. 2
VOP. 8,44 2
VOP. 8,60. 2
VOP. 8,58. 2
VOP. 26,33. 2
VOP. 5,29. 2
VOP. 4,7. 2
VOP. 26,171. 2
VOP. 5,6. 2
VOP. 3,89. 2
VOP. 26,16. 2
VOP. 26,158. 2
VOP. 4,7. 2
VOP. 4,15. 2
VOP. 26,196. 2
VOP. 14,3. 2
VOP. 14,4. 2
VOP. 26,207. 2
VOP. 14,3. 2
VOP. 14,3. 2
VOP. 19,7. 2
VOP. 6,57. 2
VOP. 6,57. 2
VOP. 20,1. 2
VOP. 20,4. 2
VOP. 26,186. 2
VOP. 26,189. 2
VOP. 7,32. 2
VOP. 7,33. 2
VOP. 7,110. 2
VOP. 6,88. 2
VOP. 5,7. 2
VOP. 6,88. 2
VOP. 3,65. 2
VOP. 26,173. 2
VOP. 9,16. 2
VOP. 6,88. 2
VOP. 6,50. 2
VOP. 6,51. 2
VOP. 3,57. 2
VOP. 7,48. 2
VOP. 7,48. 2
VOP. 6,42. 2
VOP. 3,37 2
VOP. 7,32. 2
VOP. 7,33. 2
VOP. 6,50. 2
VOP. 21,17. 2
VOP. 21,17. 2
VOP. 6,70. 2
VOP. 6,51. 2
VOP. 5,4. 2
VOP. 6,50. 2
VOP. 26,37. 2
VOP. 7,110. 2
VOP. 7,14. 2
VOP. 25,32. 2
VOP. 25,7. 2
VOP. 9,3. 2
VOP. 9,2. 2
VOP. 9,5. 2
VOP. 9,5. 2
VOP. 26,133. 2
VOP. 9,4. 2
VOP. 26,127. 2
VOP. 5,5. 2
VOP. 23,58. 2
VOP. 9,4. 2
VOP. 19,1. 2
VOP. 26,130. 2
VOP. 3,148. 2
VOP. 4,12. 2
VOP. 26,80. 2
VOP. 3,46. 2
VOP. 3,127. 2
VOP. 3,130. 2
VOP. 3,164. 2
VOP. 3,168. 2
VOP. 2,20. 2
VOP. 8,21. 2
VOP. 26,150. 2
VOP. 7,110. 2
VOP. 7,111. 2
VOP. 4,17. 2
VOP. 3,9. 2
VOP. 3,12. 2
VOP. 3,37. 2
VOP. 7,107. 2
VOP. 7,103. 2
VOP. 7,108. 2
VOP. 5,23. 2
VOP. 1,8. 2
VOP. 5,7. 2
VOP. 6,58. 2
VOP. 5,31 2
VOP. 6,35 2
VOP. 5,34. 2
VOP. 5,29. 2
VOP. 5,33. 2
VOP. 7,85. 2
VOP. 7,110. 2
VOP. 6,90. 2
VOP. 5,10. 2
VOP. 26,25. 2
VOP. 25,23. 2
VOP. 25,17. 2
VOP. 6,66. 2
VOP. 15,4. 2
VOP. 26,25. 2
VOP. 25,22. 2
VOP. 6,83. 2
VOP. 7,10. 2
VOP. 4,29. 2
VOP. 8,22. 2
VOP. 9,27. 2
VOP. 3,128. 2
VOP. 6,62. 2
VOP. 4,27. 2
VOP. 26,65. 2
VOP. 4,27. 2
VOP. 6,9. 2
VOP. 5,21. 2
VOP. 3,18. 2
VOP. 6,90. 2
VOP. 3,118. 2
VOP. 6,45. 2
VOP. 26,16. 2
VOP. 9,18. 2
VOP. 8,37. 2
VOP. 8,56 2
VOP. 5,7. 2
VOP. 7,87. 2
VOP. 23,7. 2
VOP. 6,82. 2
VOP. 26,25. 2
VOP. 6,61. 2
VOP. 2,28. 2
VOP. 2,28. 2
VOP. 9,18. 2
VOP. 6,81. 2
