page	anka	vers from	vers to	int page
18	0	1	1	3
19	0	2	3	4
20	1	3	3	5
21	1	3	3	6
22	1	4	5	7
23	1	6	6	8
24	1	7	8	9
25	1	9	9	10
26	1	10	11	11
27	1	12	12	12
28	1	13	14	13
29	1	15	15	14
30	1	16	16	15
31	1	17	18	16
32	1	19	20	17
33	1	21	21	18
34	2	22	22	19
35	2	23	25	20
36	2	26	28	21
37	2	29	31	22
38	2	32	32	23
39	2	33	34	24
40	2	35	35	25
41	3	35	35	26
42	3	36	36	27
43	3	37	37	28
44	3	38	39	29
45	3	40	40	30
46	3	41	43	31
47	3	44	45	32
48	3	46	47	33
49	3	47	47	34
50	3	47	47	35
51	3	48	48	36
52	3	49	49	37
53	3	50	52	38
54	3	53	53	39
55	3	54	54	40
56	3	55	55	41
57	3	56	58	42
58	4	59	59	43
59	4	60	60	44
60	4	60	60	45
61	4	61	62	46
62	4	62	62	47
63	4	62	62	48
64	4	63	64	49
65	4	65	65	50
66	4	66	67a	51
67	4	67b	69	52
68	4	70	71a	53
69	4	71b	73	54
70	4	73	73	55
71	4	73	73	56
72	4	74	75	57
73	4	75	75	58
74	4	75	75	59
75	5	75	75	60
76	5	75	75	61
77	5	76	78	62
78	5	79	80	63
79	5	81	82	64
80	5	83	84	65
81	5	84	84	66
82	5	84	84	67
83	5	85	86	68
84	5	87	88	69
85	5	89	89	70
86	5	90	92	71
87	5	92	92	72
88	5	93	94	73
89	5	95	95	74
