epage	tantra	fromv	tov	ipage
8	0	1	4	1
9	0	5	5	2
10	1	1	3a	3
11	1	3b	4	4
12	1	5	8	5
13	1	9	12a	6
14	1	12b	19	7
15	1	20	24	8
16	1	25	29	9
17	1	30	41a	10
18	1	41b	49	11
19	1	50	58	12
20	1	59	62	13
21	1	63	69	14
22	1	70	77	15
23	1	78	81	16
24	1	82	87	17
25	1	88	90	18
26	1	91	94	19
27	1	95	100	20
28	1	101	101	21
29	1	102	105	22
30	1	106	108	23
31	1	109	114	24
32	1	115	118	25
33	1	119	120	26
34	1	121	122	27
35	1	123	128	28
36	1	129	132	29
37	1	133	135	30
38	1	136	137a	31
39	1	137b	141	32
40	1	142	146a	33
41	1	146b	147	34
42	1	148	154a	35
43	1	154b	157a	36
44	1	157b	163	37
45	1	164	165	38
46	1	166	168	39
47	1	169	172	40
48	1	173	173	41
49	1	174	177	42
50	1	178	179	43
51	1	180	184	44
52	1	185	192	45
53	1	193	193	46
54	1	194	201	47
55	1	202	205a	48
56	1	205b	207	49
57	1	208	214a	50
58	1	214b	219	51
59	1	220	221	52
60	1	222	222a	53
61	1	222b	224	54
62	1	224	224	55
63	1	225	225	56
64	1	226	226a	57
65	1	226b	228	58
66	1	229	233a	59
67	1	233b	238	60
68	1	239	246a	61
69	1	246b	254	62
70	1	255	257	63
71	1	258	258	64
