Vol	page	kaṇḍa	prapāṭhaka	anuvāka	vers from	vers to	int page	Comments
I	8	1	1	1	1	2	1	
I	9	1	1	1	3	5	2	
I	10	1	1	2	1	4a	3	
I	11	1	1	2	4b	8a	4	
I	12	1	1	2	8b	8b	5	
I	13	1	1	3	1	2	6	
I	13	1	1	3	3	6a	6	
I	14	1	1	3	6b	10a	7	
I	15	1	1	3	10b	12	8	
I	16	1	1	4	1	4a	9	
I	17	1	1	4	4b	8a	10	
I	18	1	1	4	8b	8b	11	
I	18	1	1	5	1	2a	12	
I	19	1	1	5	2b	5	12	
I	20	1	1	5	6	9	13	
I	21	1	1	5	10	10	14	
I	21	1	1	6	1	2	14	
I	22	1	1	6	3	7a	15	
I	23	1	1	6	7b	10	16	
I	24	1	1	6	11	11	17	
I	24	1	1	7	1	2a	17	
I	25	1	1	7	2b	3	18	
I	25	1	1	8	1	2a	18	
I	26	1	1	8	2b	5a	19	
I	27	1	1	8	5b	6	20	
I	27	1	1	9	1a	1a	20	
I	28	1	1	9	1b	5a	21	
I	29	1	1	9	5b	9a	22	
I	30	1	1	9	9b	10	23	
I	30	1	1	10	1a	1a	23	
I	31	1	1	10	1b	4	24	
I	32	1	1	10	5	6	25	
I	33	1	2	1	1	2	26	
I	34	1	2	1	3	6a	27	
I	35	1	2	1	6b	9a	28	
I	36	1	2	1	9b	12a	29	
I	37	1	2	1	12b	16a	30	
I	38	1	2	1	16b	19a	31	
I	39	1	2	1	19b	22a	32	
I	40	1	2	1	22b	26a	33	
I	41	1	2	1	26b	27	34	
I	41	1	2	2	1a	1a	34	
I	42	1	2	2	1b	4	35	
	43	1	2	2	5	5	36	
I	43	1	2	3	1	2	36	
I	44	1	2	3	3	4	37	
I	44	1	2	4	1a	1a	37	
I	45	1	2	4	1b	3	38	
I	46	1	2	5	1	3a	39	
I	47	1	2	5	3b	3b	40	
I	47	1	2	6	1	3a	40	
I	48	1	2	6	3b	6	41	
I	49	1	2	6	7	7	42	
I	50	1	3	1	1	3a	43	
I	51	1	3	1	3b	6a	44	
I	52	1	3	1	6b	6b	45	
I	52	1	3	2	1	4a	45	
I	53	1	3	2	4b	7	46	
I	54	1	3	3	1	4a	47	
I	55	1	3	3	4b	7a	48	
I	56	1	3	3	7b	7b	49	
I	56	1	3	4	1	3a	49	
I	57	1	3	4	3b	5	50	
I	58	1	3	5	1	3a	51	
I	59	1	3	5	3b	4	52	
I	59	1	3	6	1a	1a	52	
I	60	1	3	6	1b	5a	53	
I	61	1	3	6	5b	8a	54	
I	62	1	3	6	8b	9	55	
I	62	1	3	7	1	2a	55	
I	63	1	3	7	2b	5	56	
I	64	1	3	7	6	7	57	
I	65	1	3	8	1	4a	58	
I	66	1	3	8	4b	5	59	
I	66	1	3	9	1a	1a	59	
I	67	1	3	9	1b	2	60	
I	67	1	3	10	1a	1a	60	
I	68	1	3	10	1b	4	61	
I	69	1	3	10	5	8	62	
I	70	1	3	10	9	10	63	
I	71	1	4	1	1	3a	64	
I	72	1	4	1	3b	5a	65	
I	73	1	4	1	5b	5b	66	
I	73	1	4	2	1	3a	66	
I	74	1	4	2	3b	4	67	
I	74	1	4	3	1	2a	67	
I	75	1	4	3	2b	5a	68	
I	76	1	4	3	5b	6	69	
I	76	1	4	4	1a	1a	69	
I	77	1	4	4	1b	4	70	
I	78	1	4	4	5	8a	71	
I	79	1	4	4	8b	10a	72	
I	80	1	4	4	10b	10b	73	
I	80	1	4	5	1	2a	73	
I	81	1	4	5	2b	4	74	
I	81	1	4	6	1	3	74	
I	82	1	4	6	4	7a	75	
I	83	1	4	6	7b	7b	76	
I	84	1	4	7	1	2	77	
I	85	1	4	7	3	6a	78	
I	86	1	4	7	6b	7	79	
I	86	1	4	8	1	2a	79	
I	87	1	4	8	2b	5	80	
I	88	1	4	8	6	7	81	
I	88	1	4	9	1	2a	81	
I	89	1	4	9	2b	5a	82	
I	90	1	4	9	5b	5b	83	
I	90	1	4	10	1	2	83	
I	91	1	4	10	3	6a	84	
I	92	1	4	10	6b	9a	85	
I	93	1	4	10	9b	10	86	
I	94	1	5	1	1	3a	87	
I	95	1	5	1	3b	5	88	
I	96	1	5	2	1	4a	89	
I	97	1	5	2	4b	8a	90	
I	98	1	5	2	8b	9	91	
I	98	1	5	3	1	2a	91	
I	99	1	5	3	2b	4	92	
I	100	1	5	4	1	2	93	
I	100	1	5	5	1a	1a	93	
I	101	1	5	5	1b	5a	94	
I	102	1	5	5	5b	7	95	
I	102	1	5	6	1	1	95	
I	103	1	5	6	2	5a	96	
I	104	1	5	6	5b	7	97	
I	104	1	5	7	1a	1a	97	
I	105	1	5	7	1b	2	98	
I	105	1	5	8	1	3a	98	
I	106	1	5	8	3b	3b	99	
I	106	1	5	9	1	3a	99	
I	107	1	5	9	3b	6a	100	
I	108	1	5	9	6b	7	101	
I	109	1	5	10	1	3a	102	
I	110	1	5	10	3b	6a	103	
I	111	1	5	10	6b	7	104	
I	111	1	5	11	1	1	104	
I	112	1	5	11	2	4a	105	
I	113	1	5	11	4b	4b	106	
I	113	1	5	12	1	3a	106	
I	114	1	5	12	3b	5	107	
I	115	1	6	1	1	1	108	
I	116	1	6	1	2	5a	109	
I	117	1	6	1	5b	9a	110	
I	118	1	6	1	9b	11	111	
I	119	1	6	2	1	3	112	
I	120	1	6	2	4	7a	113	
I	121	1	6	2	7b	7b	114	
I	121	1	6	3	1	3a	114	
I	122	1	6	3	3b	7a	115	
I	123	1	6	3	7b	10a	116	
I	124	1	6	3	10b	10b	117	
I	124	1	6	4	1	2a	117	
I	125	1	6	4	2b	5a	118	
I	126	1	6	4	5b	5b	119	
I	126	1	6	5	1	3a	119	
I	127	1	6	5	3b	6a	120	
I	128	1	6	5	6b	6b	121	
I	128	1	6	6	1	2	121	
I	129	1	6	6	3	6a	122	
I	130	1	6	6	6b	6b	123	
I	130	1	6	7	1	3a	123	
I	131	1	6	7	3b	5	124	
I	132	1	6	8	1	3a	125	
I	133	1	6	8	3b	7a	126	
I	134	1	6	8	7b	9	127	
I	135	1	6	9	1	4a	128	
I	136	1	6	9	4b	8a	129	
I	137	1	6	9	8b	10	130	
I	138	1	6	10	1	4a	131	
I	139	1	6	10	4b	5	132	
I	140	1	7	1	1	2a	133	
I	141	1	7	1	2b	6a	134	
I	142	1	7	1	6b	9	135	
I	143	1	7	2	1	3	136	
I	144	1	7	2	4	6	137	
I	145	1	7	3	1	4a	138	
I	146	1	7	3	4b	7a	139	
I	147	1	7	3	7b	8	140	
I	147	1	7	4	1a	1a	140	
I	148	1	7	4	1b	4a	141	
I	149	1	7	4	4b	4b	142	
I	149	1	7	5	1	3a	142	
I	150	1	7	5	3b	5	143	
I	150	1	7	6	1a	1a	143	
I	151	1	7	6	1b	4a	144	
I	152	1	7	6	4b	7a	145	
I	153	1	7	6	7b	8	146	
I	153	1	7	7	1a	1a	146	
I	154	1	7	7	1b	5a	147	
I	155	1	7	7	5b	5b	148	
I	155	1	7	8	1	2a	148	
