¦  (00a6)   602 := BROKEN BAR
«  (00ab)     2 := LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
°  (00b0)    41 := DEGREE SIGN
¹  (00b9)     1 := SUPERSCRIPT ONE
»  (00bb)     2 := RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
Ñ  (00d1)     8 := LATIN CAPITAL LETTER N WITH TILDE
Ö  (00d6)     1 := LATIN CAPITAL LETTER O WITH DIAERESIS
Ü  (00dc)     2 := LATIN CAPITAL LETTER U WITH DIAERESIS
ä  (00e4)    43 := LATIN SMALL LETTER A WITH DIAERESIS
é  (00e9)     2 := LATIN SMALL LETTER E WITH ACUTE
ñ  (00f1)     1 := LATIN SMALL LETTER N WITH TILDE
ö  (00f6)    30 := LATIN SMALL LETTER O WITH DIAERESIS
ü  (00fc)    87 := LATIN SMALL LETTER U WITH DIAERESIS
Ā  (0100)    40 := LATIN CAPITAL LETTER A WITH MACRON
ā  (0101)    10 := LATIN SMALL LETTER A WITH MACRON
Ī  (012a)     6 := LATIN CAPITAL LETTER I WITH MACRON
ī  (012b)     1 := LATIN SMALL LETTER I WITH MACRON
Ś  (015a)    35 := LATIN CAPITAL LETTER S WITH ACUTE
ś  (015b)     3 := LATIN SMALL LETTER S WITH ACUTE
Ū  (016a)     1 := LATIN CAPITAL LETTER U WITH MACRON
ʼ  (02bc)     6 := MODIFIER LETTER APOSTROPHE
̃  (0303)     1 := COMBINING TILDE
̈  (0308)     1 := COMBINING DIAERESIS
ḍ  (1e0d)     1 := LATIN SMALL LETTER D WITH DOT BELOW
ṃ  (1e43)     1 := LATIN SMALL LETTER M WITH DOT BELOW
Ṅ  (1e44)     2 := LATIN CAPITAL LETTER N WITH DOT ABOVE
Ṇ  (1e46)     3 := LATIN CAPITAL LETTER N WITH DOT BELOW
ṇ  (1e47)     1 := LATIN SMALL LETTER N WITH DOT BELOW
Ṛ  (1e5a)    23 := LATIN CAPITAL LETTER R WITH DOT BELOW
ṣ  (1e63)     1 := LATIN SMALL LETTER S WITH DOT BELOW
Ṭ  (1e6c)     1 := LATIN CAPITAL LETTER T WITH DOT BELOW
ṭ  (1e6d)     1 := LATIN SMALL LETTER T WITH DOT BELOW
–  (2013)     3 := EN DASH
—  (2014)    28 := EM DASH
⁄  (2044)     1 := FRACTION SLASH
⁾  (207e)     2 := SUPERSCRIPT RIGHT PARENTHESIS
₄  (2084)     1 := SUBSCRIPT FOUR
〉  (3009)    36 := RIGHT ANGLE BRACKET
